RuntimeInSeconds,ELBO
0,-47206.075584237624
2,-47235.201469081585
3,-46952.904696381185
5,-47041.50139486375
6,-46450.89546328381
8,-46074.51416523374
10,-46007.982578708456
11,-45763.180408468594
13,-45560.994036205055
14,-45472.49290824565
16,-45251.73293878471
17,-45216.261377598385
19,-45126.807944226515
20,-45194.55983337954
21,-45104.38071956691
23,-45100.63228428758
24,-45018.16091492502
26,-44808.91321740368
28,-44769.491641519395
29,-44819.721935528316
31,-44705.197455877
32,-44679.0514302439
34,-44755.67383215009
36,-44764.44157022318
37,-44598.3558586422
38,-44572.31271990101
40,-44621.62026223355
41,-44448.00192543498
43,-44382.14205366955
44,-44443.2046506814
45,-44452.56419399041
47,-44377.30910513041
48,-44494.778558858074
50,-44406.79716240487
51,-44390.43772699205
52,-44310.06084700573
54,-44317.85568312579
55,-44308.272331649765
57,-44295.85910774445
58,-44431.19505432155
61,-44253.5908086002
62,-44282.58439064736
64,-44276.671678234525
65,-44145.84483814698
66,-44255.37903517712
68,-44189.783775681884
69,-44205.35659209708
71,-44064.181991093275
72,-44219.99253135647
74,-44168.15874741077
75,-44156.89041584469
77,-44104.60636819565
78,-44069.45550196482
79,-44088.28040242796
81,-44148.249759720515
82,-44091.7788758599
83,-44160.71066768647
85,-44049.10582597329
86,-44062.47599656942
88,-44057.00529808314
89,-43992.0717150631
91,-44032.68292884262
92,-44063.060254440476
94,-44051.14878313212
95,-43987.807249335456
96,-43952.40073542493
98,-43879.154916647574
99,-43971.925560214586
101,-43902.1754707468
102,-43883.53200366567
104,-43966.78497903905
105,-43959.9543582976
107,-44012.882636896924
108,-43914.41714396878
109,-43900.15922036924
111,-43860.006661590756
112,-43993.34705580189
114,-43909.33887947129
115,-43862.88993302048
117,-43895.92596491655
118,-43883.08607000179
119,-43845.73233650469
121,-43853.23995451313
122,-43736.664128036195
124,-43957.80303287562
125,-43769.57808835147
126,-43707.23135763991
128,-43817.63544391432
129,-43764.98021784388
131,-43678.486602773664
132,-43723.63325500046
134,-43745.27848975715
135,-43788.05862872777
136,-43813.94690695955
138,-43830.950727033
139,-43759.977881412604
141,-43782.43100566408
142,-43718.79387842867
143,-43676.24197360772
145,-43714.91406961372
146,-43743.6239870005
148,-43830.15149629187
149,-43798.21986754196
151,-43630.97980212497
152,-43647.24378566046
153,-43654.40140514668
155,-43635.963177553764
156,-43657.62391100186
