RuntimeInSeconds,ELBO
0,-47353.74679116134
1,-47262.67611805768
3,-47073.36492902589
4,-47123.39537315855
6,-46651.350730549624
7,-46455.143643326366
9,-45866.32260334201
10,-45841.46496532027
12,-45756.9309217676
13,-45437.515015004974
15,-45506.56725822094
16,-45313.299618571116
18,-45269.85048082879
19,-45241.91122768743
20,-45095.503593791844
22,-45042.64151023018
23,-44977.98445961983
24,-44873.328560565395
26,-44878.80062433611
27,-44836.20532240868
29,-44764.24065700543
30,-44863.39770420603
31,-44743.67409232086
33,-44638.15013296907
34,-44714.11039491845
35,-44751.675864802666
37,-44607.28144420538
38,-44536.083744227435
40,-44556.7320898265
41,-44563.82129543352
42,-44421.354669047476
44,-44547.529468569264
45,-44417.31286120097
46,-44497.88504714158
48,-44409.95661675877
49,-44486.43657750198
51,-44465.322861330416
52,-44344.82036383506
53,-44382.445214439525
55,-44393.939546753994
56,-44340.51202859582
57,-44362.62528069522
59,-44244.8585335269
60,-44217.514959716005
62,-44171.43167729423
63,-44202.52057489836
64,-44291.239111053
66,-44194.637399784944
67,-44225.246014870616
69,-44203.94833916199
70,-44189.87144578975
71,-44170.94378172975
73,-44190.28093499049
74,-44098.337630824826
75,-44171.39435780619
77,-44149.67939195961
78,-44104.12949623374
80,-44105.58388563041
81,-44108.82355089935
82,-44141.46022298352
84,-44013.933868327345
85,-44022.14633125591
87,-44046.25011687275
88,-44113.39173086258
90,-43941.12077093109
92,-44043.06462205015
93,-44052.61301149557
94,-43984.608474162145
96,-43926.96949168538
97,-43988.005152871745
99,-43922.79281281288
100,-44057.04269155044
102,-43946.16617978721
103,-43871.69622199169
105,-43967.5929769057
106,-43914.71060482263
107,-43875.87268435359
109,-43914.67737257098
110,-43897.72460272261
112,-43825.162945587654
114,-43926.58669853822
115,-43899.08798088937
116,-43923.46071373364
118,-43751.32927194545
119,-43822.73619272112
121,-43816.65897521201
122,-43758.93465066263
124,-43734.75528560999
125,-43880.120461622944
126,-43766.05705043657
128,-43831.85863081471
129,-43672.75375476541
131,-43833.092271896676
132,-43744.98430265554
134,-43735.970037274514
135,-43768.05895310773
136,-43831.12682623555
138,-43830.00466837873
139,-43722.282596821264
140,-43762.87792879878
142,-43609.75635115901
143,-43707.70319349655
145,-43694.95084423444
146,-43692.077804829096
147,-43694.478170171744
149,-43590.76829956915
150,-43768.580530403706
152,-43693.46265284083
153,-43675.83953178054
154,-43690.32247473445
156,-43639.512288343045
157,-43618.10247116069
159,-43651.70049650478
160,-43651.926379586024
161,-43648.10673442419
163,-43627.94828995563
164,-43532.17217771283
166,-43595.68007127104
167,-43623.09319712759
168,-43525.42892168172
170,-43581.79746978398
171,-43558.12771855733
172,-43592.17099098748
174,-43524.48195288715
175,-43535.70482685958
177,-43665.11207230805
178,-43521.943293357275
179,-43562.2383560357
181,-43546.14286546195
182,-43537.206733139225
184,-43453.83789430326
185,-43544.53115460308
186,-43428.075785895904
188,-43532.13880225731
189,-43571.42983283633
190,-43560.88130232675
192,-43478.31249041568
