RuntimeInSeconds,ELBO
0,-47362.77729924133
1,-47142.69732544059
4,-47046.32513323168
6,-46572.79519367988
7,-46387.58217906721
8,-46118.06099231633
10,-45878.21248277171
11,-45806.779650342745
13,-45630.448994059836
14,-45593.2080071028
16,-45476.07702180449
17,-45389.78022884376
18,-45203.86356301394
20,-45147.47411560639
21,-45070.857896729074
23,-45017.02219882602
24,-45002.39138504977
25,-45017.86572719227
27,-44834.228654123006
28,-44807.925233787246
30,-44711.26942833107
31,-44756.82525876787
33,-44662.19270824729
34,-44646.1740676317
35,-44727.894089017216
37,-44620.1470773351
38,-44615.63830551412
40,-44654.10291479272
41,-44569.80475314432
42,-44522.65186890346
44,-44472.27484468969
45,-44414.97016610958
47,-44564.71214783437
48,-44484.85171865564
49,-44455.27481139883
51,-44347.1694194169
52,-44365.31884653029
53,-44364.327924445635
55,-44290.86966373826
56,-44337.819739249826
58,-44332.18288558464
59,-44344.6777054161
60,-44327.193404322534
62,-44159.17400949054
63,-44217.963121152745
65,-44237.185784246685
66,-44234.650970264855
67,-44126.8259539969
69,-44045.88507817917
70,-44164.81739564592
72,-44097.25453552576
73,-44123.43883152459
75,-44224.93089023258
77,-44039.5689464703
78,-44124.16162398486
80,-44038.23892579522
81,-43995.14097052261
82,-44023.710899488906
84,-44091.446187787114
85,-44067.82008010898
87,-44032.682500574454
88,-44060.03476980569
89,-44033.88806242798
91,-44007.56572578031
92,-43975.46131551804
94,-43918.3232444262
95,-44017.65339747439
96,-44001.55040560257
98,-43942.904344524635
100,-43937.699315225764
102,-43920.93079731213
103,-43801.675349701705
105,-43983.358244429255
106,-43856.277525048674
107,-43918.86518374569
109,-43956.96128007188
110,-43870.76749119302
112,-43893.34352478379
113,-43929.90021001278
114,-43886.52206520674
116,-43839.883894849874
117,-43938.362916905375
119,-43884.29157428308
120,-43820.39738012947
121,-43877.72071738639
123,-43840.24186498727
124,-43809.77841680962
126,-43886.17707018696
127,-43840.54367188871
130,-43888.69109777738
131,-43749.118254318724
132,-43763.17301290075
134,-43744.0339338322
135,-43749.003468322444
136,-43710.49095331704
138,-43873.50680648153
139,-43756.825087532
141,-43697.76343637348
142,-43707.392822173315
144,-43814.97442590731
145,-43687.34436987648
146,-43734.800224432576
148,-43756.39334309968
149,-43697.70973972176
151,-43689.74280824528
152,-43643.48190357708
153,-43682.409801291986
155,-43574.725520126514
156,-43667.85181234996
157,-43629.3130571705
159,-43612.42416348408
160,-43648.27403191407
162,-43674.19036005331
163,-43576.307786910365
164,-43612.8726525196
166,-43578.73158488861
167,-43564.60528593864
168,-43606.40945758889
170,-43603.794894890845
171,-43587.94670273096
173,-43570.82378531677
174,-43600.25192465901
176,-43564.75826820622
177,-43591.50379684497
180,-43512.158865296115
181,-43498.30646727725
183,-43558.45867444675
184,-43669.90982015239
186,-43503.01952527861
187,-43571.44185319916
188,-43460.47136787268
190,-43529.11319813293
191,-43495.020050801846
193,-43454.71441957084
194,-43558.86785702594
195,-43454.946791604445
197,-43521.147014292575
198,-43426.25837123077
200,-43465.048357794745
203,-43505.10159320134
205,-43401.84058592144
206,-43522.542220628944
208,-43521.02654186198
209,-43443.592071293555
210,-43432.61033569064
212,-43391.84909022282
213,-43418.30970044319
215,-43397.39720252384
216,-43332.456698480346
217,-43406.23909925631
219,-43354.39261996099
220,-43330.29163791037
221,-43327.139982406356
223,-43422.7272855498
225,-43261.230535632705
226,-43325.116027600816
228,-43285.80599236036
229,-43306.21059576266
231,-43226.281981734224
232,-43118.04799793818
234,-43293.59405044198
235,-43233.9654663429
237,-43213.44060066359
238,-43149.89896632533
240,-43164.724226256134
242,-43138.97297564012
243,-43174.86035728806
245,-43162.22684308545
246,-43179.915932338045
247,-43127.84708069913
249,-43083.338100021705
250,-43133.32102498209
252,-42985.16211681028
253,-43048.63700481319
254,-43108.795056317525
256,-43094.85206399939
257,-43007.11107895881
259,-43101.716311768636
260,-43039.71145933204
262,-43011.439085238635
263,-43041.84137389537
264,-43027.791137094166
266,-42993.67425215274
267,-42990.88350716495
268,-43025.139160117404
270,-43023.96011003551
271,-43029.84037232032
273,-42938.49735926642
274,-42953.508613521524
276,-43015.29485411733
277,-42850.072315701254
278,-42932.45762532896
280,-42826.99461177102
282,-42952.29024989352
284,-42871.216156852315
285,-42821.50078806059
286,-42829.49999514207
288,-42841.28379823828
289,-42818.472557710724
291,-42807.532247461146
292,-42771.756327979405
293,-42716.35178402614
295,-42713.6908051638
296,-42670.138328180175
298,-42624.01147286799
299,-42769.75670241542
301,-42755.97163572032
302,-42851.13793591327
303,-42670.608799560905
305,-42614.22976108899
306,-42690.06889116818
308,-42673.58206657852
309,-42525.18238622307
310,-42600.86818842693
312,-42517.15225168144
313,-42686.07264486136
314,-42573.24485045509
316,-42591.27449107485
317,-42582.259690038976
319,-42588.768946394484
320,-42508.26603894266
321,-42452.74586117097
323,-42457.346172808946
324,-42513.16913912128
326,-42487.58797056538
327,-42570.83196395422
328,-42566.76258925087
330,-42455.20578004656
331,-42392.805783403404
333,-42508.58032958056
334,-42443.8437797283
335,-42295.59912407819
337,-42491.16618345779
338,-42360.840585658225
340,-42360.01937513761
341,-42318.4679422803
343,-42386.81432412918
344,-42483.43015528824
345,-42321.785672434555
347,-42400.14373371907
348,-42235.89410044873
350,-42285.067588488775
351,-42351.045477742045
352,-42206.48568199714
354,-42247.86195291617
355,-42185.305810472535
357,-42334.374462607484
358,-42223.45429434092
359,-42234.67623503705
361,-42173.34550081859
362,-42137.824783337535
364,-42041.734352310705
365,-42012.32257385792
366,-42290.42588712953
368,-42203.37299311157
369,-42024.13675450513
370,-42066.434390654824
372,-42139.49393596994
373,-42097.92380603134
375,-42053.122432088756
376,-42049.97810481432
378,-42201.35838353614
379,-42066.45373529908
380,-41979.579520167084
382,-42112.23577665128
383,-42023.089729285675
384,-42057.14590874013
386,-42017.688852719926
387,-41931.17568296489
389,-41971.153854031974
390,-41991.84158304286
391,-42045.02311652397
393,-41932.8147786775
394,-41882.32112680628
396,-41994.273454264956
397,-41858.02029064469
399,-41989.029463882165
400,-41859.84609037329
401,-41864.481215722895
403,-41878.14563096466
405,-41820.17522919745
407,-41786.56168403516
409,-41846.76445390528
411,-41785.32431015474
414,-41718.83584317299
415,-41760.33007042297
417,-41825.37148716973
419,-41683.04215622218
420,-41820.45419116853
421,-41702.91109179257
423,-41774.62444803606
425,-41812.606768870435
428,-41705.03480985985
430,-41691.25537056141
433,-41719.95422291366
435,-41741.07881769579
438,-41663.176704429134
440,-41606.3652464797
442,-41614.38113240109
443,-41684.56956189208
444,-41626.319345364915
446,-41825.35718859443
447,-41661.0855297026
449,-41610.154584714335
450,-41522.67681412906
452,-41652.17992020138
453,-41612.66627593027
454,-41661.1269661424
456,-41515.51401882983
457,-41599.759221623935
459,-41524.95359680413
460,-41597.163512574814
461,-41495.04476803285
463,-41488.71882301844
464,-41484.69951040932
466,-41488.22977141836
467,-41439.584750106376
468,-41480.03466650096
470,-41474.30292192914
471,-41432.89574374689
473,-41365.772159651104
474,-41367.24458967547
