RuntimeInSeconds,ELBO
0,-47005.150674068
1,-47159.76373271465
4,-47328.55047432763
5,-46615.474679791725
7,-46532.397190760596
8,-46164.371911035545
10,-45944.0232257879
11,-45786.39060440918
13,-45407.24256657144
14,-45512.05707484811
16,-45365.142571496515
17,-45207.59777751825
18,-45153.917695416414
20,-45197.678497151755
21,-44982.785155906946
23,-45032.54050067006
24,-44969.288473455745
26,-44960.94802310232
27,-44922.03504428776
28,-44869.396218970236
30,-44837.582125318215
31,-44864.53557105758
32,-44728.5250667294
34,-44673.11212284195
35,-44756.459087644456
37,-44682.88363575537
38,-44497.30277562498
40,-44587.49544822749
41,-44553.75975174418
42,-44584.57987616762
44,-44524.0067853283
45,-44446.758354277146
47,-44474.67168043945
48,-44379.75642669535
49,-44404.19704794155
51,-44512.44594393904
52,-44389.41022456168
54,-44307.66763826166
55,-44419.3290274133
57,-44289.353767216526
58,-44248.71914668766
59,-44323.33599741663
61,-44308.013257024184
62,-44131.752125243416
63,-44202.71741070473
65,-44143.534056609984
66,-44204.28538413021
68,-44201.58653831262
69,-44130.72271150763
70,-44204.37101487539
72,-44195.194108788026
73,-44096.01390833222
75,-44184.88459453965
76,-44140.98842919838
78,-44105.700010396235
79,-44007.72606323171
81,-44085.4588169618
82,-44002.31238813503
83,-44011.65870191934
85,-43938.79156303118
86,-44101.29629947066
87,-44069.28054180993
89,-43992.135184505685
90,-44081.98485595594
92,-44014.76878276858
93,-43999.138754584135
95,-43932.72120380855
96,-43942.77364206097
97,-43950.131945718975
99,-43924.124269058026
100,-43814.809880122026
102,-43924.36808152544
103,-43881.4603526982
104,-43940.65183547704
106,-43899.526327947286
107,-43880.03583683439
109,-43901.79551788153
110,-43836.548470574824
113,-43916.38178965223
114,-43994.05385715571
115,-43884.87458595767
117,-43854.23400033407
118,-43828.82991839308
120,-43922.61435571059
121,-43813.638101781544
122,-43782.50337849975
124,-43835.21506366982
125,-43786.195260808214
127,-43762.652356664315
128,-43723.835517911604
129,-43847.69499194758
131,-43699.35678923841
132,-43707.28422794344
134,-43782.036501595576
135,-43805.23945806121
136,-43719.12366562992
138,-43768.890822598616
139,-43716.526991005485
141,-43761.21261077549
142,-43637.0719777227
144,-43793.82853783773
145,-43739.818804773175
146,-43725.286237182045
148,-43618.84687826513
149,-43765.92798127139
151,-43656.24870182313
152,-43697.03600904211
153,-43587.60518277933
155,-43614.53203897662
156,-43674.362912991935
158,-43705.274007033266
159,-43592.7942254512
160,-43746.60705652127
162,-43613.933535300224
163,-43657.52140153988
165,-43686.849785446
166,-43524.401192503516
167,-43648.91684696601
169,-43756.89490615101
170,-43577.051622819956
171,-43599.12918743602
173,-43550.27613998871
174,-43570.320669208806
176,-43605.00844512566
177,-43610.04898286242
179,-43472.758960802355
180,-43637.03547014134
182,-43552.93932369914
184,-43484.83146628745
185,-43521.091454360925
188,-43472.69506651932
190,-43541.566710316314
191,-43428.502597701074
193,-43648.0665851087
194,-43488.09157260525
196,-43487.0955548239
197,-43408.313271718405
199,-43421.389676252096
200,-43370.581391881
201,-43398.047372931316
203,-43424.190970631505
204,-43405.371109926
206,-43371.74939231728
207,-43445.15859523867
208,-43512.55960235206
210,-43461.23103809807
211,-43399.79165511059
213,-43351.91687397124
214,-43365.24167929658
215,-43390.721758077736
217,-43456.82874212882
