RuntimeInSeconds,ELBO
0,-47299.43701157108
1,-46987.62853334637
3,-47117.3621111117
6,-46976.91822727268
7,-46413.207160967795
9,-46043.99780938251
11,-45946.09814617808
12,-45703.5817243761
13,-45700.52838276691
15,-45446.114644891444
16,-45427.06063610942
18,-45390.20153672466
19,-45227.22056203029
22,-45127.822179948904
24,-45012.163919163606
26,-44853.47118014776
27,-44832.07827044994
29,-44923.162313476845
30,-44786.54540335518
32,-44691.23208616851
33,-44699.96735247648
34,-44682.0484019214
36,-44601.07249867274
37,-44651.007167297816
39,-44595.700842850565
40,-44536.167562867486
41,-44494.89002019332
43,-44582.36210792902
44,-44452.53029900204
46,-44524.50231205289
47,-44564.654594395026
49,-44312.52202626131
50,-44407.02016179034
51,-44404.472623685084
53,-44452.33777243099
54,-44337.94818724143
56,-44371.612273684346
57,-44271.7095149737
59,-44245.58443757487
60,-44220.47337389808
62,-44308.87526786839
63,-44223.54534863419
64,-44206.998401178265
66,-44214.72300004521
67,-44137.38093716262
69,-44182.84395439242
70,-44141.582530758555
71,-44124.228264467034
73,-44097.93654957672
74,-44104.91710239108
76,-44066.56944484971
77,-44059.66163415598
78,-44077.24583205895
80,-44081.44177275829
81,-44012.99985154802
83,-43981.40691459525
84,-44058.99022551831
85,-43948.87519838894
87,-44097.73248046115
88,-43985.37909030769
89,-44078.41889363778
91,-44026.35800619006
92,-43922.45886062262
94,-43960.348127125144
95,-44072.45221396815
96,-43950.571802000326
98,-43859.21097941694
101,-43940.89093691162
102,-43907.55235257387
103,-43959.55790220525
105,-43989.14489318968
106,-43961.694573327426
107,-43869.03853749956
109,-43832.00828959842
110,-43852.14049308092
112,-43906.286458857045
113,-43772.44354196596
116,-43917.36212168528
117,-43874.171245397105
118,-43827.46729487543
121,-43883.661876753285
122,-43765.18227657039
124,-43823.76221936253
125,-43812.98806440007
126,-43819.59348452673
128,-43748.42186334468
130,-43818.066749615056
131,-43813.57447161202
132,-43859.114949299124
134,-43753.885761325
135,-43778.908951604826
136,-43723.44974045882
138,-43715.072562346715
139,-43704.9433704464
141,-43816.663917264596
142,-43715.493564973454
144,-43746.09619955834
145,-43737.3599323763
147,-43555.382166329655
148,-43691.636247451745
149,-43631.20910584475
151,-43652.284695013244
152,-43670.589066421075
153,-43665.399943552904
155,-43633.90695946224
156,-43660.82317964236
158,-43626.84370764834
159,-43587.88627258917
160,-43586.80858258799
162,-43595.282789833174
163,-43618.3016398912
165,-43702.45946077598
166,-43702.00006789568
168,-43618.48922823023
169,-43520.03560939681
170,-43600.759542980064
172,-43668.5817447756
173,-43570.24206415852
174,-43552.465603548815
176,-43473.32609960606
177,-43531.05891273745
179,-43574.437001772734
180,-43508.70161039983
181,-43521.442026286866
183,-43467.375140175805
184,-43537.38200173907
186,-43503.60859923531
187,-43511.96015241531
188,-43516.33861057615
190,-43439.34717421874
192,-43606.49140220331
193,-43520.117390279665
195,-43527.88702219291
196,-43488.65528613428
198,-43359.59818742255
199,-43434.6648625058
200,-43380.2902255014
203,-43469.6039906157
205,-43415.07000512847
206,-43467.54160308246
207,-43352.83261489792
209,-43473.94179044348
210,-43365.76713959163
212,-43402.741561840456
213,-43386.488043635945
214,-43257.2446592675
217,-43343.592831176924
218,-43205.23238630465
