RuntimeInSeconds,ELBO
0,-47201.22096506212
1,-47152.41586131853
3,-47320.645904492965
5,-47182.534195657645
6,-46728.28224886133
8,-46566.02837425632
9,-46107.605374364124
11,-45949.81993312059
14,-45685.67420497119
15,-45558.21862457094
16,-45343.91992610149
19,-45087.68254798148
21,-45158.03420232806
23,-45071.995149184986
24,-45051.10998375324
26,-44833.26939091844
27,-44910.0820916009
29,-44793.14658116972
30,-44755.610621716645
32,-44934.33265077834
33,-44697.998626631466
35,-44644.7400817176
36,-44684.076883638816
38,-44648.52638023803
39,-44531.60566451134
40,-44635.01281944781
42,-44535.553662576815
43,-44489.97502506189
45,-44431.16483046782
46,-44333.48611446515
48,-44361.96588676537
49,-44412.36533298836
51,-44361.47148673748
52,-44295.622336761924
53,-44347.742747965465
55,-44355.326203460696
56,-44328.62683683363
58,-44348.72040980358
59,-44283.272725989955
61,-44189.61743178105
62,-44199.85190012497
64,-44201.4310114295
65,-44138.201099026395
67,-44177.331583055
68,-44204.830319225475
69,-44194.413241055
71,-44192.479257434665
72,-44224.5586081257
74,-44141.96515251523
75,-44128.629068584654
77,-44055.62923144395
78,-44062.57843182812
79,-44059.757902249956
81,-44033.63375755565
84,-44016.29011724238
86,-44082.03915396921
87,-44088.217834193376
88,-44070.97843692481
90,-44135.37741174587
92,-44055.94314101562
93,-44086.550628535035
94,-44031.02613377005
96,-43924.21831630215
97,-43927.627158256546
99,-43955.12778539026
101,-43913.49597566809
102,-43851.4065180422
104,-43913.4519572625
105,-43964.718863315975
107,-43929.564743789924
108,-43866.429846497784
110,-43906.28383685873
112,-43961.61862508743
113,-43905.07776235353
115,-43856.43521910064
117,-43898.28003578463
118,-43839.7825530597
119,-43780.479503932685
121,-43749.52511592707
122,-43760.02418869978
124,-43835.46926218582
125,-43824.58373844513
127,-43779.12740682333
128,-43808.13039194839
130,-43805.57313697791
131,-43828.52699387922
133,-43806.458606570886
134,-43810.45281483077
136,-43824.980023218566
137,-43727.707450768125
139,-43705.04907993183
140,-43770.13755861629
142,-43708.68447757686
143,-43690.11880283766
145,-43643.93246041054
147,-43771.78843344141
148,-43689.019995173505
149,-43713.66138034448
151,-43716.77616898559
152,-43644.47314907871
154,-43691.84357987047
155,-43610.04346512402
157,-43649.7378662792
158,-43619.760310996855
160,-43668.05173920264
161,-43673.938246674494
162,-43675.76630500984
164,-43623.14403187318
165,-43610.51824326135
167,-43590.27467069181
168,-43566.98565395674
170,-43534.83857081139
171,-43623.16684919871
173,-43447.72112712423
174,-43627.941971361506
176,-43489.8120475493
177,-43606.63354691297
178,-43619.934155950024
180,-43584.455052440535
181,-43533.04151769859
183,-43534.13062129651
184,-43498.7804154383
186,-43598.92328038493
187,-43456.448994874314
188,-43542.43756429187
190,-43527.77547281505
191,-43549.8404558028
193,-43497.940291325416
194,-43480.98969647205
196,-43340.23151208184
197,-43425.161466852915
199,-43484.21269299962
200,-43521.19470223574
201,-43627.44184670254
203,-43449.41223939206
204,-43477.87476180239
206,-43452.66241160085
207,-43415.426629424874
209,-43430.33993940693
210,-43413.48394876992
212,-43433.100146150115
214,-43419.16275901867
215,-43354.846234335775
217,-43309.43791351128
218,-43394.885836481146
219,-43415.62833198988
221,-43280.96134557746
222,-43339.82122437335
224,-43308.42376628766
225,-43177.79487297751
227,-43291.09012638961
228,-43229.17764181527
230,-43338.06102085475
231,-43307.91700019047
233,-43257.74392950044
235,-43241.06230473049
236,-43267.40955355895
238,-43304.27333128928
239,-43294.30139829637
241,-43206.09090801918
242,-43188.114138903744
244,-43159.31674446336
245,-43131.140125026366
247,-43270.37571349497
248,-43202.28561956792
250,-43209.898439879784
251,-43057.133409033275
253,-43142.89924892406
254,-43209.744468586825
255,-43048.02723570238
257,-43122.233700650075
259,-43124.96884006898
260,-43068.72516923714
261,-43047.548327580516
263,-43096.75982665276
264,-43089.18721479682
266,-43001.13856116143
267,-43097.008776508854
269,-42979.33558617239
270,-42884.37986225349
272,-42984.31755620632
273,-43009.29455489863
275,-42942.60071445564
276,-42971.3877911141
277,-42963.79356594323
279,-42913.15601382268
280,-42972.80475070726
282,-42843.906122584136
283,-42821.8331040795
285,-42735.50971452292
286,-42805.10045639086
288,-42824.027533585664
289,-42729.4020241521
291,-42725.05596864177
292,-42914.10830537574
293,-42726.16396380972
295,-42853.04011091189
296,-42660.600105027675
298,-42716.76629699992
299,-42741.47390290866
300,-42763.397412228005
302,-42839.228498772245
303,-42598.60530662191
305,-42745.416749086195
306,-42651.826499472794
308,-42753.40688542901
309,-42641.97477471709
311,-42542.85979287692
312,-42578.37350312438
313,-42581.888816832434
315,-42679.4190649438
316,-42518.201570193785
318,-42538.25831029344
319,-42486.08233102292
321,-42501.2377142554
322,-42653.15071272259
323,-42512.91033095788
325,-42491.22037765224
327,-42503.021977660785
328,-42367.068971782675
329,-42465.3413974916
331,-42455.734257590266
332,-42443.55211464789
334,-42415.41050692329
335,-42396.823827202345
337,-42409.55849254829
338,-42336.713203039646
339,-42446.32049435403
341,-42383.93114308288
342,-42458.67926055204
344,-42324.060705317854
345,-42344.96259703677
347,-42301.00701465347
348,-42383.21724272853
350,-42362.228390005366
351,-42219.05213451814
353,-42226.71777977837
354,-42350.682921876054
355,-42223.668756149935
357,-42073.74368356557
358,-42321.69495698565
360,-42217.418400958144
361,-42185.50860226474
363,-42180.84859449956
364,-42077.29194660188
365,-42135.70344134113
367,-42195.36471058174
368,-42231.37363578195
370,-42166.156356785046
371,-42127.884861113555
373,-42074.62156782393
374,-42117.1847357438
375,-42008.385604114475
377,-42228.41806572685
378,-42075.42152583102
380,-42048.68576438364
381,-42085.52134438441
383,-41967.93533609867
384,-42189.57497636159
386,-42105.16205643609
387,-42049.72856537956
389,-41974.91161995662
390,-41920.49215171141
392,-42038.63663469845
393,-41941.24312379696
395,-41836.60940638433
396,-42050.723642376586
398,-41878.45440753676
399,-41897.529259414965
402,-41983.49887063531
403,-41909.08708679797
405,-41811.05452845078
406,-41900.20347428566
408,-41758.65690534718
409,-41721.740519403094
411,-41737.36976037562
412,-41788.52046396659
414,-41881.32826445493
415,-41779.164947422134
417,-41753.94282353013
419,-41746.59034131589
420,-41938.6212798364
422,-41696.29635640299
424,-41745.084727558446
425,-41748.66824160579
426,-41681.54372736518
428,-41725.48682811605
429,-41711.30895387649
431,-41638.588478892685
432,-41810.45962822802
434,-41787.4327288789
435,-41620.60016490373
437,-41723.25036377311
438,-41527.78472289155
440,-41586.088867449944
441,-41740.49810836173
442,-41659.5261206646
444,-41662.70542204821
445,-41639.13714580051
447,-41686.48237086264
448,-41589.72572842458
450,-41510.78374754634
451,-41617.910563593105
453,-41595.99049961158
454,-41647.43070175964
456,-41560.57147899028
457,-41585.12960395544
459,-41549.00960947338
460,-41642.675246953244
462,-41583.507473169004
463,-41551.28408083742
464,-41523.51012451356
466,-41490.57145452931
468,-41526.92486471099
469,-41470.01535248067
470,-41400.07702400549
472,-41535.95312711126
473,-41555.521540912785
475,-41588.42618578352
476,-41450.51274341581
478,-41481.38123443384
480,-41404.987402121486
481,-41443.168483371686
483,-41420.99626202066
484,-41402.125255631494
485,-41403.93347408864
487,-41460.20241066967
488,-41479.289906603066
490,-41369.71728966928
492,-41418.09014363808
493,-41473.88946078704
495,-41413.312045059436
496,-41381.51452098044
498,-41376.710363291866
499,-41356.87147984192
501,-41406.09166328507
502,-41362.65622262522
503,-41350.898015777
505,-41353.913281990535
507,-41347.70079030021
509,-41317.590839903074
510,-41354.015399794036
512,-41340.44528082046
513,-41306.875304328365
515,-41159.93821630662
516,-41263.72713599208
518,-41238.388737852714
520,-41230.713781664934
521,-41246.23987354338
523,-41218.60163333806
524,-41280.11024411719
525,-41220.93425888936
527,-41278.33763489034
528,-41222.00443710684
530,-41228.91784380484
531,-41181.70115866086
533,-41171.71077837477
534,-41194.496846486916
535,-41257.65140007904
537,-41259.28075081486
538,-41128.57659357779
540,-41251.89123900473
541,-41191.135446698565
543,-41227.898540720314
544,-41183.4162516847
546,-41153.04800183591
547,-41100.03168138987
549,-41168.36403014468
