RuntimeInSeconds,ELBO
0,-47392.23105782353
1,-47306.9366855141
3,-47081.13930349437
5,-47083.28777363502
8,-46991.02697731534
10,-46643.330308547644
13,-46135.05409401799
16,-46110.804729084666
19,-45796.06599846308
22,-45502.565313631494
25,-45267.636470417114
27,-45221.22838542587
30,-45109.87013090409
33,-45032.414731178505
36,-44842.00920963218
39,-44834.453587907934
42,-44841.959164323845
44,-44723.79991022487
47,-44673.63193329751
50,-44584.42329777054
53,-44533.3111987241
55,-44470.54048347942
58,-44505.362482778495
61,-44468.59311511622
63,-44369.32498410969
66,-44415.47381125463
69,-44423.05254300456
72,-44356.14305171305
74,-44318.06965440853
77,-44228.61363824769
80,-44184.84240326311
83,-44148.944647458244
85,-44176.23870448146
88,-44097.0930362578
91,-44114.80110388794
93,-44026.183709159275
96,-44115.576562272465
99,-44058.90368232931
101,-43997.497340935275
104,-44010.26188279204
107,-44007.57659913559
110,-43973.99565712774
112,-44003.14312679601
115,-43990.33651603335
118,-43965.96074228676
121,-43976.43842981058
123,-43881.303490729675
126,-43916.21709149008
129,-43976.89306966842
131,-43979.624858254436
134,-43795.07460288353
137,-43772.51387889179
139,-43776.919708116286
142,-43861.38027064554
145,-43739.000185612626
147,-43855.87081229141
150,-43806.79379937739
153,-43791.419950829724
156,-43721.583024636704
158,-43626.35573284565
161,-43681.40920762608
164,-43662.82623944359
167,-43726.946488586655
169,-43562.4466320172
172,-43625.7688253008
175,-43635.72543295973
178,-43533.97030503409
180,-43654.48702742141
183,-43634.59743587515
186,-43608.92231556534
188,-43495.10307267591
191,-43513.048028207035
194,-43518.350472369144
196,-43549.42944314913
199,-43510.23422665447
201,-43419.8610373612
204,-43451.74650937088
207,-43392.481610559495
210,-43301.04225702655
212,-43330.1806097795
215,-43416.49009013671
218,-43271.95761220328
220,-43243.11616637247
223,-43346.800435999656
226,-43427.189336365926
228,-43305.10325680729
231,-43200.52858154383
234,-43220.17814614686
236,-43315.72194154372
239,-43255.17231900135
241,-43124.371856195874
244,-43075.410943039344
247,-43129.26937611594
250,-43035.89036112311
252,-43023.866528475264
255,-43220.630199924206
258,-42956.248917008226
260,-43018.60134185823
263,-42941.4374769914
266,-42980.43541940817
268,-42811.6158681457
271,-42829.18832180893
273,-42844.75158000017
276,-42734.25367531823
279,-42740.14115119861
282,-42813.78946794508
284,-42709.459336883556
287,-42778.73581293444
289,-42804.64599636488
292,-42687.225158441826
295,-42695.589052531745
297,-42791.11423122502
300,-42713.285493803305
303,-42616.01618123923
306,-42704.657569101
308,-42644.538472112625
311,-42691.49094007999
313,-42635.11308552466
316,-42615.42245552058
319,-42375.84205827187
322,-42426.61380745989
324,-42502.75350695892
327,-42489.814959863674
330,-42505.73304160743
332,-42345.92613456088
335,-42385.455633222235
338,-42405.65784193305
340,-42310.94619930117
343,-42380.29684147248
345,-42316.14333256986
348,-42315.477730967694
351,-42319.28697605829
354,-42297.49513729975
356,-42227.85546425498
359,-42209.98295037862
362,-42145.449042400796
365,-42101.22348393092
367,-42021.55855268251
370,-42104.16550358235
373,-42035.61838988455
376,-42164.56100147473
378,-42046.28703375437
381,-42031.35442265136
384,-42050.09868836182
386,-42038.62161414191
389,-42061.43401787884
392,-41978.22693457033
394,-42009.79403713273
397,-42112.431479866806
400,-42016.897245224485
403,-42004.76111138176
406,-41931.59942666299
408,-41870.25137524741
411,-41887.06968396929
413,-41858.315232179266
416,-41807.7013035397
419,-41795.44346345907
422,-41975.34626746189
424,-41831.66050071493
427,-41876.570384229475
430,-41823.28809201139
432,-41734.41449030713
435,-41774.40569600327
437,-41735.99876561755
440,-41704.716891742624
443,-41681.86847143054
445,-41678.981639659956
448,-41734.13065410163
451,-41717.32357650647
454,-41787.45808898589
456,-41677.565780103876
459,-41580.047072816415
462,-41631.03662727671
465,-41737.42015567413
467,-41571.35627522665
470,-41563.844711579055
472,-41521.855520394514
475,-41648.68611755836
478,-41513.16600585099
481,-41810.171320310605
484,-41440.25965407632
486,-41501.482245118525
488,-41413.71867370588
491,-41532.90072141164
494,-41487.81630711461
497,-41470.48959839677
499,-41498.306064652796
502,-41444.12692867141
505,-41395.663365117085
508,-41358.74168048931
510,-41311.94440430873
513,-41300.002232564526
515,-41486.305117493175
518,-41455.80904694702
521,-41349.493610994854
523,-41319.30842752069
526,-41440.06978003715
529,-41431.105278225514
532,-41309.72871994256
534,-41301.218548204095
537,-41340.27334530083
540,-41163.16539383963
542,-41329.76048413803
545,-41432.445535462284
548,-41238.773447345
550,-41330.89615597847
553,-41221.81903322116
556,-41283.769191853164
558,-41200.230665160416
561,-41209.96908939602
564,-41218.8288605105
566,-41091.91061132677
569,-41226.460043292864
572,-41228.45590078085
575,-41090.887994099234
577,-41197.66396275997
580,-41000.954098276794
583,-41097.19423124533
586,-41136.137278911636
588,-41087.03127061002
591,-41075.03819209621
594,-41165.38934635815
597,-41225.11937381173
599,-41022.84400470278
602,-41156.56069878707
605,-41062.68220619232
607,-40996.35439090278
610,-41049.12991748072
613,-41051.04765624741
616,-40985.2577041175
618,-40938.64967165276
621,-41041.917556740984
623,-41061.71419182149
626,-40961.534761871306
629,-40940.98565275596
632,-41040.10353078485
634,-41036.54250169305
637,-40865.7785455701
640,-40954.32853513485
642,-40935.60851771398
645,-40903.51875610714
647,-40950.77972162409
650,-40953.09079838304
653,-40936.02027012032
655,-40894.77173575272
658,-40841.02085778211
661,-40964.94884302036
664,-40863.687029202345
666,-40885.290663159714
669,-40898.02292941887
672,-40910.395588200045
675,-40973.29633933488
677,-40843.24744100641
680,-40949.92577748614
683,-40826.65875739179
685,-40842.72480370383
688,-40824.83449997445
690,-40834.052150012794
693,-40773.22001323585
696,-40747.65774936258
699,-40804.44109959573
701,-40723.578614968035
704,-40765.542648587674
707,-40723.28654073895
710,-40756.48766374682
712,-40755.50438591903
715,-40742.26973968377
718,-40772.03556145111
721,-40780.24955230194
723,-40679.635692524425
726,-40776.75297429876
729,-40699.26919441527
731,-40650.41124316024
734,-40821.43358297079
737,-40697.016753099946
740,-40765.17641153083
743,-40724.466045171284
745,-40728.31853883419
748,-40686.71116951524
751,-40641.6490318088
753,-40734.42440123777
756,-40711.22056810838
759,-40671.201267283235
762,-40692.09767241844
764,-40650.76281555386
767,-40585.37554329384
770,-40715.288118925215
773,-40594.759348934786
775,-40620.95854220653
778,-40675.15123512912
781,-40626.75379879242
784,-40667.39352112017
786,-40621.61723766757
789,-40721.366765507875
792,-40702.94527969221
794,-40557.8047143844
797,-40521.19630051181
800,-40726.73162088614
802,-40700.52908198396
805,-40677.673420548854
808,-40721.34862606307
810,-40619.12064076633
813,-40460.43102149721
816,-40515.92418088012
819,-40560.462631083465
821,-40504.0842912287
824,-40655.22813003291
827,-40518.82877563384
829,-40634.4469509338
831,-40542.85647520799
834,-40615.92997573421
837,-40755.86311990983
840,-40568.56659168347
842,-40472.945401120756
846,-40652.79289092963
848,-40542.06088189801
850,-40519.63723039626
853,-40511.21002616037
856,-40614.88736596375
859,-40560.06231247502
862,-40500.882407507626
864,-40464.0433693752
867,-40523.516330493556
870,-40675.193718396644
873,-40448.85898658741
875,-40431.78161901119
878,-40441.67244084183
881,-40447.87732126085
883,-40503.339874375
886,-40425.54485949466
889,-40430.09411585143
891,-40520.74931620773
894,-40388.99827705766
896,-40522.64457980114
899,-40501.42956603693
902,-40467.1342270424
905,-40490.776042337704
907,-40467.68654197388
910,-40527.792655977944
913,-40391.93605998021
916,-40524.234374490865
918,-40443.34427101568
921,-40397.874576572154
924,-40498.28987439157
926,-40446.25566891371
929,-40337.679210056565
932,-40346.970825315744
934,-40392.775809701525
937,-40392.55700134979
939,-40415.07053154983
942,-40433.70522148002
944,-40359.73851143328
947,-40467.66327814027
950,-40362.36419124399
953,-40550.13052121241
956,-40344.47277148067
959,-40381.373248770105
961,-40392.230565337246
964,-40339.13793724586
967,-40428.59587449864
969,-40395.46773873737
972,-40339.68089085349
974,-40323.86436065639
977,-40323.39047603715
980,-40369.15696013995
983,-40281.42381866914
986,-40348.18118367295
988,-40419.294292763836
991,-40373.471011729285
994,-40318.97239097896
997,-40278.47298305346
1000,-40250.62297507862
1003,-40292.731965501116
1005,-40331.457858722526
1008,-40269.138794210325
1011,-40297.19035757463
1014,-40362.23259129961
1016,-40426.39695495753
1019,-40301.49370222361
1022,-40309.91432507001
1025,-40220.16027579595
1027,-40291.7794406154
1030,-40293.41819488919
1032,-40323.26425795074
1035,-40263.01270878492
1038,-40252.47960549069
1041,-40274.563953383906
1044,-40277.41524936227
1046,-40297.56146964192
1049,-40236.72636499569
1052,-40298.84339629675
1054,-40225.56380094703
1057,-40312.389172179246
1060,-40222.122166791996
1063,-40322.0369712129
1065,-40242.14130318017
1068,-40298.43791007739
1071,-40209.32892195374
1073,-40209.12650342104
1076,-40231.0105091831
1079,-40186.312710655686
1082,-40233.15324467957
1084,-40276.00376747063
1087,-40271.38768506211
1090,-40153.76905831712
1093,-40294.165979180165
1095,-40138.488471916084
1098,-40188.68056752498
1100,-40243.764943788294
1103,-40099.623464729026
1106,-40200.00960334902
1109,-40212.45003124497
1111,-40208.7422119417
1114,-40344.71459555338
1116,-40186.88375078863
1119,-40238.27313424668
1122,-40167.60737973699
1125,-40216.77999376744
1127,-40164.87899053145
1130,-40180.77712087048
1133,-40157.72008274593
1136,-40125.43962482961
1138,-40258.91047370145
1141,-40181.608501872026
1144,-40110.95988986663
1147,-40143.106794382096
1149,-40236.13351652826
1152,-40086.66443561355
1154,-40246.13725659602
1158,-40194.38632484643
1160,-40159.602224125214
1163,-40160.8551534152
1166,-40183.17216600314
1169,-40233.77245419577
1171,-40118.70022763194
1174,-40170.427910467406
1177,-40222.654652252015
1180,-40124.674117993134
1183,-40132.012865473356
1185,-40073.67872990589
1188,-40099.13122904348
1191,-40155.43225459758
1193,-40216.31246227321
1196,-40175.15235926445
1198,-40123.00868079483
1201,-40097.46276422109
1204,-40139.31444771564
1206,-40160.06439567802
1209,-40148.263997203365
1212,-40088.2748444419
1215,-40151.75300997802
1218,-40140.86869670526
1220,-40130.40082036338
1223,-40078.345519228336
1226,-40042.05472207462
1229,-40024.08022039238
1231,-40407.13971819414
1234,-40027.902996828045
1237,-40146.76094794019
1239,-40080.166711783364
1242,-40082.727485494164
1245,-40040.34230899185
1248,-40093.45915422644
1250,-40072.60175485849
1253,-40120.348444307085
1256,-40192.275029043405
1259,-40067.18494702481
1262,-40086.707084319736
1264,-40154.0934805173
1267,-40096.379774196714
1270,-40095.791145162104
1273,-40030.81810117876
1275,-40085.614079063096
1279,-40074.77266750865
1281,-40162.181150195516
1284,-40109.36221485034
1286,-40212.252542547096
1289,-40130.46148358271
1292,-39999.7163851814
1294,-40088.821229363646
1297,-40043.67080602592
1300,-40099.179070279635
