RuntimeInSeconds,ELBO
0,-46912.37481874751
3,-46594.314629546774
6,-46282.74416930639
9,-45910.69078480582
11,-45736.315763739345
14,-45594.69284966791
17,-45418.36075677029
20,-45250.5781747735
23,-45104.33619915359
26,-44989.447961060985
28,-44716.62558343131
31,-44827.55659772624
34,-44636.078250015125
37,-44696.38752577759
40,-44531.63029141047
43,-44513.18792308057
46,-44542.58429142998
49,-44626.74010553703
51,-44476.30746687839
54,-44377.342254106945
57,-44362.587043602296
60,-44349.39625147036
62,-44344.994449581514
65,-44225.87361995332
68,-44179.89252269288
71,-44187.5474320275
74,-44329.611467649745
76,-44201.52481599614
79,-44155.18157727717
82,-44142.03792681129
84,-44098.1572953855
87,-43971.80548299733
90,-44086.847973449614
93,-44102.43628662968
96,-44025.605043364354
98,-43998.893440979475
101,-44043.75258635662
104,-44029.34787476934
107,-43932.20517141492
109,-43856.16838285576
112,-43918.983483289485
115,-43867.50055898971
118,-43810.722178082106
120,-43915.07147813082
123,-43810.31934050502
126,-43855.948101951704
129,-43809.392855832906
131,-43725.85699629617
134,-43809.14942882457
137,-43703.78468110203
140,-43666.55746987949
142,-43677.64677795453
145,-43771.48034465264
148,-43691.35390809208
151,-43625.08191112861
153,-43669.3102882619
156,-43717.07351274038
159,-43635.97976151861
162,-43612.377425325605
165,-43609.92821721376
168,-43669.16567865212
170,-43488.46505087242
173,-43629.9363110627
176,-43526.76025173892
178,-43482.4902133685
181,-43511.842597630224
184,-43437.38092962746
187,-43498.842009031214
189,-43449.70590857499
192,-43519.19899538461
195,-43383.38684032406
198,-43388.31994097582
200,-43386.10454573582
203,-43360.85807443239
206,-43337.923018258756
209,-43348.48266900481
212,-43327.80021709667
215,-43266.37276127649
218,-43179.41239338689
220,-43171.18382889059
223,-43153.1260389947
226,-43315.11473358352
229,-43228.65483346636
231,-43055.979101873665
234,-43189.87190907833
237,-43050.1326244335
240,-43163.65658420876
242,-43042.38337712865
245,-43114.39824145939
248,-42974.429121815556
251,-43018.30595892652
254,-42816.44514638251
256,-43008.21000959918
259,-42829.7498122246
262,-42913.32206893555
265,-42921.761676633265
268,-42812.124423102
271,-42972.1885427176
274,-42687.0912278709
276,-42878.96796758906
279,-42777.226551952815
282,-42875.37663371593
285,-42614.30218645645
288,-42692.54659641723
291,-42739.000766241945
294,-42679.2000071499
297,-42645.805968070024
300,-42739.43632271843
303,-42575.68235301636
306,-42594.57594170469
308,-42478.471246930196
311,-42543.85426586027
314,-42557.467900278185
317,-42445.78070523891
320,-42478.459381935536
322,-42375.51347121163
325,-42364.13661823321
328,-42400.024069037805
331,-42387.218243987736
334,-42386.44946689076
336,-42423.314278684935
339,-42286.12815253666
342,-42239.06768506303
344,-42257.75829526713
347,-42157.88734103375
350,-42108.34725681505
353,-42115.07057231669
356,-42137.34971492701
359,-42106.858287401345
362,-42168.52401515941
364,-42117.3903000385
367,-42048.77266632274
370,-42104.87409222724
373,-41998.85226940704
376,-42061.65514280712
379,-41970.11909394509
382,-42020.949378522026
385,-41940.13080810326
388,-41884.64393202288
391,-41976.821188838
394,-41933.74105880846
397,-41860.440798933036
399,-41916.60677442982
402,-41887.908228003806
406,-41839.68891303978
408,-41891.28044694857
411,-41885.51988432568
414,-41881.25807155572
417,-41832.64310590766
420,-41839.872308386344
423,-41821.286521550865
426,-41778.30042944921
