RuntimeInSeconds,ELBO
0,-46668.47238673807
3,-46241.79240141366
6,-45894.77037925755
8,-45576.79292480022
12,-45340.747739757375
14,-45322.71843235736
17,-45154.27630144789
20,-45055.24449209208
23,-44951.028483833376
26,-44982.89053401769
28,-44767.01516556447
31,-44697.53669687244
34,-44599.8537515081
37,-44624.59228958877
39,-44574.51793331053
42,-44465.3580639086
45,-44425.42921749549
48,-44462.57830855499
50,-44429.56949234529
53,-44453.572419361226
56,-44320.59083317833
59,-44284.080607858734
62,-44317.810271425005
64,-44273.30220027119
67,-44269.392050679686
70,-44293.18400847937
73,-44237.52662450411
75,-44132.73334974121
78,-44100.48709886612
81,-44112.63621401586
84,-44221.025832045736
86,-44112.82825446075
89,-44090.135388473194
92,-44069.71399813716
94,-43965.36734313186
97,-43972.62137864221
100,-43954.28176449822
103,-43979.20727049652
106,-44050.73061331776
108,-43890.62404312886
111,-43900.72705460992
114,-43907.923214856906
117,-43826.33344290125
120,-43946.309596631596
122,-43896.93269963851
125,-43840.64895974313
128,-43775.28574207834
131,-43817.56712658806
134,-43844.27535901089
137,-43834.28432870248
140,-43686.49409104961
142,-43732.639819114665
145,-43673.667073210534
148,-43673.53494797545
151,-43717.37529116225
153,-43667.963175851015
156,-43680.01151633553
159,-43634.10208250792
162,-43573.25081640116
164,-43554.49208213573
167,-43590.59107871846
170,-43551.26286463928
173,-43470.58800441116
175,-43569.36478674289
178,-43599.84088397209
181,-43564.18727050819
183,-43513.272548539244
186,-43476.804102560585
189,-43471.05621241161
192,-43418.48123368113
195,-43361.09091232638
197,-43381.28952306128
200,-43433.623198036694
203,-43379.16622950136
206,-43222.7725353674
209,-43407.43409795922
211,-43274.20499320001
214,-43294.7945658882
217,-43227.25878859396
220,-43335.45237593314
223,-43196.13253923072
225,-43125.855941288115
228,-43172.20347014535
231,-43164.950096351036
234,-43178.89949847176
236,-43053.93415991717
239,-43024.13643226651
242,-43044.550432750744
245,-42993.3199672535
248,-42989.5820683323
251,-42996.274357003866
254,-42879.71945170401
256,-42961.6126995551
259,-43010.585155144894
262,-42847.70802176672
265,-42958.28888078026
268,-42783.5487068762
271,-42896.19122692121
273,-42715.90687665034
275,-42663.30573132841
279,-42700.55276460617
281,-42812.97086077563
284,-42775.31609033266
286,-42639.71188243223
289,-42650.96238133335
292,-42598.350973364286
294,-42676.57898981939
297,-42621.03150182352
300,-42534.6466320174
303,-42584.01087002189
305,-42579.15628091409
308,-42507.23570604956
311,-42398.92977814446
313,-42430.34747371362
316,-42462.287671537
319,-42388.28000802401
321,-42446.47280033442
324,-42408.859493364085
327,-42350.66619223899
330,-42364.96226940295
333,-42464.67379488298
336,-42367.12416361339
338,-42355.421250698746
341,-42297.59323888364
344,-42142.501894625806
347,-42216.31879021064
350,-42217.110035864454
353,-42220.27132393183
356,-42136.49300429609
359,-42064.967580539975
361,-42076.263114262394
364,-42198.76494313144
367,-42049.21534757319
370,-42091.018766023095
372,-42055.574343191416
375,-42071.892049029324
377,-42044.33304956943
380,-41952.45824788974
383,-41963.77012960506
386,-42075.93946999216
388,-42012.04219390812
391,-41955.51003655756
394,-41891.91178022343
397,-41888.47095539747
400,-41909.519290878845
402,-41853.468133298986
405,-41788.01640685148
408,-41803.18962454304
411,-41746.68753736833
413,-41776.67826925182
416,-41846.96813390456
419,-41902.83682718812
421,-41732.23185001752
424,-41862.66127091319
427,-41740.813805098296
430,-41729.99092001383
432,-41694.441562652755
435,-41905.86003935068
438,-41614.995543745805
441,-41640.24995260335
444,-41579.42256339774
446,-41720.771377388504
449,-41578.03494849902
452,-41620.018781220315
455,-41619.640457436144
458,-41518.927036176836
461,-41580.41354394629
463,-41522.45790476753
466,-41550.11878169997
469,-41517.12732805624
472,-41479.86139459041
475,-41516.53342520633
477,-41440.55756647354
480,-41527.34688417248
483,-41480.361336404036
486,-41404.7533228469
490,-41497.606498839494
493,-41404.03459258971
495,-41489.19895460776
498,-41406.00567505539
501,-41315.8739297421
503,-41476.273662645406
506,-41238.161969113775
509,-41458.40592335677
512,-41429.103904636824
514,-41328.89627943088
517,-41387.27654768686
520,-41215.979821431225
523,-41245.63307978654
526,-41343.524475540245
528,-41334.75951718914
531,-41341.266080680325
534,-41204.32842061804
537,-41252.80911498844
539,-41173.468500681585
542,-41181.120801870085
545,-41308.59194322546
548,-41161.48042192245
551,-41176.38030226344
553,-41212.058908852574
557,-41241.11989603487
559,-41443.81357824724
