RuntimeInSeconds,ELBO
0,-46969.26768214836
2,-47072.984815942975
4,-46794.402370441414
7,-46301.00945932235
10,-46408.63050146447
13,-45835.06236770193
16,-45483.926650186586
19,-45397.89329266433
22,-45250.74608656816
25,-45373.80594774317
28,-45072.64078542702
30,-44842.97846813764
33,-44904.38900971149
36,-44881.81434623573
39,-44681.384960880816
41,-44690.167925302
44,-44670.993170900845
47,-44605.93802754035
50,-44548.440439520804
53,-44487.78836496738
55,-44493.42077969207
58,-44422.48531692517
61,-44329.68330208315
64,-44306.028738155015
67,-44347.567466802204
70,-44213.87831709054
73,-44210.793392805965
75,-44266.881542145704
78,-44118.50610890755
81,-44121.381473597314
84,-44160.15323590085
86,-44157.5455749578
89,-44046.17817414222
92,-44004.26925710262
94,-44088.62736252031
97,-44065.80302933625
100,-44024.99425106144
102,-44043.65487875919
105,-43991.95677324085
108,-44005.101311808365
111,-44045.02560719408
113,-43932.79757561872
116,-43952.271602768364
119,-43979.40356695265
121,-43988.86772680459
124,-43858.42453607136
127,-43825.140415012116
130,-43806.24832139698
133,-43938.450773802855
135,-43724.60876509414
138,-43790.641816954485
141,-43679.466586694325
143,-43814.07665318891
146,-43724.69683300712
148,-43782.46566205135
151,-43687.684905587834
154,-43683.59649177052
156,-43644.070585533664
158,-43683.851330749654
161,-43653.80229731885
164,-43635.84126870005
167,-43596.48047034581
169,-43601.01785151206
172,-43744.74293437754
175,-43480.698892896144
177,-43557.13998555941
180,-43511.890460473514
183,-43560.20385753446
186,-43480.27123061864
188,-43536.42495769337
191,-43536.60776453612
193,-43432.58962551269
196,-43460.47234733705
199,-43422.45486500519
202,-43539.372106556504
204,-43388.820560882086
207,-43375.18513741334
210,-43343.33143240161
212,-43332.52128125252
215,-43325.251876758644
218,-43288.98826979092
220,-43251.34366146559
223,-43296.63087119997
226,-43363.7487824958
228,-43268.541750742355
231,-43158.20721353304
234,-43155.665733633905
236,-43190.98439804274
239,-43130.653130770224
242,-43058.89672154962
245,-43017.95905368471
247,-43101.080842034455
250,-42917.993174221774
253,-43029.42038649075
256,-43027.69482489388
259,-43060.72018591968
262,-43047.8896941082
265,-43001.03807733781
267,-42962.26970590449
270,-42949.46078607761
272,-42840.65812826415
275,-42755.81133244639
278,-42808.63290596477
281,-42827.248717608185
283,-42701.602081590776
286,-42750.39032120791
289,-42821.45961859116
291,-42670.89530763785
294,-42670.56232194611
297,-42574.345193064386
299,-42772.67948886594
302,-42557.71183875644
305,-42522.40751217782
308,-42630.71263661907
311,-42673.156470000766
314,-42465.68727204424
317,-42503.1393495077
319,-42437.977807907344
322,-42444.31843941462
325,-42383.6570193319
327,-42461.37225647045
330,-42508.98975943484
333,-42425.09371298159
336,-42425.35061149474
338,-42314.83003148235
341,-42402.356499171976
344,-42277.6285884888
346,-42209.45080147391
349,-42223.23178382993
352,-42348.92582223438
355,-42233.57721814769
357,-42163.576421904116
360,-42182.92269079386
363,-42158.64399781708
366,-42137.33618796657
368,-42129.0503953149
371,-42130.39578844615
374,-42085.803775128225
377,-42136.68224739892
379,-42090.78372396975
382,-42038.64627517637
385,-42005.02681346262
388,-41985.871008086884
390,-41989.10620124942
393,-41937.47759260228
396,-42090.459299791684
398,-41948.30658539939
401,-41914.14097299627
403,-42015.82344537533
406,-42038.908495572294
409,-41921.14281743127
412,-41748.31651987897
414,-41768.687052117246
417,-41862.04114413204
420,-41787.513943167694
422,-41817.60439740592
425,-41713.66823160346
428,-41678.660488520065
430,-41776.541111457744
433,-41720.89045222831
436,-41822.30853214791
439,-41716.184715552066
441,-41665.37718508342
444,-41689.30885739537
447,-41628.70860496261
449,-41661.568141092896
452,-41547.7393564544
454,-41714.158965903065
458,-41517.68337308395
460,-41630.02798216287
462,-41702.002162987075
465,-41511.677028306
468,-41617.39447736271
471,-41542.37398672761
474,-41491.55316744986
476,-41575.39194091013
479,-41532.644678436234
482,-41613.54437117532
485,-41459.093610358745
487,-41518.49934240485
490,-41583.413698521275
493,-41556.792149241184
495,-41462.88818587973
498,-41453.94833781265
500,-41409.73964814514
503,-41375.19770119767
506,-41473.4125533979
509,-41419.52009012689
511,-41312.2485270684
514,-41333.58096633064
517,-41444.502178730094
520,-41339.572686686464
522,-41354.4139593613
525,-41291.522302457495
528,-41288.76259693246
530,-41266.13691786978
533,-41319.09112349747
535,-41481.06908563417
538,-41344.239897744636
541,-41346.1922830492
543,-41298.7212611437
546,-41203.95089894067
549,-41285.13217572254
551,-41234.99929465679
554,-41223.05590265341
556,-41225.186638588
559,-41261.37091498634
562,-41215.24827170484
564,-41223.2872308855
567,-41176.563998795296
570,-41177.519765650926
572,-41171.96986827706
575,-41229.80201697575
578,-41154.46686915474
581,-41130.181300920536
583,-41129.07426038108
586,-41074.71398751357
588,-41132.210301344596
591,-41186.93995766461
594,-41077.0107013807
597,-41304.05224454178
600,-41100.76512617319
602,-41040.98497520392
605,-41056.8499709877
608,-41038.71684073654
610,-40974.54283020753
613,-41001.23570161094
616,-41009.823141736444
618,-40918.302254386894
621,-41135.98774489646
624,-40914.312777242936
627,-40977.05176549691
629,-40963.28557313975
632,-40901.58192627501
635,-40971.6960985575
637,-40952.52829546421
640,-40906.14758229364
642,-40873.58637224766
645,-40851.68691646375
648,-40903.11585520681
651,-40941.636924138635
653,-40932.84032792834
656,-40871.74797602338
659,-40869.548789549444
661,-40936.49788185262
664,-40952.65262615762
667,-40854.23541814406
669,-40880.090800335274
672,-40880.1703816509
674,-40873.667648571834
677,-40860.98737054561
680,-40823.55839639354
682,-40873.29711538192
685,-40820.40372009896
688,-40804.13796656227
690,-40819.881790504085
693,-40824.09426158279
695,-40754.60013394241
698,-40804.234737686944
701,-40848.422411512794
704,-40758.93824222626
706,-40782.267979926546
709,-40843.33770033969
712,-40719.96332123697
714,-40757.07699788489
717,-40717.75156508079
720,-40788.31027339674
722,-40678.97117381985
725,-40734.99249915853
727,-40870.67918471091
730,-40758.724731293216
733,-40745.83185462295
736,-40727.034544001166
738,-40810.54760576983
742,-40702.39055643529
744,-40786.793793697296
747,-40705.96065514791
750,-40708.795473447455
753,-40687.42799225518
756,-40732.92504323982
759,-40747.75888204202
761,-40843.58243332724
764,-40629.34018347154
767,-40664.02584832288
770,-40684.96940950469
772,-40618.73671537725
775,-40621.999468140006
778,-40576.337073344126
780,-40637.42904285824
783,-40711.26581071088
786,-40683.304338745234
789,-40536.52398906874
792,-40639.37914304346
794,-40599.233693889124
797,-40612.48176680105
799,-40540.48805648965
802,-40676.54749821646
805,-40570.964105090585
807,-40600.05746443066
810,-40667.53882340366
813,-40637.63962521151
816,-40495.260098813065
818,-40605.98333877595
821,-40537.320139640084
824,-40617.20759581852
826,-40615.742066323786
829,-40465.416713596765
832,-40565.34463270316
834,-40510.578631759905
837,-40527.01434758997
840,-40504.57133490336
843,-40608.13889795274
845,-40491.714870154974
848,-40456.80749972898
851,-40443.88095516633
853,-40470.22727316635
856,-40551.389018939386
858,-40508.13284797417
861,-40415.22904774695
864,-40532.361507914444
866,-40450.00802265534
869,-40487.915325877264
872,-40527.54891006274
874,-40469.62800618776
877,-40520.15594019835
879,-40451.43484474205
882,-40443.331585786575
885,-40516.54481333803
888,-40383.991808203085
891,-40493.965972737795
894,-40428.140802562535
896,-40429.258198808144
899,-40498.5286330176
901,-40659.96901624156
904,-40347.4136246889
907,-40378.876166389884
909,-40386.441803504706
912,-40409.34344690874
914,-40361.997484039755
917,-40439.248455803085
919,-40397.88686274632
922,-40398.74586848055
924,-40485.56424123344
927,-40424.29420898807
929,-40368.54206706757
932,-40601.12197903905
935,-40346.3692953199
938,-40331.77942575783
940,-40423.254874286766
943,-40320.43777455751
945,-40459.859514760195
948,-40359.44742433225
950,-40341.90446359735
953,-40381.747696030565
956,-40290.47318567358
959,-40370.429495302276
961,-40348.719555153584
964,-40314.90700674085
967,-40331.75028909396
969,-40378.369451483624
972,-40437.017902604624
975,-40322.80064272568
977,-40437.50022796628
980,-40347.65042218477
982,-40283.84101597648
985,-40286.97075315147
988,-40300.421063437396
990,-40251.83133857231
993,-40401.453731592694
996,-40314.46040833188
998,-40305.92550665915
1001,-40306.69665861672
1003,-40479.804986914394
1006,-40375.372912977735
1009,-40288.689240936765
1011,-40251.8307279209
1014,-40294.772942259915
1017,-40532.021530937156
1019,-40323.641260311444
1022,-40334.2371522653
1024,-40257.094060371914
1027,-40337.81614487594
1030,-40209.09646624632
1033,-40293.34476752528
1035,-40272.06273335267
1038,-40349.07646040405
1040,-40312.40065036451
1043,-40391.87623229858
1046,-40307.165371883544
1049,-40274.228826049395
1051,-40301.643058028705
1054,-40192.48699083673
1057,-40305.48964408124
1059,-40290.747604516815
1062,-40265.0369317838
1065,-40271.31493153209
1067,-40269.13664215804
1070,-40354.27668976573
1072,-40205.98797783037
1075,-40297.75224780601
1078,-40324.099607359
1080,-40267.02077478843
1083,-40293.66613784918
1085,-40375.23726153739
1088,-40210.01301806187
1091,-40228.4076963244
1093,-40283.233420405275
1096,-40193.066102719175
1099,-40207.80916235508
1102,-40124.231976384355
1104,-40196.34945930987
1107,-40200.70235466395
1110,-40162.55186941753
1112,-40327.61008895107
1115,-40291.44014995196
1117,-40109.66581622735
1120,-40306.84100354724
1122,-40133.33704645172
1125,-40156.9858952647
1128,-40227.93612286668
1131,-40124.19691396148
1133,-40300.31076252283
1136,-40146.655658818956
1139,-40145.301163660086
1141,-40318.22720245853
1144,-40126.6925037742
1147,-40167.45575206697
1150,-40161.98571484501
1153,-40331.6084889602
1155,-40175.849527020895
1158,-40080.078047294046
1161,-40233.57301443759
1163,-40180.59913922429
1166,-40074.733553950835
1168,-40152.818497336426
1171,-40165.80886003308
1174,-40137.91884627413
1176,-40020.90369914548
1179,-40135.388307902096
1182,-40104.27189719022
1184,-40279.922154767206
1187,-40163.19523446921
1190,-40030.335793888786
1193,-40121.30423756772
1195,-40146.6010005326
1198,-40066.582774739094
1200,-40097.98442512651
1204,-40129.69943185946
1206,-40023.337196440494
1209,-40242.00864929608
1211,-40154.26455705639
1214,-40288.55072864872
1217,-40126.95530025274
1219,-40173.99594386948
1222,-40183.28189527211
1225,-40045.826105525084
1228,-40142.55893605532
1230,-39965.134254115044
1233,-40087.590465892
1236,-40154.85811792966
1238,-40043.486853347495
1241,-40055.59628508176
1243,-40200.85973144231
1246,-40188.0907725795
1249,-40054.58685049748
1251,-40002.156767894834
1254,-40176.168431817896
1257,-40066.353805176455
1259,-40187.94672143449
1262,-40168.163098921235
1264,-40018.137100826105
1267,-40073.28767861394
1269,-40075.293148157354
1272,-40030.92035128673
1274,-40080.00564526774
1278,-40086.05426038349
1280,-40162.487823071555
1282,-40056.335070768044
1285,-40044.34495386133
1288,-40046.27489750553
1291,-40084.9557252663
1293,-40008.04635268492
1296,-40122.37828207157
1299,-40066.75306218493
1302,-40050.708926296036
1304,-40064.85196483894
1307,-40032.95034550324
1310,-40060.90183028598
1313,-40062.18215139063
1315,-40028.15257130931
1318,-40015.197100519836
1320,-39984.6594077007
1323,-39987.33632379411
1325,-40073.8105635543
1328,-40053.54491136006
1331,-40027.98646216321
1333,-40094.24305996337
1336,-40228.2916585306
1339,-40103.41055572314
1341,-40003.59300408382
1344,-40083.719447065596
1347,-40055.36408214476
1349,-39994.02713770827
1352,-39970.02760344111
1355,-39986.849867580866
1357,-40113.309123353276
1360,-39960.11550204465
1363,-39971.739680382
1366,-40199.18419665804
1368,-40118.214646061635
1371,-40106.94723353069
1374,-40159.2006100447
1377,-40028.66839278749
1379,-40064.15830601088
1382,-39988.26608905368
1385,-40104.359749451134
1387,-40329.21018281549
1390,-40050.140187323435
1392,-40078.08317645939
1395,-39990.63997630072
1398,-40070.268540769146
1400,-40001.2193426876
1403,-39905.748471643754
1406,-39961.278240456275
1408,-40057.96504516363
1411,-39918.2166825005
1413,-39962.28773338099
1415,-39998.71999497073
1418,-40030.84489186645
1420,-39968.18781246067
1423,-40051.02985823584
1426,-40096.67876570097
1428,-39937.10430282727
1431,-39992.27944705025
1434,-39977.00106570871
1436,-40182.76333261238
1439,-39977.01809568785
1442,-39948.636062517944
1444,-39948.703684762004
1447,-40051.51801567317
1449,-39995.65278193024
1452,-40010.272217243524
1454,-40066.94282971352
1458,-39905.40193273568
1460,-40012.076762162644
1463,-40076.85039298894
1465,-40084.765697809504
1468,-40041.133453280316
1471,-40059.51727228907
1473,-39988.644989893735
1476,-40149.39559367865
1479,-40123.54872880077
1482,-39870.019339927654
1484,-39950.689412254185
1487,-39983.7800350107
1490,-39971.92014740477
1492,-40056.22252930139
1495,-40042.346943376135
1498,-39984.15944976295
1501,-39992.59398158357
1503,-39942.649348895175
1506,-39967.54460035724
