RuntimeInSeconds,ELBO
0,-47118.28612612605
2,-46615.10017100988
5,-46485.892193993765
7,-46057.45259825037
11,-45882.47627934996
13,-45610.81009915176
16,-45459.0984925709
18,-45271.42715687109
21,-45169.34526075516
24,-45077.23239636413
27,-45085.240270676564
30,-44889.9718455725
33,-44779.59884141772
36,-44876.99482503675
39,-44736.84521268447
41,-44605.977398775016
44,-44561.58894386016
47,-44507.98838443241
50,-44425.10193038902
52,-44430.798766910455
55,-44436.74433746144
58,-44416.49783792342
60,-44235.965028111525
63,-44252.54960236625
66,-44199.93428145457
69,-44263.395625084355
71,-44201.75666591372
74,-44255.59232789226
77,-44080.1794522153
80,-44153.35976194738
82,-44212.789873320544
85,-44272.05359724337
88,-44198.1519835239
91,-44037.1253628791
94,-44004.116866857985
97,-44055.72433709563
99,-44062.69022598193
102,-43952.36501531323
104,-44020.11171182345
108,-43912.624105511146
110,-43850.153696004265
113,-43895.278029069195
116,-43799.27291773359
119,-43783.74865642219
122,-43800.69182176346
124,-43900.452076424306
127,-43819.029585943834
130,-43699.94171464811
133,-43750.48396608994
136,-43771.07216196335
139,-43857.25972058301
141,-43786.55542831519
144,-43732.21329234858
147,-43711.80827365056
150,-43699.25151059516
152,-43580.6873384376
155,-43615.878946654666
158,-43679.7930244489
161,-43702.87310978101
163,-43661.84413884848
166,-43666.841673756804
169,-43681.043538510516
171,-43558.84429859608
174,-43555.87547280374
177,-43680.94994384928
180,-43638.25890136404
182,-43531.15176670216
185,-43497.986267860666
188,-43513.00228420764
191,-43463.0134806266
193,-43429.59369687121
196,-43365.902898796376
199,-43460.277430783455
201,-43373.07758904738
204,-43431.631091226925
207,-43319.52272227548
210,-43416.09678444159
213,-43364.38436754746
215,-43326.631340774715
218,-43211.59462493517
220,-43293.84895037581
223,-43265.20550251853
226,-43190.36924004881
228,-43214.59714081755
231,-43113.96634887961
234,-43162.79987315214
237,-43131.073433173115
240,-43100.88018833692
243,-43120.32576681323
245,-43105.36118817181
248,-43051.89089838084
250,-43147.894276000814
253,-43023.33152487255
256,-42871.46601305283
259,-43005.38326829807
261,-42967.003879642296
264,-42994.60119050839
266,-42881.57693134661
269,-42854.81210166542
272,-42815.461744939195
274,-42700.24298611385
277,-42780.62224047741
280,-42844.428263908
283,-42675.58412770994
285,-42700.921761024554
288,-42639.870334830106
291,-42733.9618011742
293,-42683.42530612783
296,-42560.008119753955
299,-42555.02302433579
302,-42593.4587628228
305,-42440.48974074222
307,-42577.32415730488
310,-42473.49169433046
312,-42535.144503026764
315,-42391.99519571594
318,-42583.051936128744
321,-42452.45405174149
324,-42359.30385872315
327,-42584.65381709408
329,-42426.90101497131
332,-42258.49610999012
334,-42337.52997415357
337,-42392.88672492386
340,-42263.78910015836
343,-42284.39050146295
346,-42395.75979375808
349,-42196.273731937596
352,-42312.293365649755
354,-42141.624915009466
357,-42192.179576806535
360,-42276.595279093286
363,-42104.32001130191
366,-42116.23772131025
369,-42196.56609990798
372,-42091.42927564676
375,-42059.032535637234
378,-42059.573412640624
380,-41984.90345614562
383,-42133.566848990435
386,-42083.65618036421
388,-41946.3240268916
391,-42015.65912254292
394,-41901.11453098236
397,-41954.80277715237
399,-41931.474008855614
402,-41882.7968678833
405,-41914.12024027323
407,-41847.59304279673
410,-41745.0243014666
413,-41864.51131946981
416,-41739.96270829808
419,-41725.59070575501
421,-41805.631493688874
424,-41764.25117157516
427,-41861.556668152916
430,-41654.98866357243
432,-41681.43617624741
435,-41771.33640274806
438,-41721.71772377292
440,-41688.59368209259
443,-41686.03929864635
446,-41701.88998459579
448,-41633.596774322476
451,-41764.16959618166
454,-41629.83836736746
457,-41522.11033550228
459,-41680.90559491552
462,-41652.95319891708
465,-41671.15257426249
467,-41549.338648413584
