RuntimeInSeconds,ELBO
0,-47257.59485236792
2,-47088.7281018134
5,-47055.83400151738
8,-46532.08814567196
11,-46240.20431759401
14,-45914.78354647071
17,-45667.72129212354
20,-45505.11960084738
23,-45400.38546099528
25,-45165.02024274692
28,-45061.2880633257
31,-44973.16664364399
34,-44878.8881846348
37,-44694.54968379247
39,-44695.5060927554
42,-44581.124841922145
45,-44712.591020887645
48,-44592.93148455684
50,-44443.93928828017
53,-44619.86209805426
56,-44548.70939590031
59,-44386.3270076419
62,-44397.96001561499
64,-44304.30676836012
68,-44316.110136568335
70,-44278.83286216849
73,-44243.52623202733
76,-44241.81739753141
78,-44144.739238662994
81,-44105.72116856148
84,-44118.04920833492
87,-44167.289581084835
90,-44209.61623148221
93,-44050.490551595096
96,-44092.50087438352
99,-44054.18003435608
102,-44056.131174522605
105,-44012.68391658908
108,-43977.25982501461
111,-43957.10375881497
114,-43853.24491088943
117,-43925.802150453026
120,-43912.88738820972
123,-43839.357179093546
126,-43931.72724378918
129,-43945.30093169848
131,-43925.01140608755
134,-43814.310670568484
137,-43809.65003076069
140,-43776.41655847105
143,-43794.25081361164
145,-43700.82852839033
148,-43677.279775728035
151,-43707.64086201876
154,-43763.158735855875
156,-43707.49937411524
159,-43578.46191363798
162,-43790.968797595684
165,-43681.68396077681
167,-43622.71423896542
170,-43768.28922759869
173,-43544.045423225936
176,-43576.12849227764
178,-43697.0049689884
181,-43548.97048201774
184,-43553.78961830699
187,-43466.870540425676
189,-43548.0266161382
192,-43495.15360859503
195,-43390.97434968088
198,-43444.28272040687
201,-43474.513050407244
203,-43463.04919687995
206,-43348.18481436049
209,-43384.97187112343
211,-43440.4307905866
215,-43341.95889056331
217,-43178.26646856336
220,-43227.16246928079
222,-43266.904402268294
226,-43281.613879216675
228,-43236.35655080318
231,-43097.966144403625
234,-43183.42876816093
237,-43267.6138315917
240,-43135.992383201694
243,-43161.67898252816
245,-43182.6213406757
248,-43117.89159062458
251,-43064.92203687099
253,-42946.31158420801
256,-42991.27987132803
259,-42947.830692293996
261,-42986.76264263147
264,-42960.33391328426
267,-42858.00188816331
269,-42848.19430134963
272,-42802.414319761636
275,-42831.50718038721
277,-42897.71314371619
280,-42835.98802159486
283,-42707.2671719197
286,-42775.974648882315
289,-42760.18750697374
292,-42648.93345722048
294,-42561.840300049305
297,-42715.11340174391
300,-42713.3780971045
303,-42641.06525682712
306,-42572.94633326239
308,-42610.56412747724
311,-42563.60329287894
314,-42435.978440792445
316,-42510.2133184495
319,-42446.099431250856
322,-42371.7204299805
325,-42447.528272846306
328,-42512.09676435848
331,-42412.41435841332
333,-42314.708538090505
336,-42380.423375782404
339,-42364.624234696246
342,-42375.758938903775
345,-42320.037611939784
349,-42349.09125073728
351,-42255.152620172805
354,-42184.996037336285
357,-42198.689783065856
360,-42252.74085498396
363,-42214.64512021866
366,-42178.089903052074
368,-42301.04152329589
371,-42089.22192100248
374,-42217.335345986416
377,-42108.790133212184
379,-42102.072302954475
383,-41981.21106739881
385,-41998.958405935424
388,-41973.45422575135
391,-41945.490008687055
394,-41897.42156487218
397,-41948.89015512461
400,-41935.53174973899
402,-41881.37143851254
405,-41837.50237675443
408,-41847.228437108475
410,-41897.31735062085
413,-41913.47040436771
416,-41845.1027479744
419,-41882.94079535894
422,-41954.116361218905
425,-41906.114896294166
428,-41708.76245078304
431,-41657.50501697203
433,-41706.37424348496
436,-41714.49654350063
439,-41660.249722622204
442,-41723.57029800998
444,-41697.31899979331
447,-41722.757798392646
450,-41687.43071181689
453,-41611.34701186981
455,-41642.446697827516
458,-41649.48043377024
461,-41566.94876807075
464,-41678.28560945236
466,-41514.328133505674
469,-41533.228791171045
472,-41695.83060621221
475,-41542.8891989495
477,-41587.11271469426
480,-41513.555618769504
483,-41439.96636654259
486,-41544.24953135115
489,-41509.946004592595
491,-41477.50340209603
495,-41451.8339017198
497,-41451.106415270595
500,-41443.40005147873
503,-41392.40754727549
506,-41459.2732984828
508,-41400.20719132462
511,-41337.53704636166
514,-41354.6333527409
517,-41435.62261370107
520,-41275.74598737649
522,-41306.853646742864
525,-41250.68802458896
528,-41340.07237438901
531,-41399.184870227466
534,-41318.49022233535
536,-41303.70031811624
539,-41202.9217512976
542,-41244.518072020146
545,-41214.2757450792
547,-41245.41748552239
550,-41207.233337393714
553,-41162.6549653125
555,-41126.54070665491
558,-41207.30161314099
561,-41317.38377424923
563,-41118.84212639873
566,-41178.94474233729
569,-41192.03641588682
572,-41249.61375395839
574,-41204.99841963576
577,-41106.81265301949
580,-41121.0768157234
583,-41078.68606977415
585,-41163.94801715388
588,-41064.03577203372
591,-41050.310804155044
594,-41095.432502687196
596,-41053.62253793342
599,-41010.75294069725
602,-41081.91136998642
605,-41016.034585161564
608,-41060.265986066755
610,-41095.915329024305
613,-40977.701243932665
617,-41021.38842057283
620,-41003.42922181684
622,-41038.783992763856
625,-41029.45670955921
628,-40963.2208326261
631,-40929.52619724384
634,-40978.07765910424
636,-40994.4680735821
639,-40937.28692404188
642,-40949.96662143573
644,-40945.35982593813
647,-41013.437569013695
650,-40952.85233513671
653,-40892.542188303305
655,-40973.35339689088
658,-40923.415219166745
661,-40916.813457131604
664,-40886.86514574064
666,-40760.650023049406
669,-40912.705540911214
672,-40813.57823033623
675,-40859.89811850415
677,-40828.58424998305
680,-40741.83407638143
683,-40853.807689222755
686,-40930.087912027484
688,-40829.80419798825
691,-40727.52944937604
694,-40803.72926888734
697,-40848.967892859626
699,-40795.207112294454
702,-40812.62147204684
705,-40819.25432938705
707,-40790.54244460116
710,-40737.44826649859
713,-40753.04220756292
716,-40779.847261138886
718,-40726.15594755989
721,-40703.8396236214
724,-40774.49497057237
727,-40670.167097476726
730,-40642.004048166986
732,-40745.01883417053
735,-40744.73068914881
738,-40796.06466121061
741,-40560.883021216454
743,-40670.69221261873
746,-40709.340763045
749,-40716.30358744844
752,-40594.46688575932
754,-40609.90741039595
757,-40691.96232789643
760,-40645.907628741654
763,-40643.86219426467
765,-40674.945457566966
768,-40658.85875612284
772,-40710.56567832284
774,-40632.14504924767
777,-40653.033194047945
779,-40622.05917477537
782,-40614.63091372104
785,-40641.82092389086
788,-40617.70625241469
790,-40620.47730198518
793,-40758.65739307087
796,-40645.441782406575
799,-40645.85553505996
801,-40637.930357530444
804,-40626.86647315359
807,-40553.47216178443
810,-40614.97140025083
813,-40685.577141528134
816,-40623.52539320378
818,-40539.97819030828
821,-40514.615223691915
824,-40493.86417849001
827,-40550.084871695544
829,-40489.08633626423
832,-40604.35597315942
834,-40566.75182188663
837,-40462.707954165235
840,-40483.50125446781
843,-40561.88662988512
845,-40723.054089526704
848,-40522.58032711465
851,-40535.26834599047
854,-40411.16221616143
857,-40536.504022147914
860,-40477.33799391845
863,-40417.10581342592
866,-40368.80549377679
868,-40478.73272767786
871,-40536.70151784726
874,-40500.70189960848
876,-40490.41283671288
879,-40453.73545023321
882,-40462.540146300926
885,-40389.89643157179
888,-40437.77129397446
891,-40808.00939161732
894,-40382.12243017097
896,-40382.1686332429
899,-40444.15915128074
901,-40399.460389767075
904,-40428.94128484764
907,-40478.49879309603
910,-40481.03048388911
913,-40447.58824427311
916,-40493.718959024016
918,-40399.38325356762
921,-40429.954973723114
924,-40349.43166894214
927,-40419.21393991533
929,-40515.98343168644
932,-40397.740828427646
935,-40342.49753216342
938,-40303.12130706421
940,-40362.90047610113
943,-40460.925533230555
945,-40418.811659702595
948,-40650.26594045109
950,-40389.410568303334
953,-40289.02862164393
955,-40269.75718960524
959,-40431.380639413605
962,-40366.4263010485
964,-40368.95835029529
967,-40383.97917807195
970,-40353.67060825062
973,-40381.096912826084
975,-40388.96072846624
978,-40284.04096676716
981,-40358.81995696215
984,-40303.219667524005
986,-40316.0885809387
989,-40365.18926695019
992,-40440.39909573556
994,-40359.67873536202
997,-40329.75579101721
999,-40293.12283602782
1002,-40521.50972818598
1005,-40314.164013625734
1008,-40347.102518964915
1010,-40393.635576303015
1013,-40317.93900365186
1016,-40298.4790938805
1019,-40303.70027736374
1021,-40165.14736955649
1024,-40377.26512892317
1027,-40296.90526077928
1030,-40314.71824421311
1033,-40267.00253566806
1035,-40246.520438349835
1038,-40294.69917561112
1041,-40244.053895518206
1043,-40334.79739897631
