RuntimeInSeconds,ELBO
0,-47172.53623965456
3,-46908.53357615721
6,-46645.33665049651
9,-46178.1654547905
11,-45869.03385965115
14,-45565.8442552678
17,-45482.8202059616
20,-45221.46563245346
23,-45131.5472768109
25,-45059.59737862769
28,-44987.857956873915
31,-44781.80244791279
34,-44699.89181342992
36,-44671.1549337988
39,-44736.323856093564
42,-44608.068931921494
44,-44573.720420047204
47,-44512.57840873662
49,-44459.81802223809
52,-44377.81223857741
55,-44519.475741607974
57,-44430.41153076991
60,-44397.97021000642
63,-44331.97055500185
66,-44291.1034523036
69,-44275.28733876918
72,-44200.58467760295
74,-44110.48237725854
77,-44219.04117452377
80,-44118.10800750532
83,-44097.13320397097
86,-44252.35603586107
89,-44154.21949597982
92,-44035.29073326467
94,-44062.84193837806
97,-44094.86204723192
100,-44048.067177514095
103,-43998.34318388961
106,-43956.71490934368
108,-43949.13861490413
111,-43986.853816945746
113,-43945.30992634404
116,-43908.30650224766
119,-43881.655668411724
121,-43834.539594886286
124,-44004.67760443553
127,-43802.72764686274
129,-43832.27298011519
132,-43865.94620243378
135,-43831.765595262885
137,-43844.756004621224
140,-43756.91436314598
143,-43712.07789026748
146,-43637.14036342164
149,-43712.91083556743
151,-43739.02055838186
154,-43762.9402029433
157,-43655.3064228807
160,-43518.591763874465
162,-43646.74548476437
165,-43630.236386111166
168,-43718.93216277959
171,-43517.911407458836
174,-43586.18750686861
176,-43608.70190155749
179,-43508.19294227661
182,-43569.10497292807
184,-43448.08504348995
187,-43426.9345529853
190,-43512.13889828269
193,-43479.04587288247
196,-43533.73116671648
199,-43408.12563728405
202,-43443.83324117487
204,-43367.15817199494
207,-43444.14989130505
210,-43234.96928615451
213,-43258.017401518104
216,-43302.57656335384
218,-43254.463217403776
221,-43253.4286351896
223,-43304.93125247293
227,-43232.21610048057
229,-43291.95811386327
232,-43139.63194398759
234,-43095.34439530124
237,-43102.89958185903
240,-43077.54044478697
243,-43123.56849900363
245,-43109.93265904617
248,-43081.46358365109
251,-43067.952920704134
254,-42947.68052341189
256,-42897.13465899329
259,-42906.62379047936
262,-42921.36231092931
265,-42792.767500872076
268,-42781.889806938445
270,-42713.29853023636
273,-42971.64399558327
276,-42821.99316584924
278,-42839.509365394886
281,-42844.3851107533
284,-42672.40451538679
286,-42839.58888259074
289,-42704.48413284718
