RuntimeInSeconds,ELBO
0,-46967.03584391191
3,-46578.57831372467
6,-46330.08274764131
9,-46085.80501269295
12,-45742.916555956
15,-45589.814388335304
18,-45433.38156080274
21,-45171.39796415392
24,-44973.84811331373
27,-44973.764767873574
30,-44910.90771002676
33,-44730.288250376936
36,-44678.13830316567
39,-44731.7354774501
42,-44662.96392946626
45,-44556.67468770507
48,-44503.008976608464
51,-44565.17574474448
53,-44396.171091666016
56,-44412.28627684054
59,-44446.282618824065
62,-44337.878969302874
65,-44380.83527561981
68,-44256.583765675074
71,-44263.62683648923
74,-44206.71654774756
77,-44241.56847833762
79,-44103.03203301932
82,-44238.370727500485
85,-44084.798142322674
88,-44074.06645265528
91,-44049.50429937828
94,-44141.56204219397
96,-43962.34110323958
99,-44006.52374391158
102,-43879.21414949995
105,-44020.9593913963
108,-44030.88053809062
111,-43974.22308507794
114,-43929.602795535895
116,-43895.39786221318
119,-43856.17170162648
122,-43847.06275698392
125,-43980.335097272124
127,-43793.36712090041
131,-43771.52022460806
133,-43790.926398077994
136,-43836.832851727275
139,-43754.74804418375
142,-43765.227475171174
145,-43651.272536066106
148,-43823.70105110219
151,-43643.73348929136
153,-43715.65019287578
156,-43693.68260391491
159,-43725.12586934883
162,-43655.44262291487
165,-43695.13272075534
168,-43503.50382601794
171,-43558.589028558774
174,-43467.49710244315
176,-43560.99859873558
179,-43572.39686710129
182,-43447.33449809579
185,-43514.41681972386
187,-43558.142777833076
190,-43406.79012143949
193,-43468.07413239446
196,-43428.80208807747
199,-43418.48916420692
202,-43366.226808672734
205,-43349.02207712804
207,-43396.43908826161
210,-43315.41038527064
213,-43231.288616744016
216,-43185.557199005874
219,-43365.87246869679
222,-43348.19764135399
224,-43417.13702679686
227,-43220.12957670442
230,-43397.50752967403
233,-43241.43285224006
236,-43198.918330110944
239,-43014.21173355893
241,-43026.90462743506
244,-43059.13746223135
247,-43041.95145414185
250,-42999.34732778815
253,-42914.83903679556
256,-43000.26225392438
259,-43007.751448453324
262,-42905.86095832877
265,-42910.934172670175
267,-42891.438618760825
270,-42925.29318098068
273,-42854.281747222856
276,-42822.776585714295
279,-42854.26124413695
283,-42823.54313732356
285,-42721.57971327336
288,-42800.41958141733
291,-42776.69373540484
294,-42713.88763338294
297,-42640.27324322058
300,-42695.33624423676
302,-42723.14397440117
306,-42577.70835389874
309,-42653.52638679202
312,-42584.59166752505
314,-42491.60633608883
318,-42477.10214445177
320,-42506.73405099276
323,-42471.78669540271
326,-42400.78001365761
329,-42303.17043622374
332,-42485.218840125635
335,-42343.840346202735
338,-42252.42682283894
341,-42335.77686738245
344,-42255.59664367354
347,-42245.621350305664
350,-42270.06559309923
352,-42250.57069638764
355,-42130.842772093616
358,-42217.21812320498
361,-42198.02797594338
364,-42129.56985857058
367,-42210.71054243789
370,-42055.689622533064
373,-42114.44669423603
376,-42049.96559609346
378,-42071.07647408463
381,-42077.11462329071
384,-41994.94726024997
387,-42065.9866585559
390,-41925.92871974118
392,-41971.10920709057
396,-41967.74909872916
399,-41934.8416472367
401,-41877.461224230676
404,-41949.20403812547
407,-41871.97689720215
410,-41855.864151764705
413,-41794.55628882679
415,-41724.540214128494
419,-41850.22350559626
421,-41739.97105929253
425,-41826.83813673154
427,-41840.95725009483
430,-41691.220103115265
433,-41609.972178249605
436,-41718.6316092689
439,-41606.86673521374
442,-41672.84766135014
445,-41591.8429545756
448,-41657.698103051844
451,-41720.148155147486
453,-41616.80403832191
456,-41544.416212777905
460,-41606.22856658818
462,-41624.55960174289
465,-41559.74825911798
468,-41672.93902583858
471,-41509.61286516799
474,-41642.68270894124
476,-41443.08987756932
479,-41436.68658052792
482,-41477.96930918898
485,-41564.91055247921
488,-41449.242419876835
491,-41392.91789425175
494,-41473.25524286526
496,-41438.969516283716
499,-41449.96759741743
502,-41365.14436155721
505,-41370.41122890166
507,-41395.919483480044
510,-41317.873982578676
513,-41417.66200849934
516,-41393.1785965713
519,-41244.038971838476
522,-41460.884158537956
525,-41352.69249108938
527,-41356.49700946506
530,-41320.615775394515
533,-41266.9963238802
536,-41278.84833325401
538,-41229.405395645445
541,-41314.89879110616
544,-41272.263862584354
547,-41266.53501044355
550,-41097.79225011527
553,-41162.60870601128
556,-41222.42991837441
559,-41198.404453860356
562,-41221.46395974934
565,-41102.96526150003
568,-41089.369686699225
571,-41122.36807974709
574,-41097.631057541774
576,-41137.930271556004
580,-41113.98120838395
582,-41061.18729457173
585,-41186.999910538805
588,-40959.92060068784
591,-41060.05192407754
594,-41083.680192444575
597,-41137.431259238845
599,-41048.56652781988
603,-41079.44518637812
605,-41095.006173362955
608,-41159.73754129206
611,-40971.34170351016
614,-41014.63440719865
617,-40973.148528673344
620,-40911.71382539991
622,-40869.204658042436
626,-41119.97434171236
629,-41029.18551158773
631,-40980.15560977845
634,-40934.88120507166
637,-40970.90891185941
640,-41011.07977198888
643,-40867.25071849014
646,-40891.88183420893
649,-40811.1392563606
652,-40851.46531018838
654,-40921.1468256435
657,-40950.64938376931
661,-40885.1897769001
663,-40936.828693007774
666,-40970.69358081712
669,-40799.45635985945
672,-40894.04259203735
674,-40770.507146599484
677,-40894.591296083025
680,-40875.760164752195
683,-40891.42802846886
685,-40753.46856266109
688,-40891.74077412263
691,-40824.61559438481
694,-40777.248999188814
697,-40770.16218337138
700,-40720.69168231585
703,-40847.94906035631
706,-40710.09324933278
709,-40913.37589018302
712,-40721.489073966535
715,-40717.73337145918
718,-40789.94253323337
721,-40745.12060793946
724,-40708.79402825385
727,-40780.592751753495
730,-40681.23175797085
733,-40619.53623908402
736,-40609.82627327924
738,-40722.48029143982
741,-40733.03694708366
744,-40684.71346176127
747,-40824.15805005916
750,-40717.49806078188
753,-40802.77716716763
755,-40649.77112853863
758,-40680.44085290361
761,-40754.15383177982
764,-40726.76789167734
767,-40655.08869880734
770,-40561.98168124414
772,-40571.39327531992
775,-40642.39496545029
778,-40684.602837606624
781,-40683.96420791473
784,-40669.369037088676
787,-40548.828501335905
790,-40598.25195106719
793,-40676.61293358056
796,-40714.86970268083
