RuntimeInSeconds,ELBO
0,-46315.89508121387
3,-45836.26863208256
5,-45434.13757205392
8,-45402.33362770958
11,-45032.51492045839
14,-45038.29435035547
16,-45005.91842521027
20,-44893.15935873863
23,-44737.64241062591
25,-44581.10792538837
29,-44745.17510509497
32,-44610.828644408604
34,-44584.25775043319
37,-44495.070017316124
40,-44496.03498036308
43,-44498.05444197278
45,-44429.854177849964
48,-44391.71576686856
51,-44343.14071144537
54,-44325.05136610859
57,-44397.14754259277
59,-44211.814402163836
62,-44231.072392997485
65,-44212.83433786846
68,-44151.83514475901
70,-44143.96062164166
73,-44203.625388498076
76,-44131.041807656926
79,-43997.3896663733
81,-44066.60041240034
84,-44157.21299899124
87,-44125.463719857624
89,-43903.194475625045
92,-44005.657984032114
95,-43991.29297002376
98,-43930.4073296034
100,-43914.36192647419
103,-43852.01641380176
106,-43931.39437728847
109,-43856.06985280952
112,-43943.796371844604
114,-43848.99148605623
117,-43793.20564651517
120,-43822.15509346258
122,-43792.36061024957
125,-43782.423650222285
128,-43842.13376615202
130,-43784.5457533513
133,-43769.08237169386
136,-43724.05056206971
139,-43739.40232367657
142,-43603.15516347225
144,-43687.80445033753
147,-43689.54435597259
150,-43671.1511189962
153,-43648.92429528195
155,-43651.40517874357
158,-43749.35106458456
161,-43668.27557712207
163,-43649.52961477424
166,-43500.52115216447
169,-43475.944330540806
172,-43470.129057372156
175,-43645.28089555889
177,-43495.24086344895
180,-43290.59031886061
184,-43438.88325582175
187,-43436.12163593539
189,-43424.37892668486
192,-43465.535319410956
196,-43307.040397549135
198,-43278.58977445436
201,-43417.04671832674
203,-43383.319052253755
206,-43252.66089035415
209,-43195.97735654969
212,-43322.21483168939
214,-43075.96435025627
217,-43194.00300542931
220,-43125.69963931621
222,-43209.3406003869
225,-43260.7204913443
228,-43171.13214422254
231,-43046.57530127712
233,-43204.84463798582
236,-43038.44568711541
239,-42953.27680147731
241,-42961.81712822538
244,-42934.392904800334
247,-43046.9357393249
250,-42876.21629679032
252,-42966.69200598913
255,-42921.140167366226
257,-42923.71327868548
260,-42829.78823245566
263,-42937.029157847974
266,-42765.50400732977
268,-42761.53822399513
271,-42745.67193390625
274,-42768.06653028689
276,-42786.36934592605
279,-42767.34026329529
282,-42842.151039289995
285,-42610.880234248
287,-42600.44707972671
290,-42630.9362528153
293,-42602.2604551083
296,-42626.821038187685
298,-42563.21366007443
301,-42539.79223134458
304,-42471.084663481146
306,-42456.22666271801
309,-42569.173320415735
312,-42441.95412950564
315,-42434.20110558149
317,-42371.88336315992
320,-42339.38206741385
323,-42394.70843986486
326,-42284.04212069283
328,-42293.099221887125
331,-42263.38561067469
334,-42339.53318718699
337,-42373.893973700426
339,-42302.85313170183
342,-42199.85747903335
344,-42270.30868305935
348,-42162.61067138819
351,-42114.24917872995
353,-42112.588130940865
356,-42190.547390626365
359,-42174.3977312604
361,-42087.9003619894
364,-42043.908690543685
367,-42052.193850934666
370,-41947.86634686845
373,-41913.36814689961
376,-42056.36159990004
378,-41923.033079347704
381,-41971.740750576704
384,-41875.0675076766
387,-41936.99386618771
389,-41918.204111987914
392,-41954.66194794624
395,-41957.52588883917
398,-41861.351607442804
400,-41815.4630994695
403,-41857.56102183197
406,-41920.51482121106
408,-41782.78646364451
411,-41758.897325442056
414,-41833.32868998592
417,-41667.95094909036
419,-41729.17051869919
422,-41650.446431792465
425,-41935.886485764524
427,-41649.04731867577
430,-41690.59893472859
433,-41678.84857118711
436,-41651.24597587829
439,-41694.458044390565
442,-41554.87019123761
445,-41593.741146192355
448,-41556.35674043236
451,-41516.16976351662
454,-41547.12225551103
457,-41608.346992016835
460,-41478.04151166649
462,-41438.04187187802
465,-41441.84030231687
468,-41597.11521175542
471,-41462.56914544818
473,-41484.81739814103
476,-41526.94050574869
478,-41507.56982927735
481,-41480.69925009889
484,-41481.31954048108
487,-41436.81103134079
489,-41401.057498379145
492,-41387.940000462535
495,-41515.63497579653
497,-41496.42831976222
500,-41413.77013193493
503,-41305.66316511069
506,-41447.51161007446
508,-41335.31606642957
511,-41376.28123291154
514,-41252.57635807703
517,-41340.08140799054
519,-41416.50266076459
522,-41283.761906257794
525,-41310.58535263271
527,-41260.35092070433
530,-41259.53952452948
533,-41308.55686923201
536,-41280.09329729503
538,-41217.854318462974
541,-41275.62078427776
543,-41180.67484423895
546,-41283.81297903751
549,-41197.96388275708
551,-41083.96648548544
554,-41153.627099825164
557,-41228.55302602756
559,-41119.48560546096
562,-41159.45117784745
565,-41295.36079478041
568,-41086.82263068584
571,-41071.336507744345
573,-41049.96205854081
576,-41025.603398422674
579,-41013.08812523688
582,-41044.19212065541
584,-41065.481613601725
587,-41038.72857334939
590,-41067.807190352214
593,-41070.75504567076
595,-41102.291547383225
598,-41082.794829768056
601,-40965.92291853381
