RuntimeInSeconds,ELBO
0,-47267.43003530942
1,-47055.537160630716
3,-47500.284057741395
5,-46933.43314183432
8,-46730.748841487555
11,-46391.988068264756
14,-46541.705441888626
17,-45883.82540674464
20,-45649.698096313216
23,-45531.26617326407
26,-45342.98280596385
29,-45050.91320228516
32,-45066.04137402482
35,-44914.360014602484
38,-44927.98670359081
41,-44703.10227103186
43,-44665.414898310846
46,-44646.290415829215
49,-44664.92388403829
52,-44525.4861994235
55,-44464.87646148967
58,-44524.79412098645
61,-44334.119017319856
64,-44435.927468370726
66,-44368.52901768158
69,-44356.96486926191
72,-44254.0713189258
75,-44298.34979566731
77,-44245.93969981154
80,-44202.588334332795
83,-44163.97966249728
86,-44145.90438703802
89,-44071.27868273634
92,-44061.48869497962
94,-44086.61065887189
97,-44066.20437266259
100,-44143.917652052725
103,-43976.10127802283
105,-44039.54194309734
108,-43945.61993885422
111,-44033.239495879905
114,-44063.686701313265
116,-43922.49957746356
119,-44001.225089767715
122,-43951.06659666943
124,-43894.55059388357
127,-43942.79461320572
129,-43895.043488431606
132,-43848.75173731944
135,-43832.37317754569
138,-43823.84579082725
140,-43856.540075875244
143,-43830.48538378737
146,-43705.90210470249
148,-43718.30885761156
151,-43724.237564281975
154,-43694.734548368375
157,-43666.7826801771
159,-43635.79161156775
162,-43792.771512973624
165,-43566.262757746634
167,-43652.478783147744
170,-43639.37444068094
173,-43593.931714564605
176,-43662.74934132969
179,-43618.473268091824
182,-43684.626846008716
184,-43567.23333616278
187,-43511.35806195233
190,-43465.700873857095
192,-43562.85501783144
195,-43414.559367768
198,-43521.261175724925
200,-43361.8271459164
203,-43355.76122095788
205,-43412.12222151993
208,-43372.242544354056
211,-43467.14650877094
214,-43402.658239529934
216,-43360.358346346926
219,-43322.76628342446
222,-43349.514337663684
225,-43316.48389253195
228,-43252.91451363158
230,-43166.45874129878
233,-43161.39732539574
236,-43147.23163747549
239,-43059.97200414748
241,-43230.14319126767
244,-43077.8386872542
247,-43092.643631642444
250,-43085.91674823594
252,-43060.555957140125
255,-42961.19226520602
258,-43001.92684663947
260,-42985.191755798696
263,-42892.418686482095
266,-42959.66857610511
269,-42982.43449076227
272,-42783.52886105584
275,-42935.39654952702
277,-42968.57032235326
280,-42936.6317341572
283,-42789.23646164634
286,-42842.85335747574
288,-42703.15312081971
291,-42574.78789520228
293,-42733.17679704793
296,-42706.2923281038
299,-42691.73180313927
302,-42695.96708995006
305,-42712.488261002574
307,-42670.507838402
310,-42555.84510569353
312,-42654.0095356673
315,-42488.819664989875
318,-42487.99553884294
321,-42497.49305061144
323,-42516.42378798211
326,-42473.819025820165
329,-42370.28822677912
331,-42380.083034240255
334,-42537.22304883683
337,-42349.135606863834
