RuntimeInSeconds,ELBO
0,-47415.694604780685
2,-47261.11350569178
4,-47333.09620170075
6,-47066.459064102535
8,-46787.864850312486
11,-46618.65424119098
14,-46348.59254670066
17,-46136.20075476681
19,-45831.233480362236
22,-45575.58791491159
25,-45351.77691997135
28,-45087.57483778259
30,-45166.85898603454
33,-44926.31808891407
35,-44897.805723454505
38,-44836.08074281936
41,-44744.42196730489
43,-44755.0936046215
46,-44690.98794275217
48,-44697.58420020553
52,-44523.4652303022
54,-44554.02982637815
56,-44551.05158062704
59,-44422.27374425021
62,-44411.68509118338
65,-44333.33340161774
68,-44267.72279098621
71,-44301.749016777656
74,-44309.65241394409
77,-44282.58421532789
79,-44230.8117562405
82,-44126.69131087615
85,-44202.060754461454
88,-44132.715509590336
90,-44132.17919812008
93,-44085.73166590357
96,-44099.208795572406
99,-44063.49166655123
101,-44144.69875218446
104,-44052.25817682072
107,-44038.543014393545
109,-44004.46933971805
112,-43969.788187612474
114,-44018.10016079228
117,-43985.873598463186
120,-44014.66586502655
123,-43967.816009629525
125,-43895.284873556215
128,-43903.505106679135
130,-43890.926489221376
133,-43820.89251826651
136,-43797.68877468243
138,-43796.64353988794
141,-43778.34562996652
143,-43729.38233642718
146,-43781.63130334364
149,-43795.48535453951
151,-43746.91344216932
154,-43713.342080446826
157,-43705.20665329969
159,-43660.964531598656
162,-43691.28611556205
165,-43670.81986675239
167,-43792.178438036324
170,-43691.96825123805
173,-43670.238075606285
175,-43786.82055904052
178,-43600.5752019289
181,-43550.8807607863
183,-43617.86325469805
186,-43631.157120052725
189,-43508.20125921783
191,-43462.67725839913
194,-43555.45684312865
197,-43445.231946272106
199,-43400.58320771992
202,-43426.487620738975
205,-43496.17936616457
208,-43469.273438661
210,-43398.03580282714
213,-43345.43802243386
216,-43313.75149714639
219,-43349.77916782544
221,-43298.869949115455
224,-43342.92441440165
226,-43414.93611954055
229,-43239.304390552235
232,-43228.13618211299
235,-43141.294156396536
237,-43152.25274291462
240,-43084.91821958986
242,-42997.16024497596
245,-43096.21179349387
248,-43148.71726288151
251,-43049.04098086184
253,-43040.44851290667
256,-43040.91249019161
259,-42958.482638565205
261,-43000.20740983197
264,-42950.16686912322
267,-42893.47191407554
270,-42890.418467408716
272,-43015.50000748604
275,-42761.31025055308
278,-42885.878470022835
281,-42869.10937587903
284,-42792.80224389842
287,-42788.44932423511
289,-42761.30268209233
292,-42695.22633855722
295,-42703.93356702708
298,-42779.09960333212
300,-42665.346298626246
303,-42628.98480610249
306,-42654.9728045352
309,-42551.71016369661
311,-42569.97557627728
313,-42623.35280689895
316,-42553.913059052815
319,-42431.870537616625
321,-42507.519957850665
324,-42422.69753599082
327,-42464.190483072714
329,-42412.38166963682
332,-42548.42917847395
335,-42373.960860662046
337,-42420.622145663874
