RuntimeInSeconds,ELBO
0,-46681.45703389573
3,-46577.737169126514
6,-46305.46212057701
9,-45741.85610081284
11,-45583.333510470264
14,-45341.97060126243
17,-45160.06657020879
20,-45166.99889290785
23,-44980.145878499774
26,-44944.72939248595
29,-44787.24708983141
31,-44791.69734984078
34,-44745.31490520069
37,-44539.55709364796
40,-44555.40995489369
43,-44499.705034827864
46,-44587.218427691034
49,-44348.83151526352
51,-44439.344261930324
54,-44470.98651792452
56,-44348.82463825402
59,-44306.63685344075
62,-44193.082328196186
65,-44306.5487262299
67,-44223.75633972751
70,-44197.142608250964
73,-44233.386742042356
76,-44199.277586409036
79,-44151.437408273465
81,-44206.867101330325
84,-44070.301897310215
87,-44104.22864205826
90,-44046.84407148051
92,-44035.361566640124
95,-43971.46184299052
98,-44006.232939583846
100,-43949.976475897325
103,-43964.29566443339
106,-43919.67843503973
109,-43926.94407207661
112,-43939.86870263092
114,-43853.13085394868
117,-43876.5486689843
120,-43856.83781543936
123,-43841.39074037556
126,-43837.03424565803
128,-43825.46319833948
131,-43766.845282845024
133,-43795.71830414961
136,-43731.25402444095
139,-43780.45629948225
141,-43757.508615828156
144,-43756.1126886335
147,-43788.038072971554
149,-43781.99961353818
152,-43622.394430297405
155,-43708.45242323522
158,-43671.57171832005
160,-43643.42194476885
163,-43646.592646718804
166,-43590.48916642151
169,-43647.41747816258
172,-43678.87823532121
174,-43414.36999439215
178,-43464.59118440688
180,-43540.29501066306
183,-43419.68494243826
185,-43541.87403532149
188,-43469.79142510901
191,-43331.315863816104
194,-43464.01348048871
197,-43286.19620540292
199,-43457.35441696165
202,-43311.03595398242
205,-43254.42933274322
208,-43301.10830224868
211,-43282.659200858565
213,-43279.921058720734
216,-43173.06740406355
219,-43210.71928663897
221,-43160.682772163455
224,-43213.0149536153
227,-43207.55061410463
229,-43211.77052754047
232,-43065.16372951257
235,-43047.72313677451
238,-43153.37551937096
241,-43100.94641248579
243,-43108.460000661995
246,-42940.048162641724
249,-43052.23738102245
251,-42928.265941134654
254,-42975.97881798876
256,-43063.693519122025
259,-42967.42158324255
262,-42951.463776064236
265,-42785.711606804696
267,-42929.99480566193
270,-42800.68165631718
273,-42819.66451982602
275,-42888.68997386525
278,-42819.581857529665
281,-42695.91347025173
284,-42720.23456275175
287,-42703.55300138865
290,-42703.351369467346
292,-42692.27090790537
