RuntimeInSeconds,ELBO
0,-47087.26231028015
2,-47205.57933618585
6,-46583.39601361836
8,-46326.18158733231
11,-46119.10701274858
14,-45657.77473569016
17,-45485.674677315765
19,-45438.24721632718
22,-45247.35282868293
25,-45065.67427888953
28,-44869.56175357691
31,-44949.41896053269
33,-44832.070538552405
36,-44731.878373644155
39,-44652.18773114295
41,-44681.499590155225
44,-44566.62813391862
47,-44497.47739014089
49,-44497.29231408391
52,-44559.11625864228
55,-44536.738513036966
58,-44504.67665622182
61,-44351.58348811487
64,-44334.05706843759
67,-44247.45314416669
69,-44216.09581394015
72,-44261.73590739575
75,-44232.95385276946
77,-44159.791685087424
80,-44120.850126654106
83,-44168.183332006796
86,-44095.75475016484
89,-44159.23812622563
92,-44070.61622640197
95,-44093.028780916386
98,-44030.350300039645
101,-44006.748662854916
103,-43939.59963370346
106,-44009.046909712044
109,-43897.93496704145
112,-43993.742925343926
115,-43929.42309418578
117,-43839.01847001425
120,-43863.77774892883
123,-43869.458869349546
125,-43909.24754296528
128,-43885.46905803315
131,-43835.11171946607
133,-43741.50161891531
136,-43803.10551856169
139,-43768.56599515836
142,-43743.199547758966
145,-43805.14662207207
148,-43629.32440034063
151,-43730.55916171882
154,-43756.2809800113
157,-43671.793903271035
160,-43636.18698433452
162,-43672.720563487
165,-43531.63808761132
168,-43619.07367620157
171,-43744.917075504054
173,-43528.58603700122
176,-43595.23194943327
179,-43514.01599745287
182,-43577.17826446646
184,-43489.64564231032
187,-43546.90335209916
190,-43604.91947594716
192,-43515.49655476751
195,-43381.49802465135
198,-43502.25284535092
201,-43368.08832900146
203,-43428.132946524
206,-43448.79280296477
208,-43276.33112935667
211,-43383.8968382748
214,-43329.467313580644
217,-43268.166510296534
219,-43270.200465863716
222,-43234.258889094046
225,-43152.9595907371
227,-43118.511086885315
230,-43281.150293326726
233,-43177.41136616783
235,-43089.716600782456
238,-43110.014350953184
241,-43060.36799304568
244,-43094.79546022149
246,-43072.104898552
249,-43189.57152348512
252,-43044.3105451212
254,-42996.993579911126
257,-42930.96920956475
259,-43043.669735137635
262,-42953.30628585266
265,-42888.778044944724
267,-42887.74906065002
270,-42763.18527142767
273,-42893.49489756331
275,-42836.73775882701
278,-42791.99888624123
281,-42864.49912103546
284,-42888.932299493456
287,-42616.450709040044
290,-42742.84522295481
292,-42715.42230925283
295,-42727.228492563976
298,-42551.90630271404
300,-42639.4186034553
303,-42540.75443259869
306,-42490.92278584995
308,-42514.54528163242
311,-42438.01721072389
313,-42617.43025213862
316,-42464.80534336948
319,-42523.78683849795
322,-42489.68980376821
324,-42486.285026132915
327,-42407.45481785722
329,-42414.25978543803
332,-42482.4829790694
335,-42323.606245385745
337,-42273.834457409095
340,-42298.65884334633
343,-42297.94386417549
345,-42318.417633832934
348,-42326.83623468269
351,-42202.1944656672
354,-42236.62652506123
356,-42276.79734741259
359,-42153.787777895624
362,-42156.92908953019
365,-42121.15838418092
367,-42063.24858621008
370,-42130.131762320445
372,-42128.72235028596
375,-42131.36132604416
378,-42142.716490689076
381,-42080.710635305564
383,-42010.2009554264
386,-42009.35227763776
389,-41973.91972925453
392,-42025.548411250806
394,-41860.35877929666
397,-41895.89173882796
400,-41878.35628460211
402,-42032.13666290676
405,-41819.41404676254
408,-41852.940190318586
411,-41800.14906044763
413,-41858.23992888036
416,-41840.43012610189
419,-41893.96016829295
421,-41824.705708645866
424,-41759.79342852011
427,-41833.947246921656
429,-41733.78349553037
432,-41768.97131624323
434,-41693.59791484062
437,-41710.88218516375
440,-41800.98372821225
442,-41812.950485498484
445,-41649.60746959156
448,-41739.7604246659
450,-41692.57872116967
453,-41661.577536330675
456,-41659.68617559825
458,-41625.133899013344
460,-41598.83803537828
463,-41585.2154502535
466,-41654.38010575781
468,-41575.485572376376
471,-41540.75208888349
474,-41676.357539740115
476,-41525.84692123474
479,-41505.86212065099
481,-41595.972509469044
484,-41504.39578489608
487,-41562.87068568077
489,-41512.791123061215
492,-41502.17020098265
495,-41445.70774132621
498,-41506.40793212328
501,-41322.16384177851
503,-41421.55232938014
506,-41383.68193626196
509,-41387.617434847256
512,-41455.977955548355
514,-41367.555609864474
517,-41269.95611872426
520,-41301.235204892626
522,-41344.26127764142
525,-41253.80961819406
528,-41250.41497861948
530,-41220.40931705875
533,-41274.050911977305
536,-41181.40418298679
538,-41263.657096828494
541,-41255.182947449444
544,-41280.22225782338
546,-41217.34136675876
549,-41185.202367855774
552,-41246.65319898643
554,-41187.78394914216
557,-41261.62863719686
560,-41216.27620473385
562,-41176.69557233578
565,-41221.98436103916
568,-41185.74746753238
571,-41299.66434680153
573,-41146.39213700302
576,-41116.011508853495
578,-41143.76964634485
581,-41139.288573711245
584,-41139.662717901134
587,-41123.415164107006
589,-41174.61176985909
592,-41137.005227188856
595,-41067.45310922448
598,-41080.37690301901
600,-41081.6374737532
603,-41071.50087355868
606,-41067.80884069977
608,-41056.91498505365
611,-41007.922330332316
614,-41019.69341601062
616,-40895.19136419833
619,-40966.524791293974
621,-41165.49196696846
624,-40896.25051322302
627,-41040.212155296394
629,-40941.01505660102
632,-41060.024849096946
635,-41016.97884412432
638,-40946.89858753601
641,-40881.15899661909
643,-40863.90545784352
646,-40902.10163200686
649,-40894.70295614297
652,-40929.03384730507
654,-40963.46415810348
657,-40883.62039430062
659,-40935.613310924455
662,-41074.62110712705
665,-40943.926179955415
667,-41089.094774600955
670,-40858.54760221597
673,-40961.712037359204
675,-40901.44610555515
678,-40801.75525998796
681,-40844.212285165864
684,-40883.41023718775
686,-40923.5641379995
689,-40842.632295582145
692,-40807.40889973066
694,-40850.06168410876
697,-40818.83590637592
700,-40790.46133687836
703,-40828.64667195751
705,-40763.406615727436
708,-40841.81888915892
711,-40775.76172508265
713,-40704.66036182369
716,-40712.088368738056
719,-40685.99262815465
721,-40783.98347022624
724,-40732.65343131045
726,-40738.57230528096
729,-40675.10496473441
732,-40747.62355116794
734,-40784.5840437509
737,-40668.57774472901
739,-40699.418516168254
742,-40731.383095170444
745,-40740.3103049039
747,-40657.329531940704
750,-40711.24715971787
753,-40707.79861904984
756,-40694.55594335792
758,-40607.356783100906
761,-40701.3383746448
764,-40699.62767477839
766,-40714.920672842636
769,-40700.57415848239
771,-40745.45367012482
774,-40586.874649741556
777,-40695.391484874955
780,-40682.948123273694
782,-40577.1454332153
785,-40655.67242523869
788,-40703.732113814294
791,-40578.906824116966
793,-40695.507017193006
796,-40530.29285124709
798,-40612.314254266086
801,-40600.19822773455
804,-40600.168094013694
806,-40682.31331750629
809,-40557.442510594024
812,-40608.65031387401
815,-40593.06578749425
817,-40517.26036629367
820,-40517.365826979876
823,-40650.70644377776
825,-40451.053837826024
828,-40525.766299671275
