RuntimeInSeconds,ELBO
0,-47302.6326961682
1,-47267.60037736061
3,-47297.915787753576
5,-47457.9547363862
7,-46963.771697176104
10,-46679.266421424225
13,-46333.41342861575
15,-46133.954910339795
18,-45805.347211759334
21,-45524.698637967194
23,-45475.55039761435
26,-45061.19273058418
29,-45138.93865078049
32,-44944.01713536363
34,-44986.213676274834
37,-44822.72581750717
40,-44726.907724601944
43,-44663.036271965735
46,-44687.19604100985
48,-44592.92005602208
51,-44592.12482824107
54,-44529.194415109654
57,-44426.470016380496
60,-44413.45670236274
62,-44306.62781673356
65,-44417.68072575819
68,-44297.883538878305
71,-44385.190018255795
73,-44207.79454579477
76,-44313.71704264769
79,-44207.12812912278
82,-44203.68925309178
84,-44231.368339896275
87,-44190.31645132969
90,-44070.00077203791
93,-44109.52200884957
95,-44078.34678813584
98,-44157.857207775625
101,-44128.14806256555
104,-43988.977901771366
106,-44003.47476277614
109,-43958.776993294414
112,-43966.86147305733
114,-44062.950646715326
117,-43941.06429997898
120,-44085.5407583504
123,-43942.13298888186
126,-43901.49797285537
128,-43818.64661995854
131,-43833.37683631674
134,-43887.94812757856
136,-43859.62630942842
139,-43858.82293633311
142,-43702.29496667748
145,-43759.770314611575
147,-43724.245708564646
150,-43697.86528662535
153,-43687.94360014685
156,-43669.408162551525
158,-43702.2468156283
161,-43760.3418766981
164,-43673.73535598202
167,-43691.3527577082
170,-43611.94082492995
172,-43652.95773464828
175,-43635.986197918675
178,-43640.795893427916
180,-43607.10068300351
183,-43567.89380497185
186,-43534.401495622755
189,-43526.34865567242
191,-43497.90734332756
194,-43528.94354991016
197,-43494.46699933879
200,-43573.68927294454
202,-43430.207257135
205,-43358.278711962856
208,-43435.58362666744
211,-43421.12785494753
213,-43470.772760005
216,-43384.976691599215
219,-43372.267208779784
222,-43331.06240095135
224,-43213.27895473683
227,-43206.864740125675
230,-43111.458145608434
233,-43261.566426564896
235,-43166.577179116386
238,-43165.31305029
241,-43256.15850690013
243,-43084.74854863786
246,-43178.52414084346
248,-43144.250039163555
251,-43110.659338580655
254,-43116.25922101677
257,-43050.473144602554
259,-43018.704948423496
262,-42913.14213481532
265,-42930.57786722416
268,-42833.37333714409
270,-42976.581834745084
273,-42951.97598431578
276,-42829.34334705313
279,-42855.960839037165
281,-42796.37133910629
284,-42835.84106143143
287,-42793.21264389806
290,-42694.879488519604
293,-42737.42398837144
296,-42675.16089241247
298,-42757.15754381088
301,-42720.16915847361
303,-42604.49361079344
306,-42565.90408963101
308,-42582.38997636947
311,-42532.79425324477
314,-42507.323166377464
317,-42534.33109610934
320,-42447.434306279436
323,-42544.74944469486
325,-42439.38031834911
328,-42483.34823910063
330,-42527.66022492429
333,-42453.610377255456
336,-42360.25331979798
338,-42456.02814699116
341,-42350.382865278065
344,-42338.469209520495
347,-42323.08751495856
349,-42308.265460374314
352,-42270.37770489672
355,-42323.07139649892
358,-42208.79982702411
360,-42461.680773043314
363,-42217.179279588825
366,-42091.259379140574
368,-42154.11714073813
371,-42170.869174579966
374,-42151.765484170806
377,-42139.55011904612
379,-42059.88904734052
382,-42134.76589684523
385,-41992.529114853896
388,-42081.37957292993
390,-42034.55757857853
393,-42071.66840199248
396,-42026.95685426901
398,-42009.88602527251
401,-42031.313636480365
404,-41964.008385459005
407,-41806.149726230906
410,-41917.32773643279
412,-41859.574419206954
415,-41831.11572614758
417,-41804.61406349345
420,-41876.98832202644
423,-41711.38488433222
426,-41835.55277195823
429,-41832.27536646832
431,-41717.58109466829
434,-41757.568477384106
437,-41788.24366479596
439,-41669.44632229358
442,-41729.84594781909
444,-41761.79308623564
448,-41750.0283437572
450,-41681.27330633128
453,-41562.719546416076
456,-41671.39370268335
459,-41575.25754231034
461,-41653.04300494531
464,-41660.21920967939
467,-41672.38021017764
470,-41552.19079654349
472,-41581.79138869998
475,-41518.81834810778
478,-41486.61991744922
481,-41540.46645488237
483,-41463.59437297174
486,-41520.278338803306
489,-41573.478985191
492,-41472.75489943438
495,-41466.222103102176
497,-41469.26826793734
500,-41496.94949520529
503,-41369.61972771194
505,-41474.65559130077
508,-41358.20678305194
511,-41394.26090235539
514,-41558.581987866746
517,-41259.96243503984
519,-41453.14617086081
522,-41345.86919100196
524,-41315.34597639312
527,-41248.40678233436
530,-41311.326855452644
533,-41390.911586207956
536,-41336.770750791926
538,-41263.98815566384
541,-41323.83572357478
544,-41384.55117324507
547,-41268.34499063294
550,-41254.88854674221
553,-41346.08928060675
556,-41170.65299896423
559,-41234.59493219407
561,-41219.48966269553
564,-41180.237628120056
567,-41190.2877502573
570,-41113.899993280465
573,-41151.42662499976
576,-41167.41394482501
578,-41086.86654469544
581,-41152.960941468526
584,-41118.58150028065
587,-41189.094168888965
589,-41047.75688346963
592,-41103.445268682684
595,-41154.87427273248
597,-41089.25937432978
600,-41045.995756627235
603,-40980.158787375854
605,-40996.68703354565
608,-40984.033311143314
611,-40981.875392109716
613,-41020.699973909235
616,-41121.467420718436
619,-41065.1546625051
622,-41004.309715778865
625,-41072.6024564371
628,-41067.16984809423
631,-41032.80871752691
634,-40960.592094235544
636,-40931.71138048025
639,-40934.562423897936
641,-40967.67327913669
644,-40847.1717498772
647,-40956.1354953212
649,-40901.29191847125
653,-40989.68393923575
655,-40894.21619566799
658,-40868.69167384696
661,-40835.58791440339
664,-40888.57077128642
666,-40930.11441867992
669,-40801.95540565741
671,-40880.06920088819
674,-40838.85485248448
677,-40853.47256347009
680,-40912.20529555701
682,-40929.54855961199
685,-40824.497658453955
688,-40807.70299879371
690,-40834.30134124374
693,-40775.54965089349
696,-40858.08522701325
699,-40809.997333044914
702,-40883.841628492
705,-40854.82287145516
708,-40771.287518998324
711,-40703.87241747109
713,-40862.088532270696
716,-40731.258144910506
719,-40725.5142044846
722,-40787.856884573324
725,-40742.99894102079
727,-40767.20932866703
730,-40711.00097400413
733,-40704.393177387974
735,-40687.73860198916
738,-40656.01097572135
741,-40717.74018330453
744,-40716.75210745836
746,-40654.640588973234
749,-40964.47772303644
752,-40712.22085668905
755,-40834.18688116452
757,-40668.263513058286
760,-40638.569762621446
763,-40617.080645204216
