RuntimeInSeconds,ELBO
0,-46226.659895845216
2,-45935.47631844256
5,-45785.19607250326
8,-45629.45113714889
11,-45413.12491731326
13,-45152.31628675643
16,-45171.13424678539
19,-45031.006718525205
22,-44773.56478613802
25,-44832.87745849655
27,-44816.029153392585
30,-44684.938541241536
33,-44506.77793472115
36,-44577.88090596669
38,-44507.028259054976
41,-44578.95348782577
44,-44395.27242003538
46,-44370.91172345038
49,-44343.70885063381
52,-44360.13308830578
54,-44385.086086314775
57,-44255.17105970302
60,-44279.1961008374
62,-44306.488437157874
65,-44177.17091480322
68,-44142.022532298455
71,-44096.935285812855
73,-44165.04429233359
76,-44129.136986435486
79,-44039.78699714656
81,-44113.578693321084
84,-44079.87212066477
87,-43974.302311448264
90,-43973.279564596785
92,-44058.63727177951
95,-43973.77891594682
98,-43982.873487774166
100,-43925.9237128309
103,-43842.82022787814
106,-43893.0451709965
108,-43925.71543080545
111,-43831.761479149725
114,-43881.06372494734
117,-43918.80214911662
119,-43835.91477428679
122,-43796.76918352383
125,-43844.53406658665
128,-43816.3143924794
130,-43757.68240984723
133,-43782.69242416422
136,-43786.331225647824
139,-43770.425460527586
141,-43672.1373230345
144,-43690.000748421415
147,-43762.94593289646
150,-43641.271998221666
153,-43629.873953729424
155,-43627.15975959055
158,-43542.5292301444
161,-43573.476954687314
164,-43503.221147801596
166,-43649.994500928704
169,-43477.410660549474
172,-43608.358382501574
175,-43501.37324112446
177,-43419.74262507273
180,-43497.42730697739
183,-43460.71025751921
185,-43550.42554655658
188,-43416.31079276295
191,-43302.873857610844
193,-43447.34409915006
196,-43352.92255845071
199,-43388.27290520794
202,-43371.38369411067
204,-43277.59642349521
207,-43240.82179350578
210,-43352.24749416996
212,-43290.16690031224
215,-43277.31325730673
218,-43200.565247731814
221,-43147.88900938122
224,-43214.51520514191
226,-43304.12575065427
229,-43190.22083096553
232,-43040.80137938722
235,-43071.29362549518
237,-43031.27178575412
240,-42915.65029704988
243,-43098.9495944309
245,-42983.62203824251
