RuntimeInSeconds,ELBO
0,-47328.76890171774
1,-47239.465380336915
3,-47097.79659799451
4,-47317.58769449596
6,-47136.49699116154
7,-46903.87141058449
9,-46763.02126653694
10,-46494.2663201504
11,-46711.96972162016
13,-46619.75775567192
14,-46317.17269894471
16,-46441.649067831364
18,-46443.12132376895
19,-46231.09346314605
20,-46544.89804550699
22,-46039.22646102191
23,-46139.9440427696
25,-46078.394425804116
26,-46007.23417101715
27,-45965.47411318786
29,-45985.32803227256
30,-45925.10537769112
32,-45806.864436138945
33,-45917.74878743675
34,-45758.90787207956
36,-45627.38846293089
37,-45608.77674778428
38,-45764.97407915083
40,-45509.11991381441
41,-45493.711409644464
43,-45400.57504775211
44,-45338.99964516204
45,-45331.05486122604
46,-45388.16083776223
48,-45236.96850429127
49,-45305.17920717129
51,-45448.48157121087
52,-45276.54147977474
53,-45277.58998097968
55,-45358.47452475401
56,-45330.267917920726
57,-45160.311608239936
59,-45034.75197502728
60,-45056.68140289159
61,-45129.54737713897
63,-45086.92456443231
64,-45090.937688514074
65,-45166.5445743265
67,-45092.54907377305
68,-44992.28455851513
69,-45002.79704919989
71,-45031.624089580226
72,-45057.86938439457
73,-44993.07825055909
75,-44973.33048048849
76,-45031.61819385111
77,-44960.083311236696
79,-44893.46902645723
80,-44775.57970549779
82,-44879.9909106069
83,-44884.4277754474
84,-44811.91425637038
85,-44833.21275109003
87,-44788.84164380561
88,-44774.475980229705
90,-44818.03773390044
91,-44796.211103289264
92,-44821.433830726804
94,-44743.75717838612
95,-44745.562432741564
96,-44700.86797713124
98,-44777.10887799056
99,-44761.52256511691
100,-44670.2230401091
102,-44639.1180099021
103,-44760.06848697622
104,-44780.758329296834
106,-44565.29467769108
107,-44688.659209893
108,-44636.84352984319
110,-44531.1629292785
111,-44646.464840877576
112,-44535.37637888298
114,-44521.85928982967
115,-44553.60696216441
116,-44588.694489010275
118,-44576.20565793075
119,-44567.771878425985
120,-44496.76531664688
122,-44495.12554727424
123,-44656.81676943812
124,-44408.042072718774
126,-44403.72809128716
127,-44719.36704943695
128,-44560.62007489691
130,-44519.661912372605
131,-44477.2802976937
132,-44507.87707645107
134,-44559.586596091984
135,-44495.10801640532
136,-44424.69240383432
138,-44500.12908686301
139,-44462.136585154134
140,-44468.58973638243
142,-44496.45686080863
143,-44437.24698880791
144,-44364.38600514704
146,-44372.752808267796
147,-44456.0809508925
148,-44447.766941247784
150,-44369.66114886044
151,-44405.87373127688
152,-44456.78445189765
154,-44396.32255483166
155,-44384.6341675162
156,-44483.73436119349
158,-44345.36809326475
159,-44417.583102131284
160,-44396.4499105551
162,-44443.80402255965
163,-44378.89011210263
164,-44378.83769012544
166,-44394.60781539286
167,-44324.96052312032
168,-44370.60824887505
170,-44340.82781607316
171,-44310.65813766747
172,-44290.44501040048
174,-44366.05172269761
175,-44316.995977959756
176,-44295.697263201655
178,-44341.238945626465
179,-44233.16575005752
181,-44252.645834603645
182,-44214.72542108961
183,-44317.99947251497
184,-44242.3630777469
186,-44249.43167889613
187,-44219.79043003864
188,-44201.312907174484
190,-44178.592675026026
191,-44461.19269191581
192,-44319.383650551375
194,-44225.313506773826
195,-44184.65328792007
196,-44303.87612048805
198,-44275.112887237236
199,-44235.54513054155
200,-44225.31958270412
202,-44187.637806511404
203,-44154.45549263987
204,-44172.73728817466
206,-44167.83492030433
207,-44283.92379907234
208,-44284.491234652975
210,-44306.72812024149
211,-44266.60547772817
212,-44307.26550603302
214,-44175.43501692628
215,-44202.30612094329
217,-44272.36755950845
218,-44162.24004531026
219,-44107.968545728196
220,-44081.8987443529
222,-44251.34593112119
223,-44161.97162737849
225,-44213.35530411094
226,-44153.19226153208
227,-44074.03975040213
229,-44136.08546172639
230,-44183.58389360292
231,-44218.13722586769
233,-44083.14446190141
234,-44100.38359989722
235,-44246.87612187705
237,-44068.36599939304
238,-44185.508968083726
239,-44055.25159548861
241,-44100.73410646026
242,-44179.41732588291
243,-44115.09503372481
245,-44222.49980262646
246,-44146.871674472335
247,-44098.30416931833
249,-44105.007239205464
250,-44095.64868878643
251,-44079.597929865835
253,-44000.65926571167
254,-44143.27325108097
255,-44077.34116642552
257,-44057.33040093724
258,-44079.70695414421
260,-44037.245803067846
261,-44134.37165975741
262,-44058.29483567219
263,-44119.43410216002
265,-44025.32217226599
266,-43979.7251444902
268,-43961.88682534615
269,-44007.919219148025
270,-44043.05640765796
272,-44075.336058177076
273,-44116.24268853602
274,-44023.78068757638
276,-44085.61799726186
277,-43963.58750216733
278,-44031.99258324177
280,-43993.823607030194
281,-43979.44726259131
282,-43988.97987307902
284,-43994.87762356559
285,-44033.03905006726
286,-43952.528379287025
288,-44031.19767171811
289,-44017.047895790376
290,-44024.10605922893
292,-43920.42949319822
293,-44086.22328721805
294,-43996.981547350035
296,-44024.831148145044
297,-43940.838390747886
298,-43919.46591530241
300,-43973.16245430809
301,-43933.50963547413
302,-43925.14466919465
304,-44009.06298544903
305,-43998.52483329944
306,-43948.22765356913
308,-44136.727350622925
309,-43916.93601561234
310,-43882.945350363654
312,-43978.48335672871
313,-44008.123017048216
314,-43907.809471825065
