RuntimeInSeconds,ELBO
0,-47373.058187241826
1,-47271.76841910193
3,-47049.85660098926
4,-47323.66962833207
6,-46868.09458285419
7,-46386.464879297746
8,-46525.18391380277
10,-46329.709188295405
11,-46222.8603983098
13,-46138.246981092045
14,-46054.38654941734
16,-46010.39918134876
17,-45802.06723778415
18,-45946.4143342921
20,-45780.041015156836
21,-45710.740000476995
23,-45327.12902697132
24,-45436.16345731213
25,-45432.09340299885
27,-45399.89655700068
28,-45251.78635975013
30,-45347.311964199056
31,-45277.095447468506
32,-45186.09158817583
34,-45207.34380802393
35,-45103.98027718312
37,-45054.104815942206
38,-45020.29992620525
39,-45023.24309781311
41,-44924.482228570836
42,-44819.69209219663
44,-44888.981295903955
45,-44749.15015755272
46,-44934.02811567326
48,-44773.20248225439
49,-44853.010881057155
51,-44694.733259296736
52,-44776.41451919701
53,-44716.44743484582
55,-44647.68746666643
56,-44605.08588346407
58,-44615.11973365609
59,-44639.53251447852
60,-44515.60460396612
62,-44561.31218181329
63,-44650.77925438421
64,-44677.42225122695
66,-44650.23018686008
67,-44621.96864464711
69,-44561.70002004771
70,-44585.779030983096
71,-44578.73654005422
73,-44470.842852724774
74,-44461.83709997793
76,-44444.52522367437
77,-44468.13767790101
79,-44379.85335704763
80,-44463.78380993828
81,-44403.380699165275
83,-44413.84207898177
84,-44507.33432509214
85,-44405.23523682998
87,-44412.22651130934
88,-44335.37772737011
90,-44251.806850909765
91,-44358.87098189843
92,-44365.372241234945
94,-44324.07925704662
95,-44303.40841863119
97,-44309.33675897626
98,-44403.471469049095
99,-44327.76082921965
101,-44248.92871718714
102,-44216.388034809104
104,-44149.678501525
105,-44301.51150269668
107,-44178.51156397667
108,-44176.03127733719
109,-44192.804455772486
111,-44223.41112075784
112,-44141.67693073434
114,-44187.760908975186
115,-44159.13956050807
117,-44192.730149828414
118,-44177.64308639469
119,-44160.11186245969
121,-44152.69457551002
122,-44120.70196497683
124,-44274.25267584279
125,-44198.33577992316
127,-44162.76797779489
128,-44182.070701563796
129,-44174.097741895814
131,-44163.95956267168
132,-44076.89187939662
134,-44115.7871709621
135,-44168.28151008083
