RuntimeInSeconds,ELBO
0,-47215.70920099572
1,-47062.46638774119
3,-47095.307083250074
4,-46933.42391611771
5,-46862.05801499344
7,-46744.986996757056
8,-46410.13615460132
9,-46436.82992808178
11,-46293.092362250725
12,-46403.42640714186
14,-46174.46753492478
15,-46144.98048006571
16,-45840.23559354228
18,-45459.72325974744
19,-45710.2874955165
21,-45637.769478141054
22,-45577.32854297036
23,-45590.47945905116
25,-45534.05729256949
26,-45356.444387910546
28,-45471.757114798405
29,-45220.491076126746
30,-45227.8744873254
31,-45245.845829393336
33,-45185.48091854104
34,-45159.51693775419
36,-45060.08651872097
37,-45169.563432574556
38,-45106.56379695883
40,-45041.42728806854
41,-44939.38313994057
42,-45011.006212705135
44,-44934.578186462415
45,-44900.498537794985
47,-45000.828972469164
48,-44827.78861037811
49,-44800.545639896925
50,-44783.149730449266
52,-44682.20529458228
53,-44893.26387725542
55,-44704.03814057386
56,-44795.83912294387
57,-44713.451888306176
59,-44645.7747703977
60,-44615.39439085996
61,-44719.67484852
63,-44687.991328380696
64,-44620.0919658464
66,-44576.41883466189
67,-44634.514585520825
68,-44570.16604006487
69,-44539.07006460779
71,-44554.49120952617
72,-44367.254155010705
74,-44559.617486751726
75,-44585.089478176684
76,-44488.03891165024
78,-44527.45268403234
79,-44477.22147455103
80,-44557.6298500977
82,-44405.19579021053
83,-44378.670333544054
84,-44336.125153889596
86,-44408.113865785366
87,-44304.02020986063
89,-44393.494031813454
90,-44315.692409348085
91,-44352.521509781785
93,-44395.14778832241
94,-44284.72284747516
95,-44280.798130774674
97,-44252.98727899442
98,-44300.89637149372
99,-44325.73125698448
101,-44203.04956170672
102,-44432.51042645647
103,-44325.62963499587
105,-44301.890313118274
106,-44259.3393640952
107,-44243.347973942786
109,-44201.15260464893
110,-44220.31136423252
112,-44269.34991849104
113,-44202.576745796854
114,-44207.39901454365
116,-44166.24867734147
117,-44110.42126951706
118,-44166.07812321239
120,-44090.47047385083
121,-44161.373809967736
123,-44132.294006252836
124,-44134.65561402507
125,-44138.854311893854
127,-44240.06282331492
128,-44135.60390256202
129,-44071.67927914449
131,-44188.148784081626
132,-44088.86692291479
133,-44080.03883869363
135,-44154.25700435029
136,-44048.205763469894
138,-44109.701987527355
139,-44157.58382739573
140,-43992.25998962644
142,-44096.778395407484
143,-43956.187349011896
144,-44036.28854821591
146,-43994.4811052108
147,-43978.716367598245
148,-44099.61325674253
150,-43989.406644927054
151,-43939.57036163172
152,-44013.53752819547
154,-43918.19707129952
155,-43989.34998053161
157,-43970.041241106526
158,-44036.77033830017
159,-43994.44249759805
160,-44003.33707798008
162,-43991.781460271675
163,-43922.93644474245
165,-44016.920576613345
166,-43893.8357745183
167,-43975.651539595725
169,-43974.82463919734
170,-43841.81647679377
171,-43856.31795011362
173,-43889.14713759196
174,-43868.35915137951
175,-43938.50814157914
177,-43835.04059510731
178,-43893.793209872034
179,-43814.64024218937
181,-43855.80325486414
182,-43890.43511535378
183,-43935.825570529574
185,-43834.179361535236
186,-43876.851583314594
187,-43886.04668821722
189,-43810.69529236577
190,-43819.78749580873
192,-43854.10926744616
193,-43775.021515462584
194,-43792.252355228935
196,-43829.57456648041
197,-43739.498839988686
198,-43872.489437109536
200,-43813.51497412175
201,-43752.31723275942
202,-43809.84986916809
204,-43740.80602170631
205,-43674.62440000356
206,-43723.354625668304
208,-43752.494071299334
209,-43756.72638482024
211,-43787.28093981295
212,-43852.74281966629
213,-43725.07676830064
214,-43825.947990839275
216,-43825.61465789356
217,-43763.75592957069
219,-43712.47979157133
220,-43735.46025770293
221,-43709.62706173946
223,-43599.99978992504
224,-43657.21060715323
225,-43714.60534621146
227,-43602.98803911734
228,-43629.7576273475
229,-43758.10296041582
231,-43638.79096681385
232,-43642.79228920899
233,-43652.255194126315
235,-43719.09333839357
236,-43666.44540828323
238,-43675.19490932217
239,-43596.094977681394
240,-43658.405882985084
242,-43574.99963653177
243,-43597.531832865454
244,-43656.580405060085
246,-43611.5689314
247,-43600.8179439024
249,-43574.21342472155
250,-43543.957241362456
251,-43551.00932455934
253,-43522.819603535485
254,-43422.4061957456
255,-43496.539496018246
257,-43560.58385350155
258,-43485.96642120253
260,-43472.525549650956
261,-43550.886858193655
262,-43513.64621974587
264,-43467.89202060092
265,-43420.21334043452
266,-43550.5895983931
268,-43485.49898664212
269,-43495.02452254554
270,-43496.613764745765
272,-43513.73721332376
273,-43417.56778667725
274,-43479.72355767856
276,-43456.59542712351
277,-43404.601876349465
278,-43518.51693352833
280,-43338.01753426957
281,-43459.96352497419
283,-43384.94213120429
284,-43388.11730048489
285,-43424.67427704558
287,-43344.19212327887
288,-43396.31085961263
289,-43419.418052593974
291,-43301.04339747903
292,-43311.09144244386
293,-43318.991675943704
295,-43238.85546879099
296,-43144.261877165554
298,-43203.20010201506
299,-43273.643054326276
300,-43296.571771528244
302,-43301.630404429
303,-43263.82230780022
304,-43249.553216518994
306,-43182.72930763029
307,-43284.281615326094
308,-43130.47925260129
310,-43295.83903621433
311,-43287.807929353694
312,-43247.8646742603
314,-43145.207266566926
315,-43256.377044120345
317,-43240.458407085614
318,-43128.70876035894
319,-43201.42689744722
321,-43106.89864351061
322,-43074.661981802994
323,-43041.13986368774
325,-43167.114838111804
326,-43133.90154660875
327,-43142.27365458092
329,-43156.14393148554
330,-43007.4272001122
332,-42963.611473305325
333,-43157.27749163376
334,-43043.266917793604
336,-43089.22597188578
337,-43113.789819445505
338,-42911.826171461464
340,-43024.011644740815
341,-42969.96952462906
342,-42977.26066364816
344,-42961.345023714064
345,-42949.18237209137
346,-43013.86630936036
348,-42945.619046970154
349,-42928.96425146509
350,-42846.683148140306
352,-42938.79054815932
353,-42954.74147443894
354,-42937.68704439695
356,-42877.57841468922
357,-42801.63072262093
359,-42873.90996114004
360,-42844.753802795676
361,-42804.81447921621
363,-42722.724606354655
364,-42778.873625599444
365,-42867.51724411611
367,-42837.47405755495
368,-42754.45556706964
369,-42639.059611470446
371,-42717.859201031584
372,-42867.92608792713
373,-42792.66865142117
375,-42706.105110599165
376,-42804.668693420586
378,-42747.24729013365
379,-42801.04353985027
380,-42613.482515864474
382,-42600.876420592715
383,-42757.27619406544
384,-42742.66142172775
386,-42669.09633457725
387,-42691.93934066987
389,-42708.88118276389
390,-42623.701179366806
391,-42651.89281103857
393,-42724.862795087785
394,-42602.77213345495
395,-42640.12249661407
397,-42615.47191838811
398,-42582.89074865001
399,-42506.049228063326
401,-42679.262303032985
402,-42544.60237711668
404,-42544.59939207848
405,-42644.08826920667
406,-42615.57205424389
408,-42569.1213531028
409,-42504.73374230875
410,-42493.80429509517
412,-42560.71289571324
413,-42558.06153803163
414,-42526.69374571337
416,-42478.8344322595
417,-42476.18982944471
418,-42361.37994084327
420,-42392.44863549214
421,-42462.951982169776
422,-42467.233555086874
424,-42398.63162375662
425,-42534.4518355303
427,-42548.01738600932
428,-42410.35301378701
429,-42441.57396436159
431,-42449.509648426254
432,-42392.69071722142
433,-42421.94588958907
435,-42433.361708941426
436,-42399.20607024134
438,-42365.16759518465
439,-42420.83115684606
440,-42420.76927000737
442,-42332.975079870244
443,-42402.48588440284
444,-42225.71390378101
446,-42349.47201896342
447,-42341.58722111677
448,-42272.75523105173
450,-42325.06905474853
451,-42327.98036502313
452,-42387.385274615364
454,-42277.027575122025
455,-42221.09869766522
456,-42222.13377801088
458,-42212.74157500796
459,-42274.79313622547
460,-42269.86680496228
462,-42307.802871345324
463,-42151.72659062146
465,-42193.09297029796
466,-42251.74707747442
467,-42180.50375680705
469,-42165.979639856276
470,-42198.222320441666
471,-42261.84924694217
473,-42114.77637386302
474,-42149.37949483511
476,-42143.15864953913
477,-42142.98957055381
478,-42150.522498396844
480,-42142.13398664456
481,-42065.38579510292
482,-42092.807818825364
484,-42181.83613797398
485,-42070.46018304608
487,-42089.07286215915
488,-42046.673835768044
489,-42092.07601111257
491,-42021.891385525196
492,-42018.52822801205
493,-42032.05307806487
495,-41993.35905262392
496,-42077.17439889015
498,-42081.51227874311
499,-42023.45708114307
500,-41984.385062427114
502,-42015.55080367537
503,-42007.3578454334
504,-42055.159751086336
506,-41953.183375350105
507,-41991.939305027976
508,-41984.28046153037
510,-41938.22060412756
511,-42108.9737578128
512,-41976.02744249251
514,-42048.95294892616
515,-42023.88653860678
517,-41949.852763740804
518,-42055.385155154465
519,-41976.78942314384
521,-42037.83860392357
522,-41957.33418073645
523,-41956.32482477947
525,-41936.21115154142
526,-42007.96897568571
527,-41998.548875268156
529,-41883.98313234528
530,-42008.201010115576
532,-41891.99726844274
533,-41953.1819767708
534,-41834.535845417144
536,-41857.034071642214
537,-41929.81643964423
538,-41848.90616121627
540,-41913.26089629917
541,-41923.939093897505
543,-41888.19020669691
544,-41880.46311175657
545,-41903.43807503967
546,-41819.13951934553
548,-41851.81740208179
549,-41782.71128957501
551,-41927.22440513044
552,-41792.99432425078
553,-41818.76173550353
555,-41887.86006334269
556,-41853.31446879945
557,-41733.52054973469
559,-41829.01401714812
560,-41786.504076645986
561,-41767.96387643403
563,-41733.57546294396
564,-41825.933344517034
566,-41755.60234778161
567,-41742.60756619117
568,-41735.67242409529
570,-41793.2275766852
571,-41786.8655404601
572,-41718.379364927336
574,-41721.207495123774
575,-41721.42481056687
577,-41640.80391738824
578,-41702.564160980895
579,-41638.868546534286
581,-41681.910987156414
582,-41795.11320145374
583,-41657.97026393877
585,-41705.1847699942
586,-41695.98411263038
587,-41706.05076182478
589,-41704.248110775516
590,-41696.68480307094
592,-41643.29969710858
593,-41808.437475427476
594,-41595.1022623385
596,-41601.17011369591
597,-41654.31914156512
598,-41625.06971501775
600,-41643.4126106294
601,-41609.07088745746
602,-41648.20265771249
604,-41665.57090630289
605,-41717.49942904989
606,-41638.05162726401
608,-41517.0791282622
609,-41608.83377646405
610,-41545.2610306883
612,-41552.1235575819
613,-41501.06820238347
615,-41483.68266551813
616,-41486.91512153663
617,-41576.39542189752
618,-41678.597965234585
620,-41532.019097452736
621,-41555.21976966292
623,-41539.85518531301
624,-41602.21322727415
625,-41481.83513942971
627,-41536.69954755271
628,-41615.48349071847
629,-41427.32252127945
631,-41537.64468293194
632,-41539.93164131361
633,-41495.907040005324
635,-41481.04386256007
636,-41500.64239819458
637,-41571.367748704724
639,-41430.237150576235
640,-41452.084397695085
641,-41444.13849096305
643,-41465.67444181166
644,-41425.78449214015
645,-41488.63549240368
647,-41554.40612033017
648,-41424.553710887805
650,-41482.10383537307
651,-41467.305143188896
652,-41426.745216952346
654,-41519.4720366076
655,-41449.53338557997
656,-41362.75217333319
657,-41429.79892100696
659,-41389.70380153984
660,-41470.217893028246
662,-41370.85443374011
663,-41403.34704523358
664,-41421.33241955363
666,-41408.205314210325
667,-41303.615595516705
668,-41402.19375232346
670,-41372.4843705919
671,-41343.85332535013
672,-41340.01108012312
674,-41436.667329832715
675,-41415.0390596928
676,-41290.88543208489
678,-41339.020200755745
679,-41406.334256405826
680,-41348.98109971894
682,-41305.76169897669
683,-41336.3140994682
684,-41367.10018506901
686,-41432.1143040496
687,-41327.90672627008
688,-41405.43287316075
690,-41345.066518290645
691,-41273.6978285217
692,-41264.224504200654
694,-41252.19199559995
695,-41299.456384665675
696,-41295.28669620124
698,-41339.76008574688
699,-41394.94015242773
700,-41314.44963726372
702,-41272.43309073718
703,-41375.784587953305
704,-41272.93301586638
706,-41317.700478951636
707,-41322.43124513584
708,-41271.48106404637
710,-41306.93602154354
711,-41351.5409639328
713,-41288.2440257878
714,-41302.308714239014
715,-41176.270070954946
716,-41243.35345540908
718,-41336.771309740994
719,-41310.57704165518
721,-41225.58858442298
722,-41389.197891869124
723,-41306.80495127464
725,-41233.934927845716
726,-41246.96613738261
727,-41318.91054432939
729,-41232.634012652
730,-41220.150546821336
731,-41183.44771476709
732,-41215.490571978575
734,-41157.337040755745
735,-41252.11963787053
737,-41236.89222324925
738,-41173.88493444012
739,-41233.518262933656
741,-41226.848139318616
742,-41161.3564637083
743,-41181.916320776254
745,-41200.73773500925
746,-41255.907863672655
747,-41215.39875702073
749,-41125.92059216669
750,-41161.30362247408
751,-41224.04874444524
753,-41148.177246743544
754,-41148.584384247064
755,-41143.147048629035
757,-41246.40330273318
758,-41174.6437632167
759,-41169.40023906293
761,-41143.30225741325
762,-41206.64636681441
763,-41117.264248048865
765,-41162.48831366551
766,-41087.20622954598
767,-41111.754120893325
769,-41192.397228890404
770,-41091.89687584009
771,-41150.18670003284
773,-41064.987557223554
774,-41098.46403179348
775,-41103.551927040666
777,-41216.965839056924
778,-41121.77988607048
779,-41189.359365782526
781,-41095.62006354798
782,-41110.581734875734
783,-41032.535082265684
785,-41077.62398227595
786,-41094.001951429906
787,-41087.75692363491
789,-41006.630752711106
790,-41014.75697030687
792,-41109.118171265996
793,-41133.08875195337
794,-41120.47339437576
796,-41153.39162042808
797,-41021.90291376669
798,-41112.3409782828
799,-40984.23733351454
801,-41134.11204792536
802,-40986.49313618047
803,-41132.526013499184
805,-41048.04005449395
806,-41102.405337144366
807,-41079.60038352967
809,-41090.44105488985
810,-41001.69268397916
811,-41031.39030075591
813,-40932.4953538393
814,-41034.882428152654
815,-41070.440113257566
817,-41034.893311167994
818,-41052.87253294693
820,-40990.200099804475
821,-41058.183402752606
822,-40980.627800565184
824,-41067.22180963974
825,-40903.13414662954
826,-41171.61772641894
828,-40994.59613722165
829,-40930.03276367975
830,-40968.46335866849
832,-41022.705237638475
833,-41020.53032871321
834,-41028.749734862315
836,-41061.71992396441
837,-40946.60364106562
838,-40945.620016987625
840,-41004.58028358607
841,-40968.89854985732
842,-40962.38078187615
844,-40914.14162846886
845,-40928.66455058008
846,-40936.58100450451
848,-41038.98755345544
849,-40968.25384174708
850,-40879.7677903706
852,-40867.89208040013
853,-40971.86875035746
854,-40920.247620189
856,-40969.19629079832
857,-40973.33471891986
858,-40987.51865826137
860,-40936.293237416074
861,-40894.00149842026
862,-40941.52706037274
864,-40895.38780805808
865,-41003.45211780027
866,-41000.371448069716
868,-40883.43043550234
869,-40993.98012882798
870,-40877.37213871158
872,-40858.1515887852
873,-41034.72771758416
874,-40866.30776630884
876,-40861.315415021156
877,-40898.96208529492
878,-40990.72540222871
880,-40906.808711926926
881,-40985.99562574909
883,-40866.58914340072
884,-40982.43506091548
885,-40896.50436235906
886,-40848.98527665958
888,-40896.330236487185
889,-40850.001853526424
890,-40820.027257221365
892,-40929.993396985235
893,-40877.201066000634
895,-40853.57700510258
896,-40954.87453814741
897,-40962.97259259029
899,-40865.05232919219
900,-40816.08885390371
901,-40867.53035641849
903,-40784.76678278203
904,-40801.67366008963
905,-40821.581049348446
907,-40845.30600520984
908,-40788.803614879835
909,-40817.728181353195
911,-40745.361171575845
912,-40842.37422257747
913,-40819.36981541609
915,-40780.66028673339
916,-40904.794132243325
917,-40892.64825473953
919,-40943.797581405095
920,-40795.51106983451
921,-40764.384324665414
923,-40910.01974485639
924,-40875.55600383966
925,-40770.819805367886
927,-40854.74282924531
928,-40771.32432396757
929,-40756.573721617235
931,-40758.681817761026
932,-40777.38369132903
934,-40821.20596209825
935,-40896.731269696436
936,-40837.45536746303
937,-40737.58541869005
939,-40764.96886807814
940,-40790.501449343894
942,-40855.12951937602
943,-40805.37648134915
944,-40762.090069224854
946,-40847.166120939946
947,-40835.79496993669
948,-40753.33684034746
950,-40762.48872430355
951,-40853.72524382531
952,-40787.57178593739
953,-40732.56674795119
955,-40678.48210981932
956,-40838.980397219406
958,-40821.81041908128
959,-40723.226974827296
960,-40766.09776863574
962,-40776.80690923382
963,-40709.010302918985
964,-40848.20657929987
966,-40687.45862839003
967,-40787.26785466821
968,-40804.56922236198
969,-40763.37246700311
971,-40808.04468107977
972,-40706.94945801588
974,-40681.79651002915
975,-40701.21706516841
976,-40678.481526168966
978,-40761.59928999737
979,-40744.59775699696
980,-40722.69261278742
982,-40713.626202666164
983,-40717.41375914827
984,-40700.257818171296
986,-40698.05191794912
987,-40669.05314708576
988,-40745.85153791243
990,-40726.505305368235
991,-40789.870809761436
992,-40714.81367972172
994,-40809.36773799846
995,-40693.30725467154
996,-40674.91438961665
998,-40680.38608158106
999,-40809.87928599007
1000,-40584.39421352635
1002,-40801.18187308874
1003,-40667.02274918347
1004,-40747.73603926563
1006,-40667.79445440638
1007,-40751.357792189374
1008,-40724.1612317516
1010,-40719.80255738533
1011,-40714.74420572434
1012,-40764.02308777656
1014,-40626.40001773689
1015,-40657.72722972113
1016,-40809.65302432792
1018,-40551.44308776153
1019,-40772.83263045353
1020,-40652.05913285276
1022,-40685.742750697944
1023,-40646.96289876979
1024,-40677.74014443584
1026,-40700.68928959318
1027,-40563.14483038148
1028,-40650.20630582651
1030,-40625.02482253395
1031,-40597.71249589723
1033,-40666.414482448956
1034,-40659.02987834478
1035,-40636.55132019735
1036,-40643.50268906857
1038,-40672.496814812366
1039,-40603.80801527512
1041,-40664.22640676087
1042,-40609.22782914067
1043,-40651.64913494823
1045,-40551.32411022217
1046,-40673.59444201429
1047,-40583.051935934396
1049,-40593.90426591893
1050,-40608.20444436081
1051,-40629.39779869132
1053,-40655.551198113404
1054,-40728.33657608774
1055,-40599.709008680016
1057,-40651.39369809093
1058,-40523.32570601238
1059,-40691.54734260776
1061,-40494.792596326086
1062,-40642.27256450138
1063,-40559.91802467793
1065,-40660.04336123156
1066,-40569.33459925837
1067,-40480.455174132534
1069,-40766.48502119127
1070,-40559.29149581572
1071,-40639.88276255116
1073,-40542.985350852534
1074,-40507.8834916083
1075,-40570.68179002156
1077,-40639.52747275189
1078,-40650.29360297428
1079,-40495.94365666605
1081,-40594.17409742809
1082,-40589.9859512481
1083,-40597.11142964992
1085,-40533.11011317974
1086,-40533.71726008991
1087,-40527.06746695377
1089,-40499.29420767277
1090,-40573.91199741243
1091,-40715.90296767892
1093,-40593.05773615909
1094,-40501.298143484455
1095,-40494.84189962262
1097,-40565.40818797271
1098,-40590.74481677339
1099,-40512.12013482181
1101,-40508.76778853779
1102,-40573.64806591765
1103,-40502.12752705364
1105,-40646.27470299772
1106,-40611.71155466739
1107,-40604.87123455851
1109,-40563.94705962859
1110,-40542.69566465795
1111,-40523.84738933543
1113,-40614.31675555782
1114,-40485.07133780797
1116,-40566.656811885965
1117,-40580.805252336926
1118,-40480.02995437072
1119,-40563.914957491084
1121,-40487.080092944714
1122,-40490.87338093391
1124,-40585.07006158528
