RuntimeInSeconds,ELBO
0,-47403.67093056244
1,-47140.98656024379
3,-47189.02597619666
4,-47166.237169461536
5,-47157.43233062942
7,-47269.88965366347
8,-46920.11961501533
9,-47096.55602925991
11,-47210.50443755507
12,-46942.41115610981
13,-46907.233533454964
15,-47160.179174883524
16,-47081.00252294031
17,-47101.692184973675
19,-46887.48451058067
20,-46807.39334333714
21,-46816.67456521664
23,-46898.847388405935
24,-46680.53665201286
25,-47007.19507494376
27,-46708.45811332962
28,-46685.26787901562
29,-46664.77695468438
31,-46706.83203916223
32,-46788.69704035141
33,-46611.47241490098
35,-46640.98321269055
36,-46802.371752969986
37,-46838.20169634259
38,-46651.49235519909
40,-46759.04168231155
41,-46645.77094962905
43,-46501.42035444833
44,-46560.185041729346
45,-46562.64563679123
47,-46781.194262566154
48,-46508.6120647631
49,-46562.59209859083
50,-46500.18706322312
52,-46352.55018254848
53,-46448.8809419366
54,-46462.89798756976
56,-46299.46740337355
57,-46356.137128696384
58,-46180.418906068924
60,-46316.28867982258
61,-46434.095381886465
62,-46265.58160957863
64,-46203.57594392387
65,-46271.97143678572
66,-46116.76621924374
68,-46143.970094175085
69,-46381.96884581156
70,-46277.9720024548
72,-46102.9638182836
73,-45997.1208123271
74,-46115.85067258671
76,-46110.860915238845
77,-46127.42395604882
78,-46107.751918220965
80,-46060.11491766577
81,-46112.14053272339
82,-46157.939074536385
84,-46041.19129440128
85,-46072.720578540575
86,-45853.64434749696
87,-46110.605826381856
89,-46047.519556301064
90,-45999.26693132867
91,-46107.26969100775
93,-46078.06166073293
94,-45886.25227115062
95,-45872.919487842424
97,-45920.625089203946
98,-45776.93861036918
99,-45797.75472673324
101,-45817.4364268018
102,-45792.58472687778
103,-45866.67930873118
105,-45747.13410143829
106,-45725.193095270064
107,-45726.45591251787
109,-45886.867849665985
110,-45695.73489924294
112,-45655.82336528434
113,-45736.826285178766
114,-45673.509594698815
115,-45786.10329409607
117,-45589.23832221785
118,-45759.75688895343
120,-45791.48737098707
121,-45470.11268998231
122,-45661.10351965789
124,-45818.34017794955
125,-45618.97721855855
126,-45695.650835013956
128,-45808.02374807711
129,-45830.56461532864
130,-45566.86903581799
132,-45604.149782816865
133,-45589.80224993883
134,-45457.816883652915
136,-45614.62193169876
137,-45687.161392475326
138,-45596.366799245625
139,-45500.52204685853
141,-45640.57251319837
142,-45547.5335364288
143,-45531.28980211376
145,-45552.65591184407
146,-45308.46544077834
148,-45506.67905634739
149,-45407.798031859464
150,-45553.360165576625
