RuntimeInSeconds,ELBO
0,-47298.30573045219
2,-47318.246689839354
6,-46984.943053151255
8,-47117.01214739413
10,-46641.693078931174
13,-46797.81202435827
15,-46682.22516963892
19,-46470.6961206497
21,-46216.59696196956
24,-46304.37346709177
27,-46071.475118918206
30,-45919.95329791216
32,-45919.369604423264
34,-45955.24271358603
37,-45678.984520512146
40,-45821.94131707377
42,-45408.46961351457
44,-45585.27841575765
47,-45408.23756466728
50,-45372.91313730982
53,-45482.64115065348
56,-45269.52138925112
59,-45258.03573951517
61,-45073.96400230772
64,-45111.08039315627
66,-45031.20818972178
69,-45068.109133226746
71,-44902.68524721851
73,-45301.89728296097
75,-44949.57273467224
77,-44896.90068768255
78,-44984.83660450432
81,-44962.641378733126
84,-44840.84163071863
86,-44803.92023982846
89,-44905.56261241395
92,-44832.547363102145
95,-44825.16960070395
97,-44787.17055567913
99,-44700.78573038836
102,-44817.33812666295
105,-44762.396840317444
108,-44714.296029911355
111,-44681.5149649952
113,-44678.872992127806
116,-44669.289223439075
119,-44701.11588850658
121,-44675.47459727605
124,-44733.81092890536
127,-44477.632199407366
130,-44536.0018541697
132,-44634.48507862532
135,-44622.67725650013
137,-44633.118064010945
139,-44642.473372028144
141,-44535.47240398802
143,-44475.60243052127
145,-44548.6306556059
148,-44460.72123309423
150,-44539.799983081546
152,-44499.80352333903
154,-44459.3039616714
157,-44500.48746930111
159,-44452.31825265211
161,-44410.04618022462
164,-44438.34579609732
166,-44433.578515840694
169,-44444.7913167901
171,-44507.335161629955
174,-44428.64990266396
177,-44352.10950756172
179,-44273.98869873067
182,-44500.35488227983
184,-44349.948408875
187,-44311.219629254745
190,-44365.11398491592
192,-44379.40092108913
194,-44285.48721274965
197,-44244.228816254676
199,-44200.89795050459
202,-44263.23496512165
204,-44305.731616370336
207,-44239.664703666625
209,-44214.67918442153
211,-44221.071604242934
212,-44262.925891478895
215,-44240.37519536054
218,-44257.24632864959
220,-44289.97946191456
222,-44208.11782850925
225,-44207.01388661249
228,-44239.50187957433
229,-44286.640756898174
231,-44122.153626609215
234,-44174.4386347057
237,-44216.378732489095
239,-44213.47282671225
242,-44167.05066702881
245,-44114.5725186379
247,-44180.17935138064
249,-44127.88662063828
252,-44103.71529702256
254,-44204.3646259919
257,-44111.13347198155
258,-44158.40893632177
261,-44086.54842962146
264,-44113.821274560214
267,-44015.39689076272
268,-44102.13129662621
271,-44135.15689205411
273,-44100.51362407711
276,-44132.93051818488
278,-43948.03063121748
281,-44088.44028704514
283,-44134.864626280905
285,-44084.041423160495
287,-44010.75711774214
290,-44030.10809622986
293,-43996.74951564822
295,-43998.18641848954
297,-44010.945692898895
300,-44031.92314358057
302,-44103.239854819665
305,-44032.53707586723
308,-44101.938491087465
311,-43919.291425279655
313,-44050.70356529114
316,-43950.572272771045
319,-44002.42107912241
322,-44003.37493368742
325,-43981.09757752728
327,-43852.81242587685
330,-43867.54907899419
333,-43945.902007540666
336,-43983.672909313274
339,-43985.52920595403
341,-43864.80602551695
344,-43919.54239791533
347,-43864.08413211027
350,-43853.04029051883
353,-43979.93219857847
356,-43969.001600725016
358,-43941.830469100314
360,-43904.163673903146
363,-43980.714750412255
366,-43847.72531266689
368,-43992.059765317834
371,-43942.133549940496
374,-43969.6146926247
377,-43894.77272478465
380,-43945.12836060182
382,-43846.71080217275
385,-43828.67440988111
387,-43966.30404405148
389,-43851.23884933164
392,-43838.487059065425
394,-43859.64682223368
396,-43925.92832072844
399,-43938.52792155354
402,-43660.38958678918
404,-43903.181088409765
407,-43856.752829005876
410,-43794.11514118757
413,-43758.872401118206
415,-43704.867803342204
418,-43858.69883248734
420,-43845.81786786717
423,-43815.28302977878
426,-43803.13032199143
428,-43889.3232851587
430,-43744.37125074304
433,-43834.089580284846
435,-43754.97346887765
438,-43838.03244838477
440,-43747.48910699161
442,-43743.27318329099
445,-43869.95943884168
447,-43672.563895180705
450,-43755.70096077406
452,-43814.961246057544
454,-43673.168785550006
456,-43777.998215723535
459,-43746.09110881728
461,-43880.030014245756
463,-43776.70165706621
466,-43711.81472674096
469,-43734.76118530571
471,-43752.2452403134
474,-43740.70910215626
477,-43725.46310508411
480,-43755.47162902561
482,-43779.98168928512
485,-43655.90037719151
488,-43672.96853867007
490,-43659.59521551031
493,-43800.48501970291
495,-43658.35075770969
498,-43651.42645309257
500,-43654.94935419606
503,-43788.7981839269
505,-43695.93120646303
508,-43653.498427421815
509,-43728.79078436211
511,-43683.365603182756
513,-43601.176440042174
517,-43589.52007527471
519,-43671.614869196
522,-43589.13313469534
524,-43606.40488777736
527,-43569.44184877849
530,-43530.304407946875
532,-43652.83398001458
534,-43448.26914511644
535,-43587.290063502274
538,-43635.54306791964
540,-43690.24118676285
542,-43578.810198497915
545,-43580.35637022241
547,-43678.114082413806
550,-43564.113852920906
552,-43607.534071623704
555,-43587.73832065075
558,-43470.247945895644
560,-43587.31473372165
563,-43452.63672045344
566,-43504.42226449899
569,-43445.60065123211
572,-43547.76919894345
574,-43520.492570169445
577,-43495.56180368971
580,-43454.13149560087
582,-43361.343500082556
585,-43503.89993347268
588,-43563.68657262794
590,-43555.08970043865
593,-43398.782130003856
595,-43558.253742266046
598,-43385.597009570745
601,-43567.96265191736
604,-43501.135709672155
607,-43446.05248552946
609,-43392.28026735583
612,-43434.29446772473
615,-43295.3072260605
618,-43425.61230072567
620,-43432.89071194312
622,-43383.01913185946
624,-43377.783619412774
627,-43368.74018107983
630,-43383.01011620905
632,-43490.75748134715
634,-43398.182203753975
637,-43333.95373775203
639,-43278.9709978024
642,-43318.30370225933
644,-43459.8248214151
646,-43412.713215340904
649,-43365.5505380436
651,-43304.84162046706
654,-43346.27578092709
657,-43378.71747698665
659,-43210.000777846864
662,-43328.092921245094
665,-43241.89902575145
668,-43212.37967813223
670,-43253.15586796092
672,-43267.88006897427
675,-43243.09133142678
677,-43205.59506241076
680,-43288.05284371179
681,-43289.32163584452
684,-43212.65170731088
686,-43166.19973506261
689,-43227.48317321215
691,-43180.92342320077
694,-43282.50661093883
696,-43176.94102315661
697,-43160.734297495204
700,-43202.846805973284
702,-43154.56079880179
705,-43132.461936424275
708,-43221.729670844485
710,-43162.9460969798
713,-43298.8344576342
715,-43166.251029072
718,-43163.72026634324
720,-43135.93657672054
722,-43216.49373906881
725,-43120.217476674705
729,-43087.55604504796
731,-43107.16467328439
734,-43048.69843562604
737,-43025.80557747502
740,-43082.54633727126
743,-43264.269096180615
745,-43133.84256004807
748,-43073.835976504604
751,-43082.73218363526
753,-43062.70988218277
755,-42976.03212243898
758,-42997.824275124774
761,-42897.759297750876
764,-43068.06339775698
766,-43029.809353685065
770,-42986.26312559755
772,-43037.48156548639
774,-42975.81396230464
776,-43075.39335907376
778,-42897.38010466019
781,-42959.58246034697
784,-42970.92530443883
786,-43006.31799520042
788,-42934.96627664896
791,-42909.95563086601
793,-42937.10941055954
796,-42879.45556767737
798,-42892.10487155353
801,-42965.42205143359
803,-42841.49875334103
806,-42873.643925922726
809,-43077.28325433994
810,-42942.432956971825
812,-42886.51068526873
815,-42844.091759802846
818,-42790.85546113152
820,-42897.657223976195
823,-42931.54127826656
826,-42849.734946649
828,-42839.12161921373
831,-42871.4247995121
833,-42762.0134745522
836,-42795.87778849714
839,-42800.846910574255
841,-42936.286050872106
843,-42728.932099995734
847,-42828.129671701114
849,-42757.49112847501
852,-42719.34570416231
854,-42664.7048389948
857,-42818.45859825812
860,-42698.99514983346
863,-42646.90340563419
865,-42802.130329360865
867,-42789.90195471093
869,-42752.92423228234
872,-42768.546075603634
875,-42789.62446344577
878,-42754.59668197208
880,-42800.179191296455
883,-42737.301645304906
885,-42708.369220257475
888,-42702.80479395902
890,-42625.15972105561
894,-42611.77974244581
896,-42639.25150029945
898,-42761.24879900581
901,-42695.79965617096
903,-42645.80746700346
906,-42549.61916424449
908,-42603.54745324713
910,-42551.300996603706
912,-42609.50036606346
913,-42643.33485660273
916,-42536.952902009274
919,-42560.75984772627
922,-42549.28916055849
923,-42554.95422113549
926,-42595.84024743417
928,-42530.05665255412
930,-42618.168122177405
933,-42622.2906696881
936,-42673.33637663961
939,-42523.778766200594
942,-42480.68434811862
945,-42575.113059345145
948,-42629.04199476839
949,-42556.2553153616
952,-42541.50583806797
954,-42528.490340740864
956,-42456.808514135264
959,-42509.25694721764
961,-42464.14716366981
963,-42485.11156679954
966,-42511.278295257434
969,-42471.1056812944
972,-42537.94211974889
974,-42456.96649359141
977,-42461.087109433865
979,-42428.143100083726
982,-42448.42829601388
985,-42423.55797702612
988,-42443.327264962536
991,-42481.11432354812
993,-42352.378794345386
996,-42446.71197424182
999,-42393.36070237001
1001,-42367.815481629965
1004,-42369.986957273395
1007,-42435.783066924094
1010,-42459.09755920979
1013,-42237.39363797668
1015,-42403.00165576635
1018,-42282.27659258532
1021,-42323.92761547051
1023,-42315.17547335133
1026,-42315.04576581544
1029,-42277.81637557169
1031,-42283.749535118724
1034,-42300.591744553974
1037,-42259.39695424161
1040,-42254.62542536553
1043,-42213.15682259087
1046,-42313.64890489337
1048,-42289.3695076891
1051,-42307.21388389575
1054,-42287.387885803706
1056,-42287.93226489314
1058,-42320.88742502559
1060,-42265.836224290986
1063,-42175.89175085846
1065,-42291.094001788995
1067,-42281.89096535538
1070,-42367.805197732196
1073,-42200.372072062964
1076,-42142.42253268204
1078,-42206.5561640941
1081,-42117.99058770728
1083,-42225.00182782466
1086,-42172.73947700153
1088,-42235.71456988026
1091,-42076.96513772828
1093,-42114.848643049
1094,-42149.81381373447
1097,-42192.01655288688
1100,-42147.302589633524
1102,-42065.31425331965
1104,-42137.2011507811
1107,-42103.214017541475
1109,-42049.89526423825
1111,-42056.66078756468
1113,-42092.335668352505
1116,-42021.504150107525
1117,-42093.60029523652
1120,-42072.89723011362
1122,-42133.1924073236
1124,-42064.50974983425
1127,-42057.39581986416
1130,-41993.23900981285
