RuntimeInSeconds,ELBO
0,-47114.13959230274
1,-47241.63402421725
3,-47042.33378532798
4,-47001.99198922591
5,-47185.06133754868
7,-47112.22678156308
8,-46871.250640028615
10,-46968.87510281568
11,-46771.81947119392
13,-46800.928825629555
14,-46696.062815769124
15,-46587.04372225882
17,-46493.537893579625
18,-46508.250696266565
20,-46730.30052143754
21,-46692.76811311762
23,-46700.01043547612
24,-46564.486587762694
25,-46419.974105302026
27,-46491.12387270399
28,-46381.09177130547
30,-46509.40741669155
31,-46366.75059667866
33,-46219.45949762596
34,-46388.68861055113
36,-46328.030045028136
37,-46238.39034191047
38,-46272.76826204867
40,-46327.17392188132
41,-45898.26967666727
43,-45988.85075635798
44,-45901.34408990519
46,-45948.189835350175
47,-46023.050637430766
48,-45949.21467559091
50,-45873.663290489574
51,-45880.44564506929
53,-45777.32596399482
54,-45830.216224813244
56,-45673.60042088316
57,-45808.991039207845
58,-45900.79867494279
60,-45639.45521723253
61,-45418.247231599766
63,-45623.413630944866
64,-45586.5976081983
66,-45534.45266091274
67,-45531.096845917375
68,-45290.33793599116
70,-45700.49686594319
71,-45304.98064159238
72,-45398.36605076783
74,-45271.882871159934
75,-45358.45550526084
77,-45453.731160435294
78,-45418.37481806207
80,-45438.56290809891
81,-45258.586818239055
82,-45319.98496096576
84,-45288.22479318774
85,-45186.999234596435
87,-45281.41745164985
88,-45057.673941560904
90,-44911.61883740433
91,-45125.8900808201
92,-45227.34323088318
94,-45160.42576560669
95,-45136.640312504685
97,-45012.46510806891
98,-45078.91633375617
99,-45129.46799933019
101,-44923.662790168426
102,-44955.12147487024
104,-44882.69854771608
105,-45048.95317123102
107,-44901.414982738
108,-44783.83036441992
109,-44827.730891451676
111,-44916.50743260313
112,-44967.85785655855
114,-44926.580004754214
115,-44789.77443207234
117,-44884.15270230113
118,-44687.26229238312
119,-44887.629325298796
121,-44898.812619899334
122,-44900.24269510605
124,-44928.77205692149
125,-44876.6145301337
126,-44649.018670291116
128,-44623.09815974448
129,-44879.23608022255
131,-44722.51532969178
132,-44635.03270232831
134,-44653.27894248754
135,-44768.91584970921
136,-45050.96399528647
138,-44627.423598575704
139,-44591.8634698031
141,-44751.4786047123
142,-44605.27361439669
143,-44614.12723569045
145,-44817.962092586415
146,-44480.32818779851
148,-44485.1770188571
149,-44443.67501018966
151,-44770.20392316608
152,-44763.27698949016
154,-44692.75050498904
155,-44638.65765616784
156,-44680.51306746632
158,-44493.601683497785
159,-44500.80941677614
161,-44636.86237755703
162,-44442.967692419785
163,-44714.34420098367
165,-44443.789951786945
166,-44573.89524776256
168,-44583.14404757467
169,-44674.51806411082
171,-44624.15725814309
172,-44367.3212875399
173,-44479.03743301281
175,-44599.748421275464
176,-44377.001747213675
177,-44635.98200198234
179,-44500.85455357639
180,-44344.9821619345
182,-44723.9189004193
183,-44435.27243985321
184,-44576.42493217945
186,-44331.262170889546
187,-44660.624331276274
189,-44166.99234836352
190,-44465.031227887
192,-44454.8257451488
193,-44831.46356291887
194,-44667.27695423553
196,-45003.35189713602
197,-44431.03136526534
199,-44586.73762430573
200,-44213.86857063109
201,-44417.5646862949
203,-44288.05191180814
204,-44528.638821505
206,-44350.2843305377
207,-44420.32959485217
209,-44404.66511521333
210,-44734.8599995531
211,-44571.758327534946
213,-44479.09348762209
214,-44579.246936568765
216,-44466.37028223593
217,-44510.97989379695
219,-44728.062358619034
220,-44238.10898445463
221,-44437.56902065578
223,-44668.31051946827
224,-44443.16641289938
226,-44495.158233112095
227,-44343.61443795765
229,-44402.21326974419
230,-44373.80611417726
231,-44864.538819766196
233,-44540.77194447615
234,-44489.10223279724
236,-44370.14924574874
237,-44464.55979429769
238,-44530.27682328688
240,-44387.24023800682
241,-44527.93209071513
243,-44012.081385759586
244,-44312.88374141695
245,-44583.22571165972
247,-44522.76869859233
248,-44592.12168307966
250,-44706.881283048824
251,-44583.56504100118
253,-44695.563687082315
254,-44808.64775982195
255,-44666.63395594392
257,-44697.0050342044
258,-44606.2614309753
260,-44764.58376811426
261,-44692.482969390054
263,-44503.01083836658
264,-44557.01554827105
265,-44627.97395651931
267,-44505.745998376435
268,-44485.58990362003
270,-44803.77599794952
271,-44926.97838044839
272,-44904.07529283605
274,-44589.409523435424
275,-44834.89061682729
277,-45262.5975975289
278,-44936.16642945838
280,-45703.44299952853
281,-44794.76744639743
282,-45001.58163197667
284,-44695.28365471396
285,-44766.75924872363
287,-44408.678777045134
288,-44877.76525984717
290,-45117.30973136829
291,-44812.59443792636
292,-44997.68330932087
294,-44391.43720741852
295,-44739.54752857231
297,-45125.83967043578
298,-45177.951436879506
299,-44784.890523651164
301,-45105.47821775632
302,-45278.21794588997
304,-44951.45650131436
305,-45067.29185474603
307,-45319.248147705504
308,-44595.457056230865
309,-44870.72370037259
311,-44699.077457750485
312,-45419.070403008925
314,-44652.232046400524
315,-45511.34180716162
317,-44936.33841250676
318,-45426.453745240506
319,-45153.487280837355
321,-44991.91786529071
322,-44636.62391637519
324,-45038.10248556448
325,-45351.0758413205
326,-45124.45273708773
328,-45390.186205835744
329,-45620.10253580461
331,-45198.91532731369
332,-45354.418226288624
333,-45630.70372456714
335,-45249.151946234546
336,-45340.67541798539
338,-45215.1089820492
339,-45587.868948891555
341,-44589.54422818407
342,-45118.833929161694
343,-45274.30592057552
345,-45307.97114235022
346,-45517.91257626946
348,-45625.64381930343
349,-45577.0575251131
351,-45714.550951404635
352,-44870.96833165268
353,-44876.993368213574
355,-45495.97014773031
356,-46889.64656784
358,-45812.88972559182
359,-45342.63314053962
360,-45717.44170425795
362,-45382.7887866148
363,-45703.32454582089
365,-45228.52157731106
366,-45838.33217498763
367,-46029.04651363862
369,-45578.05229033893
370,-46103.79122218925
372,-45877.858944929176
373,-45941.88191839864
375,-45712.995950265715
376,-46397.93727788577
377,-45789.190793421774
379,-45567.55521055455
380,-45631.49167523993
382,-46191.027624180315
383,-46132.6405493026
385,-46361.631305938
386,-46520.97262947633
387,-46197.28875488372
389,-47193.8603390652
390,-45526.61825253089
392,-46647.42108187283
393,-46366.59901290994
394,-46090.770826488755
396,-46750.605038228605
397,-45379.486809442606
399,-46449.76308744069
400,-46725.592635557274
402,-45877.93694448305
403,-46868.96120539076
404,-46175.02875739361
406,-47473.00520558596
407,-46742.56661680172
409,-46080.37848792256
410,-45896.018826715495
411,-46334.26000221021
413,-46757.11197101064
414,-46857.71027617788
416,-47365.68053805251
417,-46104.6612314519
419,-46248.7754043889
420,-46983.747995425845
421,-46120.85252154021
423,-46040.76743863954
424,-46505.80983894761
426,-46556.3192307756
427,-48806.42257885287
428,-46612.080505534956
430,-46756.01468969068
431,-46688.34770532219
433,-46412.739294516134
434,-46580.91206106408
436,-47270.36366524638
437,-47794.81462512358
438,-46750.72880535256
440,-48026.95489001566
441,-46815.519097483586
443,-47474.57354067407
444,-47261.3887460603
446,-47106.643417054715
447,-47200.35864450747
448,-46535.73203551588
450,-46882.26287329471
451,-48159.99362081166
453,-48366.09972009579
454,-47244.92555766401
455,-47781.574859673696
457,-47738.91290786449
458,-47576.30035669783
460,-47488.88253186584
461,-48474.261373622845
463,-48174.420437098735
464,-48156.291418785884
465,-47384.7235051745
467,-49598.91144224451
468,-47356.38662574367
470,-47682.47050194176
471,-47635.09206734193
473,-48831.09883139147
474,-47171.27975174375
475,-47988.19501979201
477,-48161.01924814243
478,-48215.345014988816
480,-49242.467823996594
481,-48002.53762475566
483,-48444.011354671544
484,-48118.550495831005
485,-47513.39352204838
487,-48713.696132248464
488,-48711.134913375216
490,-47682.27067763489
491,-49148.490553385425
492,-47978.63815452396
494,-48255.98290002663
495,-49380.04019708857
497,-48700.89032293313
498,-48673.49556697531
500,-48565.71018995685
501,-48447.84499094608
502,-48185.4787885205
504,-49402.31136104239
505,-47694.329829465576
507,-49975.926436406444
508,-49259.36305764852
510,-47900.3901870276
511,-49193.786854307946
512,-48358.56750318812
514,-48407.1489976327
515,-48765.27535031359
517,-50174.41250103609
518,-49696.81476729832
519,-49701.89084281021
521,-48127.029980125844
522,-49919.117249731535
524,-50388.7534024128
525,-50258.21727346593
526,-49543.58067894268
528,-49317.721185836206
529,-49666.31524549073
531,-48605.27640121581
532,-48604.437513116376
533,-49714.495154938384
535,-49086.9701545017
536,-49163.52818756828
538,-51459.09027177917
539,-50454.784574022684
540,-53056.821477504076
542,-50828.44499129752
543,-51294.04956323117
545,-52647.76340998555
546,-52395.76956638684
548,-49836.59691731653
549,-51647.13668251758
551,-50765.68992216606
552,-51160.190527224695
553,-51387.93518775963
555,-52605.13919436534
556,-52111.9262765083
558,-54661.426734548135
559,-50615.23838957818
561,-51698.96835640085
562,-50098.758945917754
563,-50839.49557186404
565,-50706.52105245435
566,-52653.95112411729
568,-52074.45772019387
569,-52262.87834298994
571,-53087.26554218172
572,-51744.9951344341
573,-50793.865663813354
575,-52304.91058040154
576,-52304.54056054077
578,-53551.84350002596
579,-52177.82590268217
580,-54451.65323041949
582,-53437.81909161904
583,-50538.45218544961
585,-52136.85197117118
586,-50691.35837593947
587,-54094.73552221502
589,-53919.844509477116
590,-50569.35303367695
592,-55286.5589953271
593,-52274.52260090136
595,-53471.78159328437
596,-52474.765774975785
598,-52573.63540336076
599,-54071.123251154946
600,-56942.60443499602
602,-52182.05307783761
603,-51154.79400166669
604,-53774.99959290501
606,-53423.90998732203
607,-53848.00244603595
609,-52489.86855771998
610,-54790.8495934982
612,-55786.1485986285
613,-51454.14349937173
615,-56341.45311606697
616,-51719.11621147266
617,-53181.23028187142
619,-52221.84015902026
620,-59025.22210933387
622,-54579.09379174346
623,-53247.37541535785
625,-53397.008561965966
626,-53376.86703347894
627,-54036.18359537367
629,-56999.59625356485
630,-55459.438614309205
632,-53165.18851682046
633,-53313.243172756
634,-53432.10727414993
636,-55761.81270191294
637,-53521.57938888547
639,-55659.0937171211
640,-56663.34371860766
641,-51947.09479441542
643,-51770.69750151032
644,-56144.86201887528
646,-58162.389470025824
647,-52434.58664933099
648,-52444.86136522697
650,-55933.53830741577
651,-53243.2881253013
653,-55796.75578623882
654,-54420.65962030699
656,-56554.885913260005
657,-57789.33453881799
658,-57407.00479467519
660,-55608.9083306579
661,-56415.351542830336
663,-59003.96512819974
664,-58210.67118434711
665,-56305.92535114748
667,-54069.548276773254
668,-56161.336881646435
670,-56319.69251414811
671,-55777.07880863175
673,-56620.18215112218
674,-56026.90534558488
675,-55104.6186402688
677,-57608.75991739457
678,-54160.93265291484
680,-58038.853827969404
681,-55393.46714105203
683,-54671.769071370734
684,-58150.73706543342
686,-56295.11124708211
687,-56356.34516459152
688,-56584.337295835176
690,-59552.20096525865
691,-55948.28752339955
692,-59143.62264499335
694,-55967.33882663741
695,-59524.840352174084
697,-59121.43049324509
698,-57429.530644767234
699,-56141.241192736874
701,-58996.92778474766
702,-58339.5123372919
704,-56207.34448101326
705,-56660.49221631731
707,-59622.4395073191
708,-57231.73255770134
709,-63899.74135748303
711,-56499.68331864647
712,-59612.29810722422
714,-58621.32874831605
715,-64239.022771628035
717,-61095.58057656655
718,-58409.524356301605
719,-58339.169339939035
721,-60014.44945970907
722,-62611.91211065432
724,-56494.41411364389
725,-57809.71369937548
726,-59794.03427541495
728,-61153.79333292254
729,-58230.479837023144
731,-61021.11524922879
732,-60949.825921705175
734,-61073.18668408056
735,-60830.062700956216
736,-63247.874292270964
738,-64343.90460243805
739,-60274.05943213699
741,-63747.63217633218
742,-58698.76197686726
744,-64542.902650552525
745,-63611.0437960158
746,-63454.576350143936
748,-60932.525280250586
749,-59728.31452472135
751,-60567.0227803441
752,-61673.712186636134
753,-61062.83924015655
755,-61609.63848343479
756,-60142.861266445594
758,-60658.167494710025
759,-64138.47313954838
761,-60883.88651051377
762,-62453.12530507195
763,-65835.83947501349
765,-62094.14127617121
766,-58942.252562141715
768,-62506.289915948306
769,-58979.49988885359
771,-65500.488264485415
772,-62216.491525858924
