RuntimeInSeconds,ELBO
0,-47168.02570814755
3,-47336.67231582612
5,-47153.72018383663
6,-47167.55834380163
8,-47222.00763568526
9,-47152.430923040454
10,-47268.893736312304
12,-47170.707057470536
13,-47160.13782034584
15,-46911.302537916265
16,-47030.273771005115
18,-46950.83338323468
19,-46970.88130842889
20,-46857.986148749624
22,-46795.84863322898
23,-47030.69488368255
24,-46958.130782319124
26,-46880.517003460765
27,-47032.56317336199
28,-46932.465161665714
30,-46844.633359412095
31,-46748.40458549846
32,-46816.054302991884
34,-46647.54215112685
35,-46640.39837170887
36,-46843.042382211075
38,-46874.545589185815
39,-46959.94982453855
40,-46729.66756822017
42,-46799.45452045443
43,-46381.86295433634
44,-46687.72121766285
46,-46412.9124646512
47,-46441.800573505345
48,-46384.53805777107
50,-46549.25901442376
51,-46405.12611159394
52,-46658.258527413
54,-46311.68485986668
55,-46226.26279206221
56,-46419.46195971149
58,-46546.20076050476
59,-46296.151133449595
60,-46420.8772280304
62,-46353.8297122324
63,-46518.19074128281
64,-46338.6743321227
66,-46324.163047573005
67,-46252.36466748681
68,-46306.910950484824
70,-46110.26549845074
71,-46212.03142467217
72,-46298.22397458345
74,-46313.162092977385
75,-46019.64086980413
76,-46352.195552656754
78,-46289.79781455644
79,-46100.21275023479
80,-46287.349893041355
82,-46201.48036854486
83,-45890.85248547705
84,-46100.60939828011
86,-46006.39584875897
87,-46076.00291891113
88,-46121.89801427671
90,-46152.78442657896
91,-46025.07264403001
92,-45724.724270899
93,-45843.61021704506
95,-46036.34331250032
96,-45840.462269488446
98,-45941.99297627946
99,-45867.54841686207
100,-46060.011519335596
102,-46074.443867230424
103,-45963.185090771374
104,-45863.01272470826
106,-45719.56148908634
107,-45891.64294527105
108,-45809.84884491178
109,-45708.917667603615
111,-45760.0487088538
112,-45667.08170120748
113,-45818.02182603364
115,-45730.94884173251
116,-45798.31598530629
117,-45788.737120391306
119,-45707.77069085274
120,-45643.28985779624
121,-45679.50431096135
123,-45591.31270329374
124,-45643.37263042624
125,-45731.824504441
127,-45793.17472134867
128,-45774.34315623788
129,-45722.691091935936
131,-45628.99891571977
132,-45508.2575449802
133,-45447.00584463703
135,-45621.61985245181
136,-45436.56853119692
138,-45585.138770172336
139,-45486.35004665039
140,-45528.55796218247
142,-45482.741703532854
143,-45603.952782948705
145,-45621.73200139517
146,-45666.848050571425
147,-45543.32671098436
149,-45477.12509232302
150,-45349.645440439446
152,-45665.18595892108
153,-45487.3049613822
154,-45401.1453816019
156,-45364.13314476611
157,-45529.366689781506
158,-45344.16222854657
159,-45260.34325972172
161,-45499.563584599564
162,-45432.91980085937
164,-45479.188431742725
165,-45452.481184584016
166,-45367.111194076315
168,-45468.79417805495
169,-45370.139596574656
170,-45397.630218249215
172,-45405.3031229031
173,-45390.797609724585
174,-45374.5395724167
176,-45486.27622541887
177,-45371.383383508604
