RuntimeInSeconds,ELBO
0,-47350.06913494301
1,-47220.03285368364
3,-47222.65476293476
5,-46975.688701115854
6,-46716.308900593416
8,-46237.27600909943
9,-46019.01115873734
11,-45879.04698375205
12,-45917.593524139855
14,-45574.23185866447
15,-45430.56078412937
17,-45422.877606042326
18,-45222.11627654639
20,-45232.722786284
21,-45139.044885469804
23,-45122.62988991476
24,-45038.99532385904
26,-44943.546248882885
27,-44939.55776710329
28,-44696.37721724956
30,-44708.72697502062
31,-44863.39220025482
33,-44741.031543926845
34,-44643.1726683002
36,-44610.997597822425
37,-44580.39405256667
39,-44553.13199303363
40,-44509.02179557228
42,-44596.69530081775
43,-44429.39151966571
45,-44526.08732262152
46,-44426.26194833326
48,-44418.82462233352
49,-44461.95396342332
50,-44336.24247179851
52,-44380.030323352825
53,-44419.40340813771
55,-44319.7141038586
56,-44313.0640781027
58,-44364.13262852643
59,-44222.07250949659
61,-44239.89855842705
62,-44248.55247322846
64,-44238.084107295865
65,-44345.21832788208
66,-44132.19203144938
68,-44173.483461468626
69,-44163.95750779519
71,-44094.38409447548
72,-44213.38391376172
74,-44187.52257087779
75,-44084.26254971955
76,-44185.72619371608
78,-44125.97059128731
79,-44082.842599034906
81,-44056.61910160299
82,-44077.889751432
83,-44038.64363769801
85,-44019.17626520632
86,-44017.64100452456
88,-44006.00747145659
89,-44015.35942988666
91,-43989.443405977014
93,-43966.57752187473
95,-43982.8035018255
96,-43955.2961952793
98,-43906.316784113136
99,-43968.34330820129
101,-43925.62191736521
102,-44071.51077978845
103,-43938.77604065486
105,-43974.03380060094
106,-43897.236199772284
108,-43978.42361027543
109,-43915.154292715415
111,-43903.692129092204
112,-43840.06534009529
113,-43872.505732227946
115,-43785.91007935095
116,-43873.56445224172
118,-43712.740201302826
119,-43871.414992671365
121,-43741.02083048285
123,-43870.572803856194
124,-43860.64995017131
126,-43768.24441298464
127,-43808.524547901405
129,-43738.000331262774
130,-43703.26128589824
131,-43691.01188942738
133,-43744.88835657198
134,-43666.50037499281
136,-43767.2161832344
137,-43695.89039818844
138,-43664.35889156406
140,-43748.30629761857
141,-43738.28179921264
143,-43759.846690254395
144,-43804.455631176716
146,-43736.04877705483
147,-43592.82173403763
148,-43708.074981159785
150,-43711.32310464086
151,-43798.87216421407
153,-43579.27536767552
154,-43634.71918333547
156,-43750.21635801865
157,-43750.45900306777
158,-43710.772233193355
160,-43770.717443203364
161,-43684.225607310254
163,-43621.342344552024
164,-43651.978213027294
165,-43665.440300516464
167,-43602.189698148366
168,-43639.36661704651
170,-43501.51049888668
171,-43575.721669124585
173,-43610.22691664356
174,-43609.32348654894
176,-43636.85401337629
178,-43619.316400133015
179,-43422.81523038265
181,-43462.0359308808
182,-43630.15436692063
183,-43535.31701745523
185,-43535.513989853396
186,-43540.0931261489
188,-43577.061840365815
189,-43450.702177815125
190,-43582.02778388396
192,-43434.20120747575
194,-43528.66611608994
195,-43472.8936382088
196,-43517.985381731756
198,-43438.1302666461
199,-43467.656972636876
201,-43505.37671141333
202,-43506.72961095426
203,-43393.199243853574
205,-43451.29306806373
206,-43411.344797040765
208,-43427.15134794426
209,-43475.64461555231
210,-43349.004874875856
212,-43444.29094684204
214,-43447.350186024516
215,-43501.570784645446
217,-43375.10308072297
220,-43364.09403210257
221,-43299.093130287816
223,-43247.221406534256
224,-43420.55392846658
226,-43314.12913121377
227,-43283.2277319419
228,-43294.41010792247
230,-43211.83758083956
231,-43285.93682093234
232,-43246.21868739132
234,-43299.766652907536
235,-43250.881818460264
237,-43234.62577356869
238,-43145.44359033594
239,-43204.41636689204
241,-43177.99865522281
243,-43243.05659122565
244,-43345.60318679853
245,-43182.890292205484
247,-43124.53358808105
248,-43246.22751229018
250,-43182.66407981353
251,-43115.32228025045
253,-43221.01636365796
254,-43077.425234808674
255,-43141.133354438025
257,-43072.78116352312
258,-42969.86716574398
260,-43110.10231808429
261,-43010.922245936934
262,-43023.24893880305
264,-43101.17006651653
265,-42948.2892686005
267,-42951.19498626142
268,-42968.23749638132
270,-42977.462411961176
271,-43095.96279696076
272,-42972.69833655781
274,-42904.29194980472
275,-42864.86897630067
277,-42964.675439491315
278,-42855.891266903316
