RuntimeInSeconds,ELBO
0,-47267.93072368823
1,-47270.80255317629
3,-46844.20197370814
4,-46521.74451968882
6,-46263.53938570004
7,-46093.40275371949
9,-46004.00099920599
10,-45796.716415508
12,-45561.73558404682
13,-45358.812793883226
16,-45356.29127181498
19,-45227.1150643007
20,-45138.157088098815
21,-44982.80633805937
23,-44912.06020759997
24,-44897.405642002814
27,-44798.43158198404
28,-44777.10345122282
29,-44675.043426808785
31,-44776.5331392259
32,-44645.87562375684
33,-44628.62986561341
35,-44626.299111153305
36,-44605.12975187012
38,-44652.45937042391
39,-44606.816965872655
40,-44600.11928255694
42,-44445.6135024413
43,-44469.474829825755
44,-44415.59862671954
46,-44379.91172152943
47,-44387.811733136565
48,-44441.957090041346
50,-44287.63827262124
51,-44290.54192266202
53,-44314.02059874142
54,-44378.44642262008
55,-44379.463869662475
57,-44238.15193598249
58,-44303.06302278976
59,-44262.760541935146
61,-44196.112253479936
62,-44179.574006791016
63,-44235.25516371533
65,-44185.98436990607
66,-44235.475865756634
68,-44118.995080115244
69,-44119.32679465194
70,-44144.016159893625
72,-44206.76042250391
73,-44063.96336980154
74,-44099.56561896215
76,-44091.412194592
77,-44082.2895079021
78,-44124.90304134014
80,-44151.72215062028
81,-44065.80101154895
82,-44038.26770830442
84,-44042.847938469
85,-44008.36451775777
87,-43996.15099865135
88,-44185.69361637553
89,-44017.58667817487
91,-43930.959448619215
92,-43902.488190634416
94,-43965.34656642022
95,-43942.99126883963
96,-43934.58770651478
98,-43919.303783083014
99,-43938.15739485704
101,-43882.98582815363
102,-43872.43999884835
103,-44018.11014253482
105,-43892.17850091674
107,-43786.05143991735
108,-43831.16084509955
110,-43923.931694108374
111,-43894.216000148495
112,-43809.6333860172
114,-43804.69665141349
115,-43770.730130419885
116,-43863.312234007004
118,-43957.01469993409
119,-43885.78711355877
120,-43853.237468233594
122,-43799.349990660594
123,-43835.49946609022
124,-43693.57976943811
126,-43785.41133931845
127,-43724.18297811268
128,-43751.911180088515
130,-43778.322959639474
131,-43733.74064751628
133,-43808.80061104523
134,-43785.609372672225
135,-43784.200786359295
137,-43685.783142997665
138,-43790.50453089524
139,-43759.18034420955
141,-43679.49702235713
142,-43758.668540465944
143,-43649.267288992894
145,-43697.96911555433
146,-43703.99368904573
148,-43665.369947413616
149,-43757.0548671587
150,-43666.67894857931
152,-43591.07875018454
153,-43713.59462696754
154,-43605.4042810476
156,-43582.59776844262
157,-43676.85541695094
158,-43679.13230315364
160,-43661.68386938699
161,-43639.258756590665
162,-43687.24140612809
164,-43650.60577444313
165,-43584.71374572018
167,-43532.1274831296
168,-43611.58502055238
169,-43579.6714206231
171,-43646.58507543828
172,-43641.474025514864
173,-43513.40093939835
175,-43625.61036254952
176,-43533.12606201216
177,-43520.13380258428
179,-43492.531388237294
180,-43510.47698486082
182,-43515.139462365085
183,-43534.26804744766
184,-43503.60978204967
186,-43488.65819183926
187,-43548.04100832815
188,-43516.658810970766
191,-43628.838208659436
192,-43570.95678324368
194,-43423.23050334577
195,-43541.257897057556
196,-43344.95959305305
198,-43427.36971078761
199,-43462.972190608234
200,-43403.26197832954
202,-43432.917080567764
204,-43371.58767710753
205,-43285.89988736472
207,-43294.86675084694
208,-43304.01486639827
209,-43401.45560778544
211,-43361.302411740704
212,-43326.865064547615
213,-43391.540512717685
215,-43386.84403930684
216,-43267.78736387369
217,-43419.476948637515
219,-43419.97267290732
220,-43321.35377651358
222,-43340.67981135394
223,-43347.53136033427
224,-43274.401070210646
226,-43262.09414994797
227,-43301.3455080784
228,-43165.77066698432
230,-43286.60457870943
231,-43211.580328951924
232,-43231.091756399175
234,-43241.416742763235
235,-43165.72353725462
236,-43165.46359355653
238,-43248.98815077542
239,-43226.55520834819
240,-43293.338827552994
242,-43155.037906826634
243,-43190.68540618348
244,-43054.373861054766
246,-43196.521019444015
247,-43131.62572325784
249,-43152.80046890219
250,-43200.274921266515
251,-43141.60999428879
253,-43063.45967702248
254,-43166.77263785847
255,-43162.28650443332
257,-43130.15382940024
258,-43025.94346467676
259,-43010.70650543176
261,-43072.15164233854
262,-43005.953940979874
263,-43131.5642489992
265,-43051.31866171001
266,-42998.29261399884
267,-42939.405482397124
269,-42982.554979774075
270,-42980.08287900032
272,-42910.7136334642
273,-42835.1873822765
274,-42813.41678297931
276,-42841.27234030673
277,-42829.98108648709
279,-42905.52858066595
280,-43058.39928401732
282,-42888.34749275424
283,-42819.473337208205
