RuntimeInSeconds,ELBO
0,-47296.44414813924
1,-46935.30187075089
3,-46740.597940448526
4,-46502.618088388444
6,-46262.89257911318
8,-45882.376907617836
10,-45942.668541646366
12,-45417.71063987204
13,-45441.796313868545
15,-45343.684285415075
16,-45277.53945751762
18,-45090.18269691322
19,-44889.027494142756
20,-45137.32789604831
22,-45170.246445057885
23,-44888.47533324444
25,-44896.6554302102
26,-44872.83659729945
28,-44909.935242068255
29,-44745.177796818105
30,-44759.572005358474
32,-44644.94982611228
33,-44624.25976692043
35,-44658.88564052127
36,-44625.692842955206
37,-44633.62244208385
39,-44668.57620584159
40,-44499.927200534614
42,-44369.925040601294
43,-44416.04555942194
45,-44332.98548435969
46,-44493.18266903904
47,-44336.8399339073
49,-44420.39829097462
50,-44359.691704283396
52,-44331.56011442959
53,-44295.740481474764
55,-44271.74759995222
56,-44265.34222219474
57,-44269.68355732698
59,-44164.593916802514
60,-44210.869226105075
62,-44278.695259185886
63,-44191.30551375832
64,-44157.41106000182
66,-44270.43402501588
67,-44180.33804675041
69,-44251.55647164242
70,-44088.92978282204
71,-44195.71365681375
73,-44090.563687987706
74,-44024.344098132286
76,-44016.430902876746
77,-44212.3247591205
79,-44112.34037834347
80,-44069.65527463664
82,-44064.0655172061
83,-44042.46998072522
85,-44009.088600902985
86,-44007.061303207025
87,-43949.24234623628
89,-44032.15957489704
90,-43938.689303173014
92,-43922.62561331302
93,-43974.51815504982
95,-43902.41188109123
96,-43927.184797264934
98,-43924.45460910273
99,-43998.6592678391
101,-43903.18966687991
102,-43939.169574038184
104,-43916.302909302445
106,-43908.68573814652
108,-43826.893594375775
109,-43882.7779095686
111,-43784.713453328404
112,-43850.38519789831
113,-43880.78395442757
115,-43798.765589237
116,-43855.64146086552
118,-43860.947068023626
119,-43824.65327316017
121,-43794.153950876476
122,-43836.769995088966
123,-43823.94420315138
125,-43879.94070324431
127,-43730.7456317479
128,-43769.80214962366
130,-43748.378355135705
131,-43828.438276363806
133,-43711.76027662191
134,-43766.91732445789
135,-43801.59891719167
137,-43750.336783234794
138,-43710.13835885928
140,-43756.80790016004
141,-43672.62313576306
143,-43761.016670355304
144,-43802.06370892476
145,-43686.909042762534
