RuntimeInSeconds,ELBO
0,-47118.99991025163
1,-47158.03232706731
3,-47187.603800271594
5,-46700.84535395536
6,-46628.65319094847
8,-46394.32795549361
10,-45967.156586525314
11,-45715.46733796541
13,-45793.505739229964
15,-45475.086657077256
16,-45290.911069253285
19,-45278.830600364156
23,-45314.540202297954
24,-44948.25533387975
26,-45090.26813550367
27,-44857.972284926276
29,-44827.83622394089
30,-44670.942623774754
32,-44802.77893979696
33,-44761.99421508545
34,-44621.11742387809
36,-44663.164533897805
37,-44654.37481534011
39,-44669.45229110993
40,-44527.72786466795
41,-44448.21320038248
43,-44551.62777740991
44,-44451.86621138764
46,-44540.42354132813
47,-44482.05894456681
49,-44365.50058693339
50,-44396.3526466481
51,-44317.05232779039
53,-44337.74896224487
54,-44236.760733994946
56,-44329.78164836812
57,-44306.26496002475
58,-44311.51611050917
61,-44257.885524932906
63,-44275.75147860265
64,-44185.81570688654
65,-44263.329366621154
67,-44180.247741021274
68,-44190.46635491301
70,-44209.19029372618
71,-44118.70267491855
72,-44151.97457803409
74,-44121.16184134287
75,-44166.04070847622
77,-44133.87180195729
78,-44147.54475521665
80,-44040.003829169524
81,-44196.18156950911
83,-44026.87750672674
84,-44063.693826915995
85,-44096.05287743894
87,-43992.31921951342
88,-43916.752093204464
90,-44044.10322152707
91,-44004.26415160375
93,-43986.382176986444
94,-44080.845709764944
96,-43981.52025143795
97,-44014.61872507486
99,-43964.589967339365
100,-43953.146586427676
101,-43925.29473285315
103,-44003.39569289871
104,-43940.57510510247
106,-43897.042650749456
107,-43961.67179481652
109,-43889.6607109659
110,-43868.37981717616
112,-43855.67965879876
113,-43837.18742078278
115,-43968.31163040701
116,-43861.49409948993
118,-43956.15079380944
119,-43803.21019551509
121,-43888.257343374746
122,-43838.76430549457
123,-43752.85037802933
125,-43790.12512628267
126,-43800.25890201343
128,-43809.02964194364
129,-43741.984524726744
130,-43751.2875390178
132,-43822.11559885401
133,-43795.75014999527
135,-43784.149020992714
136,-43694.22937433929
137,-43706.025952708005
139,-43768.99133472136
140,-43840.9953685495
142,-43690.90706105496
143,-43690.26986278072
144,-43697.15648915296
146,-43694.49593721649
147,-43764.41689934632
149,-43693.760243982215
150,-43719.500080539714
151,-43606.09370696056
153,-43608.9812117837
154,-43576.07970696998
156,-43671.88647235566
157,-43594.71000758458
158,-43638.62083301005
160,-43491.00349860953
161,-43679.101128084956
162,-43635.26068800429
164,-43672.98763685449
165,-43600.899762583234
167,-43521.788071772695
168,-43610.014219081655
170,-43613.80254139717
171,-43538.65771006862
172,-43674.71058791256
174,-43647.75911626514
175,-43511.34998460737
177,-43507.37021178995
178,-43530.345610842225
179,-43511.36832789011
181,-43594.58017142847
183,-43485.06727366824
184,-43394.33503511827
185,-43458.98039168322
187,-43442.22443207712
188,-43571.657365456
190,-43462.29000761827
191,-43592.56197020465
193,-43570.746727792386
194,-43498.395615070185
195,-43473.284931699345
197,-43507.77689041921
198,-43499.07022582766
