RuntimeInSeconds,ELBO
0,-47257.12961671034
1,-47146.577877838106
3,-47262.96490119967
5,-46888.65910785841
7,-46219.96688816158
8,-46101.22256832593
10,-46002.670505015965
11,-46090.89848055145
13,-45613.14633766859
14,-45508.702935530266
15,-45306.24556884681
17,-45337.48006135176
18,-45083.081750140016
20,-45228.61672106625
21,-45074.040544102965
22,-45323.66338089041
23,-45089.379723612554
25,-44978.44464483544
26,-44780.884459486224
28,-44728.868932515405
29,-44934.280571932715
31,-44765.40236355654
32,-44720.37402401444
33,-44691.58834604544
35,-44782.781805348604
36,-44491.222709773145
38,-44544.99068141707
39,-44517.637485328356
40,-44461.28563605475
42,-44530.203822491094
43,-44579.78944282193
45,-44411.30627314265
46,-44472.33247629599
47,-44386.6659310566
49,-44402.93402934067
50,-44367.46666247568
51,-44362.47123777768
53,-44340.035147886476
54,-44401.783040912385
56,-44316.55134597045
57,-44293.77679129292
58,-44342.41438677902
60,-44232.484107035205
61,-44271.72616158507
62,-44235.96544200519
64,-44229.7415541744
65,-44147.03967834291
66,-44159.48429214148
68,-44202.703348633484
69,-44217.4537863304
71,-44245.45093349466
72,-44180.98638159568
73,-44124.06094403966
75,-44080.038834689854
76,-44078.850601462895
78,-44036.61057243041
79,-44096.29678712246
80,-44093.473457070824
82,-44045.45767071693
83,-43977.69965446643
85,-44008.205932155186
86,-44030.9425246605
87,-43980.20774714028
89,-43914.281110437565
91,-44054.115523012864
94,-43963.08151388167
96,-43952.98638800542
97,-44024.90846871602
99,-43919.756178561955
102,-44057.35787723944
103,-43943.70087015303
105,-43888.103040973874
106,-43917.55574656123
107,-43872.71384747082
109,-43947.792708060406
110,-43923.285736274345
112,-43775.641973536156
113,-43884.7696377778
115,-43857.98045640416
116,-43829.917831896106
118,-43800.1967495799
119,-43796.44867940099
120,-43883.406246553735
122,-43791.26271800287
123,-43768.54367662541
124,-43884.81813084494
126,-43785.820468785714
127,-43851.63272602582
129,-43746.19423017657
130,-43860.63231584449
131,-43771.084534363275
133,-43708.837459894916
134,-43700.29688454934
135,-43704.50600110187
137,-43711.795809030045
138,-43724.64822604918
140,-43676.32622446378
141,-43699.13074671235
142,-43757.299557603765
144,-43629.296523793666
145,-43688.30741799376
147,-43640.460737140886
148,-43698.81589470112
149,-43666.84587424222
151,-43713.04095302461
152,-43546.72676300377
154,-43742.17585758955
155,-43584.80314409731
156,-43610.42523042726
158,-43681.88360035676
159,-43610.56384592299
160,-43628.32025053451
162,-43651.682229866026
163,-43552.49572801898
165,-43580.03148911197
166,-43612.958317131015
167,-43607.928120730656
169,-43603.87819120324
170,-43549.16314421886
172,-43636.5696688285
173,-43567.998656863936
174,-43525.778999995346
176,-43469.89557659917
177,-43560.64507669632
178,-43623.35965266604
180,-43570.26940110211
181,-43594.483532397106
183,-43536.81532284171
184,-43536.15872705747
185,-43530.22447383827
187,-43468.69288771177
188,-43632.98045823544
189,-43426.38899922968
191,-43459.77734549522
192,-43501.29860766809
194,-43512.78983359373
195,-43496.792260453556
196,-43466.20426699601
198,-43377.49205405932
199,-43385.26102979803
201,-43362.9898171084
202,-43357.41721974358
203,-43406.20303065463
205,-43406.26277127444
206,-43384.644988636144
208,-43404.96825504751
209,-43448.043551448776
210,-43402.092223369706
212,-43320.01948941151
213,-43361.294400874285
215,-43344.56973160507
216,-43384.37008723008
217,-43426.875958767865
219,-43302.83150276524
220,-43340.51470792372
221,-43274.97807044385
223,-43346.36399794004
224,-43307.676781838854
226,-43205.66176725172
227,-43380.38821809359
228,-43368.726441777515
230,-43196.4840881261
231,-43272.38910094774
233,-43249.049088694024
234,-43222.97950040528
236,-43354.3673466685
237,-43171.966395548516
238,-43245.851349588
240,-43182.512515636634
241,-43051.92134850513
243,-43194.4777730074
244,-43279.61664884267
246,-43177.57381511971
247,-43116.57407182875
248,-43064.54214324168
250,-43108.61744148162
251,-43252.31706602708
252,-43203.71778700623
254,-43066.57146432026
255,-43053.914725273025
257,-42989.75045804049
258,-43064.16724974274
259,-43058.29511880009
261,-43066.74450533409
262,-42998.629525619144
264,-43019.37549158586
265,-42953.66462229111
266,-43071.561001337046
268,-42988.538231149025
269,-43083.3531880042
271,-43022.402875301705
272,-43007.60129007179
274,-43009.05665415487
275,-43071.77507100242
276,-43040.485084327345
278,-42815.52137625698
279,-42874.63442399838
281,-42911.997844150465
282,-42795.70798779877
283,-42860.22949987544
285,-42860.04874954906
286,-42798.99038655289
288,-42900.18069972593
289,-42762.15942665386
290,-42890.67141582532
292,-42833.60143280942
293,-42794.92775455293
295,-42862.143732096156
296,-42785.67351268588
297,-42811.37152558128
299,-42792.940225334736
300,-42682.49731940125
302,-42736.426082504084
303,-42654.68165458677
304,-42666.22670953207
306,-42649.308119112844
307,-42593.60637445943
309,-42639.440618108725
310,-42538.39983380964
