RuntimeInSeconds,ELBO
0,-47420.972032918406
2,-47080.74019181006
3,-47254.815576569206
5,-47075.712222585855
6,-47047.44476106241
8,-46953.68630277547
9,-46840.01453572068
10,-46969.04052037939
12,-46947.23385560696
13,-46837.6490765152
14,-46777.24509093054
16,-46924.28127219069
17,-46682.4091592139
19,-46809.06986871893
20,-46948.30220746935
21,-46541.960636837204
22,-46521.41102943904
24,-46607.617160043716
25,-46563.95883472932
27,-46611.62018930407
28,-46364.16409262094
29,-46607.48491297062
31,-46222.916146723685
32,-46268.09711126825
33,-46393.90349584135
35,-46269.920751682606
36,-46108.786282396504
37,-46465.73627303507
39,-46310.60865757702
40,-46096.81957466949
41,-46014.31111226666
43,-46203.98659663779
44,-45960.020519973084
45,-46046.97495401732
46,-45963.46716366576
48,-46005.58128980992
49,-45906.9534644351
50,-46024.35378390775
52,-45959.241453826464
53,-45833.15173768986
54,-46008.45719908299
56,-45754.76261527809
57,-45843.78611770522
58,-45411.58161096034
60,-45654.92449755056
61,-45641.16800489501
62,-45727.05363551056
64,-45698.36906511561
65,-45664.70249287978
66,-45724.018494736796
68,-45815.174262275585
69,-45683.8477965767
70,-45514.332999475926
72,-45645.46488126237
73,-45810.08168560435
74,-45439.389167857036
76,-45432.65549358983
77,-45421.597050274315
78,-45488.62279610584
80,-45551.95494332252
81,-45469.133313470345
82,-45318.86723521755
84,-45388.81439012491
85,-45451.790330126714
86,-45306.109480426705
88,-45280.41160673529
89,-45550.19738532982
90,-45134.688173806724
92,-45255.913127401946
93,-45365.39645023051
94,-45405.94349975803
96,-45156.13465894003
97,-45142.82974781406
98,-45221.872013015294
100,-45107.02107277815
101,-45165.4739254302
102,-45350.428109372886
104,-45158.99619053713
105,-45107.838612151594
106,-45223.802305195546
108,-45282.99194156202
109,-45097.22470466563
110,-45087.309008690725
112,-45120.816009814735
113,-45131.3930762615
114,-45161.58432065578
115,-45144.8854333389
117,-45203.436293428684
118,-45076.837854660946
119,-45100.6724963135
121,-45097.74514208469
122,-45050.71002165243
124,-44980.17624096226
125,-44963.059136008174
126,-45095.08623009676
128,-45008.874974536855
129,-44946.878942433206
130,-45022.47637433834
132,-45037.22968629705
133,-44896.31331220745
134,-44993.12389761308
135,-44860.85610671808
137,-44989.00553198201
138,-44904.085320779035
139,-44935.03706790588
141,-44936.38485090846
142,-44771.13622545207
143,-44894.69574916274
145,-44840.04061937501
146,-44911.305509911734
147,-44925.66447517666
149,-44816.94502869526
150,-44939.58629312449
151,-44834.271447454455
153,-44824.902881274356
154,-44880.95925117574
155,-44934.190407074675
157,-44768.304442017434
158,-44839.83852335839
159,-44894.07042820076
161,-44883.89592805098
162,-44963.72912669505
163,-44760.17084808028
165,-44850.04198752551
166,-44750.0261026316
167,-44902.11399486866
169,-44815.47125323688
170,-44696.543252181684
171,-44748.64443005512
173,-44798.02807161596
174,-44804.2613463044
175,-44763.5549216156
177,-44761.85548335799
178,-44713.2317698464
179,-44685.91941428957
181,-44783.96765513354
182,-44686.39106485286
183,-44763.26427400246
185,-44753.81718292742
186,-44704.700237711375
187,-44780.26220922908
189,-44670.29418254218
190,-44691.64871174353
191,-44622.826367425165
193,-44740.69685288501
194,-44723.1977773055
195,-44685.44924170127
197,-44698.493437151585
198,-44662.50824540539
199,-44682.888377148825
201,-44688.15249334695
202,-44676.646286287454
203,-44694.22992165354
204,-44753.11875807211
206,-44655.08926007279
207,-44649.091868501506
208,-44715.37503114317
210,-44759.3065572728
211,-44602.73721795379
212,-44633.93073513015
214,-44592.46428081229
215,-44662.39292878175
216,-44596.14136704087
218,-44605.67314384316
219,-44586.27675949323
220,-44563.10657277604
222,-44596.64304879085
223,-44453.54820019214
225,-44529.145732705496
226,-44538.46462413224
227,-44573.3001217298
229,-44556.34349737925
230,-44532.81954994555
231,-44650.495115783735
232,-44521.4649946257
234,-44599.73086439018
235,-44512.35795885776
236,-44571.82615176336
238,-44562.39228798451
239,-44546.1428138386
241,-44685.75236353303
242,-44593.78700768464
243,-44546.28850490872
245,-44612.55321729394
246,-44523.27643218237
247,-44410.44518325261
249,-44497.97602734192
250,-44575.038757622446
251,-44448.06034659366
253,-44533.6419398472
254,-44478.181301896344
255,-44412.685645110905
256,-44496.01449106982
258,-44399.10648318329
259,-44478.831071629946
261,-44455.72561144562
262,-44438.038720846045
263,-44405.22867576685
264,-44521.39916448227
266,-44384.73877712264
267,-44500.75152227104
269,-44512.72337004428
270,-44394.10467227227
271,-44411.623401878576
273,-44484.297217359526
274,-44383.286561977555
275,-44450.401787298135
277,-44539.493434967604
278,-44409.883299530135
279,-44445.33814675106
281,-44487.39579410153
282,-44430.47532704708
283,-44545.725571606505
285,-44370.92419583119
286,-44441.38527396233
287,-44354.865530434974
289,-44459.47025980446
290,-44451.805742037126
291,-44367.97611159345
293,-44425.66086140932
294,-44354.34841466724
295,-44391.87162118255
297,-44429.54592373142
298,-44391.33846765224
299,-44319.68949701786
301,-44385.71546959121
302,-44472.72223731478
303,-44372.26983322695
305,-44437.57657952872
306,-44386.19924445512
308,-44409.73084801928
309,-44410.57071665982
310,-44356.80358743517
312,-44504.48155984938
313,-44281.0272276339
314,-44270.23422899629
315,-44376.48134807418
317,-44392.75950861369
318,-44365.94522218736
319,-44309.51821434372
321,-44337.50713849077
322,-44441.25477372526
324,-44331.10179859392
325,-44425.19107666801
326,-44278.789123856666
328,-44271.881594613464
329,-44259.33491368251
330,-44303.53803077787
332,-44276.5880373038
333,-44292.70518904518
334,-44325.24903695678
336,-44308.36727555847
337,-44384.03423186237
338,-44301.01337210408
340,-44371.74569535287
341,-44246.181916575675
342,-44320.21056654143
344,-44338.068045447006
345,-44248.93165531865
346,-44303.855915765555
348,-44259.79382552512
349,-44335.888944795646
350,-44382.21077096658
352,-44296.70369353774
353,-44203.82928007793
354,-44252.875715865855
356,-44348.95061952811
357,-44297.68583332747
358,-44313.70781644858
360,-44320.527937973464
361,-44346.99815988587
362,-44211.379760613054
364,-44260.19374497354
365,-44266.25399647901
366,-44283.26461239206
368,-44180.185536561075
369,-44301.68367696277
370,-44215.57739373158
372,-44237.69910845242
373,-44217.96518577254
374,-44321.582617235115
376,-44336.07591790982
377,-44197.265284674424
379,-44240.152381446824
380,-44192.53352275322
381,-44226.805173696
383,-44213.368629709184
384,-44266.194124212874
385,-44231.617159964604
387,-44191.6040798496
388,-44112.67504193325
389,-44248.296267591584
391,-44242.77140695833
392,-44220.80170042399
393,-44280.80948200416
395,-44270.753223878324
396,-44265.960021801366
397,-44202.119858067046
399,-44222.53598600737
400,-44242.686478499665
401,-44185.228671388904
403,-44250.16915717693
404,-44180.82157826521
405,-44148.45958744087
407,-44235.20226155841
408,-44255.05585630735
409,-44139.81546645909
411,-44172.99982856606
412,-44163.198393488776
413,-44148.33181659005
415,-44192.86993221604
416,-44117.91453255995
417,-44211.33571556762
419,-44195.223328951375
420,-44148.73820531799
421,-44215.16690947738
423,-44115.33432573381
424,-44077.57744469281
425,-44163.19222111349
427,-44218.61066698583
428,-44123.18929173526
429,-44189.36690942553
431,-44277.58394879917
432,-44154.66976818118
433,-44180.07820004135
435,-44103.41140124657
436,-44188.413935458404
437,-44144.288980375786
439,-44138.16376407402
440,-44002.04996587441
