RuntimeInSeconds,ELBO
0,-47099.33896703479
1,-47083.22872009239
3,-47060.229222960785
5,-46985.75706144364
8,-46773.220550189806
11,-46573.80361150133
14,-46443.847427915636
17,-46011.244755805805
20,-45498.4983353249
23,-45428.306377464185
26,-45306.5012358669
29,-45253.51904307864
31,-45125.039367895384
34,-44994.93841004442
37,-44973.51212729826
40,-44776.84817326904
42,-44755.31304028254
45,-44711.04079258269
48,-44669.41836835161
51,-44542.17674508126
54,-44680.83021409434
57,-44439.89794214482
60,-44414.34872609398
62,-44399.1991773296
64,-44414.18993236415
68,-44335.812745514464
70,-44249.28476029824
73,-44207.18959399559
75,-44228.2470415002
78,-44324.12183953999
81,-44200.319663654736
83,-44212.94921363421
86,-44070.29635116508
89,-44071.89728046167
92,-44070.28346851802
94,-44131.54734618447
97,-44051.89269438556
100,-44088.135210523906
103,-43997.81614718689
105,-44069.078430020985
108,-44006.62640983655
111,-44030.37896518972
114,-44010.01373572829
117,-43909.31162084449
120,-43879.227011758136
123,-43855.53336415725
126,-43994.71061641727
129,-43789.213505179316
131,-43975.72413884944
134,-43804.21339718136
137,-43842.22323411608
140,-43761.50587269383
142,-43878.363463374015
145,-43751.440292630316
148,-43751.38061298566
150,-43745.64630015176
153,-43774.338061721166
156,-43687.34321759207
159,-43700.37024714912
161,-43763.885458727396
164,-43732.63860298369
167,-43748.30459882992
170,-43655.529329378434
172,-43637.64276184308
175,-43583.02909402302
178,-43617.61725306236
181,-43625.991494910515
183,-43542.64504917133
186,-43558.37863109095
189,-43493.42868251995
191,-43432.83132347766
194,-43407.4521109477
197,-43478.237997912714
200,-43481.81028647038
202,-43469.74715473555
205,-43520.438848412814
208,-43369.737036719795
211,-43490.364039802924
213,-43417.52657089293
216,-43326.297363196616
219,-43317.05422593093
222,-43351.60931157579
224,-43324.101625332136
227,-43280.097519243944
230,-43190.964633355674
233,-43225.379279382156
235,-43266.62255564052
238,-43296.65387799434
241,-43131.39816451713
243,-43261.044496495546
246,-43139.20966181821
249,-43265.65816404592
252,-43126.00208687323
254,-43020.47643186746
257,-42925.91295292875
260,-42960.80031064686
262,-42910.001585564445
265,-42936.94659685155
268,-42862.02776237105
270,-42883.5189210949
273,-42843.48637222104
276,-42821.2671168404
278,-42859.782105626946
281,-42918.96013932958
284,-42758.66588157238
287,-42745.37236592499
289,-42676.63642710681
292,-42697.554603645265
294,-42742.93563267847
297,-42804.597503069905
300,-42715.079235555706
303,-42669.927075953055
306,-42541.54176618508
308,-42578.922178921355
311,-42587.949382176565
314,-42523.08457100483
317,-42600.00414447479
319,-42543.08246841049
322,-42471.44257405658
325,-42481.4021161917
327,-42460.602526364615
330,-42496.02866000295
333,-42477.470426920605
336,-42440.215766240384
338,-42384.3947916247
341,-42392.170077488474
344,-42309.57427703012
346,-42257.2345628307
349,-42308.41520597159
352,-42310.44205942996
355,-42177.36303455776
357,-42219.931507151734
360,-42212.65601765932
363,-42183.60004657443
365,-42168.3769334515
368,-42175.30307615721
371,-42073.461193442774
374,-42268.172814515274
376,-42132.926001943655
379,-42089.64802924509
382,-42001.77754912886
385,-42003.4699577009
387,-41972.95165698009
390,-42093.710510588426
393,-41999.18387226939
395,-42062.194177635974
398,-41923.98374900006
400,-42120.339485814155
403,-41947.78766550024
406,-42006.18930968116
409,-41920.41145096861
411,-41819.52603711707
414,-41898.65837218658
417,-41837.42519134919
419,-41848.441600853
422,-41865.7211307776
425,-41812.229242923546
427,-41966.11697767717
430,-41756.86074231677
433,-41773.72705480859
435,-41734.45431663751
438,-41664.764043043506
441,-41755.27337306061
443,-41775.41799501951
446,-41747.15435884164
449,-41625.05421219902
452,-41706.99122243211
454,-41707.079657706774
457,-41679.25865870776
460,-41687.24212288983
463,-41659.99051889821
465,-41579.42151551036
468,-41593.556987006494
471,-41587.14237690054
474,-41531.38143564756
477,-41510.56948774277
479,-41460.08087163601
482,-41529.63028221555
484,-41595.26870470925
487,-41500.88690909109
490,-41448.01105787997
493,-41458.44926799394
