RuntimeInSeconds,ELBO
0,-47336.18956684458
1,-47346.926588264134
4,-47124.51472190007
6,-46719.75018748644
9,-46666.83955241005
12,-46309.327527315836
15,-45973.7598817292
17,-45765.13276350322
21,-45513.3284185985
24,-45321.57065843
26,-45130.19167580739
29,-44970.88008114591
32,-44998.97732045927
35,-44790.426556945065
38,-44787.36130077034
40,-44667.66721878845
43,-44673.07758400463
46,-44597.807543108414
49,-44442.47886598401
52,-44539.8321002146
55,-44435.755521347215
57,-44490.597537752925
60,-44516.257528483795
63,-44441.87048027473
66,-44334.956669352316
69,-44420.351241046956
72,-44297.64702862225
75,-44199.064803479676
77,-44210.22118003753
80,-44183.61573759583
83,-44162.12964277193
86,-44135.69631948709
89,-44073.133317831314
91,-44078.68631220312
94,-44023.27887294825
97,-44090.51554757926
99,-44131.373371144
102,-44079.38496715461
105,-43882.22017290195
108,-43941.90731863724
110,-43915.32202739292
113,-44148.93465349839
116,-43873.888383623875
119,-43899.75737092681
122,-43925.3108018033
124,-43882.16011627287
127,-43898.977859454746
129,-43831.241644292655
133,-43836.94149063336
135,-43917.88756520978
138,-43758.38030641121
141,-43832.69736773729
144,-43770.238616238465
146,-43672.03092231324
149,-43713.899577661934
152,-43725.18138694853
154,-43665.0165296589
157,-43636.428386049156
160,-43781.62260275178
163,-43783.38809743497
165,-43620.87112600066
168,-43648.612783257144
171,-43651.11432532085
173,-43622.472209555424
176,-43482.47914339343
179,-43488.95081629503
182,-43459.78672533768
184,-43493.37632942893
187,-43514.71875232041
190,-43452.04331282561
192,-43457.3586957156
195,-43460.26495264621
198,-43589.160639986265
201,-43373.384260842184
203,-43481.65313476674
205,-43512.67187628991
208,-43297.182592576435
211,-43423.453036591425
214,-43272.418148573866
216,-43365.50926818838
219,-43258.806138628075
222,-43234.17718896757
224,-43244.401283062776
227,-43264.06020468319
230,-43303.72328054836
233,-43275.58776700947
236,-43207.238515495505
239,-43131.82652047001
242,-43114.167095538214
244,-43058.0624724501
247,-43076.09739561374
250,-43013.64382375016
253,-43119.0750461825
255,-42984.86977704582
258,-43077.66166007581
261,-43002.831030996815
264,-42927.2000606643
266,-42958.97878554157
269,-42951.94835266657
271,-42897.355132054334
274,-42876.53426967768
277,-42785.92748158365
279,-42745.50915573978
282,-42873.45949297186
285,-42748.0925359252
288,-42645.91637299998
290,-42651.27992483684
293,-42829.04597226262
296,-42732.96103148794
298,-42749.99407588021
301,-42646.1240844093
304,-42624.50065372855
307,-42579.81599823463
309,-42665.00057356304
312,-42600.2709382666
314,-42560.652996346325
317,-42539.12856090401
320,-42409.881466632476
323,-42510.54947058322
325,-42413.17844772896
328,-42349.085291154064
331,-42465.10077918519
334,-42397.93862787512
336,-42245.617977550806
339,-42451.317202628525
342,-42306.90991572136
344,-42307.66387524439
347,-42293.97210243487
350,-42219.571860543576
352,-42346.37043562764
355,-42218.59358065123
358,-42142.839180310366
360,-42293.547284915505
363,-42124.7444334334
366,-42208.82483827776
368,-42149.068798448454
371,-42125.71943327649
374,-42158.760309679994
377,-42141.1552738236
379,-41977.40046012414
382,-42097.01755572239
385,-42037.97199957483
387,-42011.010302418035
390,-41950.032550136406
393,-42028.42781472996
396,-41974.74859272488
399,-41917.855308029066
401,-41907.03070916812
404,-41870.22648074683
407,-41814.82967990953
410,-41873.95456276615
413,-41776.08261186439
415,-41907.906444731234
418,-41818.26106870973
421,-41816.71795070478
424,-41827.10183200292
426,-41780.49176076962
429,-41773.83909802191
432,-41931.36975233552
435,-41748.56732956375
438,-41699.00178779083
440,-41607.88427951
443,-41704.6923805318
446,-41612.86148589272
449,-41676.9735937575
452,-41651.285502727216
454,-41504.37898518462
457,-41567.821313158216
459,-41677.2375675875
462,-41623.21265784076
465,-41559.8118095748
467,-41565.730623200136
470,-41530.18613479798
473,-41599.22169290116
476,-41529.36015901492
479,-41589.38066142941
481,-41428.394468580314
484,-41497.233634435746
487,-41454.26728290357
489,-41535.333341474
492,-41416.48569292952
495,-41487.0601363004
498,-41407.21877904512
501,-41484.12455241409
504,-41508.89104054781
506,-41473.54941736227
509,-41419.85352618518
512,-41403.18022864656
514,-41465.362151088484
517,-41313.448172766526
519,-41396.64324891002
522,-41434.26677838753
525,-41378.1540175371
528,-41327.023128267334
530,-41292.38455223989
533,-41231.41336207172
536,-41285.14451309342
539,-41278.493776568
542,-41352.80659112634
544,-41326.10728327792
547,-41261.62079116084
549,-41216.07978595127
552,-41291.591444753605
555,-41249.42360975883
557,-41207.04287824417
560,-41211.283463620246
563,-41220.18976263711
566,-41174.3984215352
569,-41140.66041660252
571,-41167.63880358831
574,-41155.3862184357
577,-41159.86042244996
580,-41087.80339251763
582,-41061.05902782147
585,-41093.90053731088
587,-41156.907747754536
590,-41073.38156488234
593,-41042.80926619094
596,-41121.37196286332
599,-41081.41012095201
602,-41070.423701732165
604,-41008.982391896345
607,-41068.671886122764
610,-40979.851873646854
612,-40978.59461465716
615,-40966.898459746095
617,-41023.62494164948
620,-41004.74215302856
623,-41019.45965141333
626,-41008.735837177686
628,-40895.54643972451
631,-40883.05340471468
634,-40907.77225902362
636,-40979.19110635901
639,-40960.60902895554
642,-40902.98033834288
645,-40899.2397015466
647,-40884.68699224599
650,-40905.50579852673
653,-40919.57966538683
656,-40975.55091254492
659,-41068.870803845064
661,-40855.69871578174
664,-40975.198985424526
666,-40924.928024683075
669,-40858.593860395806
672,-40913.09492560796
675,-40868.99767860672
677,-40794.80781206929
680,-40776.78183688426
683,-40863.62894869284
686,-40787.20326057798
689,-40797.86814977281
691,-40845.31774837966
693,-40868.006470203276
697,-40876.44027435832
699,-40791.583904463216
702,-40786.55260921609
704,-40810.801882899206
707,-40807.69753158581
709,-40781.161879137646
712,-40757.7682205579
715,-40728.56190085087
718,-40945.15719213683
720,-40748.013626939966
723,-40813.97222048152
725,-40675.2983567845
728,-40760.85859029878
731,-40721.906914992134
734,-40866.3335370685
736,-40638.93860916933
739,-40770.687489927135
742,-40631.56662092031
745,-40619.219174751044
747,-40964.6941874907
750,-40712.12956481419
753,-40709.03823074376
755,-40769.082243075085
758,-40723.21497300091
761,-40637.13019864021
764,-40574.49408393357
767,-40641.90661798906
