RuntimeInSeconds,ELBO
0,-46575.22029873073
3,-46011.397373491134
6,-45940.41679804181
8,-45505.030315214346
11,-45429.670777243846
14,-45295.17562607856
16,-45065.087053658805
19,-45002.67645973709
22,-44983.6738331358
25,-44857.54468927322
27,-44713.422205020266
30,-44784.88170101154
33,-44807.21577362061
35,-44622.21156418277
38,-44538.082552217056
41,-44479.57434882562
44,-44530.392230028134
46,-44445.332356651306
49,-44386.51007557247
51,-44503.11665433019
54,-44308.46003738942
57,-44277.81776407055
59,-44275.76305681225
62,-44255.64626868836
65,-44217.19463048953
68,-44198.26832659325
70,-44122.64032188989
73,-44198.892487291734
76,-44147.00048550168
79,-44141.924285589615
81,-44103.22772242213
84,-44074.107306640275
87,-44053.76164480242
89,-44043.9789196116
93,-44043.13607676407
95,-43922.475002693005
98,-44095.43106747845
101,-43911.35272985139
103,-43991.5287372319
106,-43902.248043866064
109,-43810.8889653998
111,-43765.867080878
114,-43895.43236417502
117,-43880.0905966157
120,-43803.9139654346
122,-43796.328552930456
125,-43844.57807662291
128,-43738.445792301885
131,-43829.064287375644
133,-43779.380224723864
136,-43762.068552425255
139,-43723.513227308285
142,-43791.54216058951
144,-43668.872726769776
147,-43736.188344611655
150,-43653.72004168791
153,-43636.89363612576
156,-43690.04645243559
158,-43651.30406923081
161,-43661.4813645838
164,-43621.16835641069
166,-43532.79328470139
169,-43604.40573393887
172,-43581.96215880901
175,-43586.31547033085
177,-43446.96290138287
180,-43457.10815850445
182,-43465.18795807376
185,-43444.12771203318
187,-43480.618608448785
191,-43364.59236894473
193,-43465.9996790684
196,-43488.17719305324
199,-43382.964093589886
202,-43267.65381667415
204,-43293.34823732595
207,-43307.160058911046
210,-43212.24969348855
213,-43308.06956608995
215,-43378.14911414726
218,-43250.319184946005
220,-43252.94921244964
223,-43270.41098714397
226,-43211.67148677678
229,-43183.31461016
231,-43163.97675827513
234,-43070.33000556359
237,-43053.75006040947
239,-43026.0196661749
242,-43038.878596434995
245,-43057.617418202426
247,-42990.798744116066
250,-43016.90059585592
253,-42962.238192221936
256,-42802.40023494081
259,-42857.14966471673
261,-42966.713245829495
264,-42967.482112389225
267,-42833.261593801806
269,-42930.99128793148
272,-42795.88486330581
275,-42770.848607971144
277,-42740.98968486156
280,-42633.88463955449
283,-42578.434545981625
286,-42598.15615934381
289,-42688.66969853153
291,-42603.1043032968
294,-42607.61657139951
296,-42671.346389420425
299,-42599.717515140386
302,-42553.55021102497
305,-42493.37177505244
308,-42534.03790057997
311,-42507.14661087104
313,-42403.158903632226
316,-42442.03052165389
318,-42458.981987673644
321,-42421.18519315675
324,-42379.54979658275
327,-42335.99177907124
329,-42302.07584776125
332,-42310.2766441229
335,-42242.777345305476
338,-42367.91804077217
340,-42190.9031439637
343,-42255.076289784156
346,-42261.87932129988
348,-42117.00444145366
351,-42135.11617250297
354,-42250.74043925749
357,-42186.483934011136
359,-42071.22488430344
362,-42040.422556852594
365,-42052.62007608694
368,-42156.99299855793
370,-41974.720963698375
373,-42149.66698217943
376,-41996.84513408753
379,-42005.786544326955
381,-42081.98307071312
384,-42072.778048917375
387,-42052.37613421685
389,-42081.263203332
392,-41862.122185864086
395,-41955.29836461003
398,-41904.71569089997
401,-41958.087723167046
403,-41878.82341941025
406,-41809.70024680476
409,-41805.163213187436
411,-41767.928105720195
414,-41708.46222808276
417,-41850.830942689194
420,-41716.00351406841
422,-41871.43026467106
425,-41803.43149209243
427,-41743.292861638074
430,-41709.72933839256
433,-41703.62173602698
436,-41750.68861222953
439,-41771.024249165086
442,-41636.80680341871
445,-41650.06644544217
447,-41831.09552615037
450,-41583.60162235331
453,-41569.96257741563
456,-41713.32479229987
458,-41561.27015754998
461,-41615.513343167186
464,-41533.1830974686
467,-41621.34257224039
469,-41448.722514890396
472,-41564.55793724262
474,-41556.089308150185
477,-41426.57314229654
480,-41489.71416219534
483,-41405.43841547316
485,-41394.49829932635
488,-41468.823173053184
491,-41468.728677915824
494,-41397.0103155059
497,-41417.22767040474
499,-41319.16018734163
502,-41432.57984409016
505,-41318.469633479224
508,-41426.62362071426
510,-41308.1211086774
513,-41294.768822677855
516,-41443.21239445915
518,-41481.71787757909
521,-41225.24395325378
524,-41219.16392384018
527,-41332.87760135084
529,-41344.822055123164
532,-41302.751314317386
534,-41243.2211951331
537,-41187.12775948419
540,-41209.85342567252
543,-41158.18513707874
546,-41176.50907891703
548,-41198.4331236739
551,-41169.417365195535
554,-41179.10640977058
557,-41139.29217183352
559,-41056.12650812341
562,-41159.023031253
565,-41075.87481391279
568,-41191.23848190879
570,-41133.08741643218
573,-41085.666361054304
576,-41136.23725541449
579,-41105.04103287459
581,-41104.466360097394
584,-41118.93677030927
587,-41007.324900462474
590,-41083.917034264436
592,-41040.525526018675
595,-41231.315204226004
598,-40971.48968073621
601,-41040.88039375577
603,-40993.61261444951
606,-40895.88401490992
609,-41044.55784964782
612,-41044.70451445249
614,-41015.56553954238
617,-40971.49083874797
620,-40977.09014196176
623,-40994.41024036671
626,-41029.27337312784
628,-40903.30559965672
631,-40968.968644148954
634,-41009.8811244007
636,-40947.13543675011
639,-40959.243073850346
642,-40953.32883094134
644,-40946.50015728036
647,-40930.29713882732
650,-40924.70066813914
653,-40905.37254320051
656,-40915.45884034945
659,-40863.3157804916
661,-40946.32685140658
664,-40909.64533772507
667,-40877.578353288394
670,-40875.08190181963
672,-40905.93547380447
675,-40911.01091885769
678,-40852.544092886266
681,-40814.92355225251
683,-40824.941941736804
687,-40808.434167696345
689,-40780.30645828677
692,-40706.662265737374
695,-40746.37481088584
698,-40745.20138642173
701,-40756.9340238863
703,-40767.27689313479
706,-40717.72039149682
709,-40674.67600345549
711,-40820.76876977838
714,-40739.30050636881
717,-40824.962927204695
720,-40727.934414282325
722,-40684.16963392759
725,-40689.40940882309
728,-40645.82718413366
731,-40793.768212724004
733,-40709.11285583169
736,-40637.89883103203
739,-40610.75272372247
741,-40627.08678433418
744,-40772.18262144654
747,-40727.16477736684
750,-40660.849106769674
753,-40710.33343976506
755,-40760.23278470408
758,-40611.51253063558
761,-40644.64140993408
764,-40705.33394401842
766,-40622.68839932197
769,-40663.71764320465
772,-40588.037740678985
774,-40679.44501749605
777,-40585.325152859456
780,-40663.361448869
782,-40670.739495178444
785,-40616.475521615284
788,-40645.70117817637
791,-40553.97630434181
793,-40496.7739202659
796,-40565.619973625464
799,-40617.3699898231
802,-40614.57951115577
804,-40638.94150588527
807,-40615.26915777595
810,-40588.90629415061
813,-40443.417636870494
815,-40584.653840027444
818,-40675.78032603655
821,-40484.90214195378
824,-40532.19900539239
827,-40491.48939910599
830,-40459.898791365726
832,-40482.35070120493
835,-40489.608652421
837,-40512.45659813398
841,-40482.36797464863
843,-40510.70115297608
846,-40642.16174331655
849,-40461.81380624644
852,-40600.763751187325
855,-40433.3488471453
857,-40480.67826176226
860,-40474.77907899549
863,-40419.31784786681
866,-40547.98681543314
868,-40418.09184068921
871,-40357.04835026873
874,-40420.389787770124
876,-40441.62369983915
879,-40406.633387962276
882,-40413.12479522892
885,-40492.12036675116
887,-40487.07535016457
