RuntimeInSeconds,ELBO
0,-46879.55601881567
3,-46192.58314535866
6,-46413.65729854961
8,-45889.57684842977
12,-45744.25057805881
14,-45389.40404515178
17,-45336.029407070906
20,-45135.99368594031
23,-45226.704444629635
26,-44993.11229163913
28,-44888.247986287606
31,-44800.69026216915
34,-44769.06390541388
36,-44612.614720864716
39,-44566.517898626655
42,-44618.68993229863
45,-44482.34338542288
47,-44441.496896894525
50,-44326.75924647288
53,-44474.47527423019
56,-44468.181615455585
58,-44415.488703191055
61,-44398.80773455969
64,-44252.109378430774
67,-44337.73714825039
70,-44287.672386382306
73,-44171.962640107464
76,-44163.71503075873
79,-44046.00323632415
82,-44174.479785661635
85,-44067.224985025365
88,-44038.018726697264
90,-44148.69177209596
93,-44037.073249763955
96,-44009.69692432238
99,-43909.46978085688
102,-43935.198843982296
105,-43949.72200055958
108,-44080.785602959535
110,-43864.547102683486
114,-43898.36177187373
116,-43870.43357499606
119,-43824.52050212915
122,-43805.56877489702
125,-43891.104381892
127,-43879.76132299514
130,-43851.25338622387
133,-43820.863384846525
136,-43750.29138310269
138,-43784.23364772639
141,-43675.22232361296
144,-43766.197309325165
147,-43598.202141727124
150,-43676.157134521774
152,-43732.686392338466
155,-43640.30798667796
157,-43582.66357830022
160,-43758.76241938809
163,-43685.04930459747
166,-43677.083516951614
169,-43493.31455275294
173,-43592.8080012742
175,-43540.88084955306
178,-43545.518236147946
181,-43587.30971555068
184,-43445.36431185662
187,-43530.55661849205
189,-43445.647996468135
192,-43465.76013899887
195,-43383.6501645484
198,-43457.408815889234
200,-43370.69535622375
203,-43441.25185770086
206,-43350.93559472483
208,-43291.73145946776
211,-43349.38384264381
214,-43266.96337554771
217,-43351.892486406796
219,-43317.65910286076
222,-43132.24603660864
224,-43352.83127713524
227,-43155.773093541946
230,-43204.66404762934
232,-43069.02948681561
235,-43145.264796843076
238,-43123.92530269999
241,-43013.579979673304
243,-43141.363335682174
246,-43057.801974931055
248,-43020.27166235067
251,-42939.81077090413
