RuntimeInSeconds,ELBO
0,-46437.02865826604
3,-46182.250663569896
5,-45652.68635406965
8,-45486.928143065874
11,-45382.20676878512
14,-45089.13206630059
16,-45134.434423085906
19,-45101.868299647824
22,-44860.397978448134
25,-44832.35374550464
27,-44715.685045079474
30,-44806.440974779325
33,-44660.266611525236
35,-44613.93082457564
38,-44562.15102796317
41,-44498.59623998905
44,-44474.931349191036
46,-44448.70809125359
49,-44425.980240234174
52,-44290.23575234281
55,-44369.14943427605
58,-44306.791062358
60,-44286.88482114027
63,-44252.05308997246
65,-44182.63267712075
68,-44208.13781908774
71,-44151.64087304508
74,-44137.27774076196
76,-44043.06820240494
79,-44152.40754858951
82,-44057.43350691259
84,-44094.4635723321
87,-44068.97868486285
89,-44078.69899677421
92,-44013.828902485955
95,-43970.190433150245
97,-44085.80013224197
100,-43979.8581151789
103,-43927.36331235304
105,-43852.51293447579
108,-43852.90881167513
110,-43844.51674273253
113,-43863.573240145764
115,-43916.849863627736
118,-43797.661101375365
121,-43874.924677015464
124,-43759.743430512164
127,-43805.078844346834
129,-43772.239886869735
132,-43753.60331610467
135,-43759.02296564444
138,-43680.81897560263
140,-43741.43938444789
143,-43656.55775294568
146,-43699.00413635268
149,-43590.36663144088
151,-43696.739447813314
154,-43707.941115945556
157,-43612.20806541234
160,-43576.05655746558
162,-43585.93078340914
165,-43658.54686467791
168,-43532.84366114065
171,-43552.56504165136
173,-43646.62128124464
176,-43482.384782032634
179,-43457.24009955329
181,-43485.02587073081
184,-43527.04625849722
186,-43496.05996567238
189,-43491.29150577667
192,-43366.27021538896
195,-43473.381994998424
197,-43331.250361840655
200,-43401.345757272415
203,-43404.93585093884
205,-43364.41329741849
208,-43358.760589379475
211,-43321.81970985122
213,-43312.48817527604
216,-43231.26430690748
218,-43225.40997284831
221,-43177.63027940459
224,-43170.551593446384
227,-43093.06539785583
229,-43066.089673549955
232,-43139.16114188338
235,-43044.036195036926
238,-42949.42440187484
240,-42972.14760724604
243,-43014.09094435644
246,-43031.0337705636
249,-43037.598425086646
251,-42980.12479589839
254,-42956.834382076544
257,-42851.66672592528
260,-42772.5743019935
262,-42827.38790939147
265,-42852.82279446987
268,-42812.87398527886
270,-42721.43324383214
273,-42741.318939385295
276,-42836.60544241546
278,-42627.24918876363
281,-42644.260468496395
284,-42723.683405976764
287,-42743.546287523124
289,-42700.798971480486
292,-42628.09211105727
294,-42613.112810720406
297,-42625.79254171564
300,-42606.197741279335
303,-42492.797674989146
305,-42564.95443464776
308,-42431.25743752713
310,-42390.48752495201
313,-42503.965085543794
316,-42584.97277266773
318,-42364.3940506553
321,-42467.78901816302
324,-42260.81104229535
327,-42310.05705695596
330,-42299.19123335115
332,-42326.68518997715
335,-42316.57496481616
338,-42335.71188420742
341,-42157.0657065391
343,-42163.61109239856
346,-42273.57241679603
349,-42084.52519649605
352,-42169.77703998574
354,-42328.682409552195
357,-42121.5327555587
360,-42227.04290579108
363,-42050.17732278034
366,-42061.23035746175
369,-42160.466140674245
371,-42125.85327384689
374,-42045.1708422581
377,-42064.88429202723
379,-42028.5447411191
382,-42081.00661045892
385,-41901.829079334086
388,-41990.21880084805
390,-41929.55898887954
393,-41855.600750563724
396,-41808.051842104476
398,-41994.85955126756
401,-41895.36884229523
404,-41763.24165503961
406,-41801.199179946874
409,-41793.62875454429
412,-41742.90316376187
414,-41836.17471695014
417,-41792.349917273394
420,-41790.643877103095
422,-41856.74964895059
425,-41753.63177895296
428,-41698.649024980026
431,-41694.522320966564
434,-41742.515132496024
436,-41690.94156199414
439,-41733.28053303043
442,-41775.355153030534
444,-41588.40361632651
447,-41681.15691477328
450,-41687.25554774457
453,-41594.61269901821
455,-41564.74321009759
458,-41569.803672817055
461,-41525.25081832324
463,-41639.227800831286
466,-41476.03665117129
469,-41477.6523758405
472,-41463.34783891985
474,-41489.92866026657
477,-41429.0931919371
480,-41424.34902659567
482,-41447.244992595835
485,-41413.34687570093
488,-41474.85268272874
490,-41486.323037820934
493,-41407.691416876776
495,-41442.56597691115
498,-41452.09792230357
501,-41354.83036987359
504,-41352.16114442563
506,-41344.225604792555
509,-41365.04589984955
512,-41299.04882448924
515,-41341.47883613936
518,-41265.542040731845
520,-41422.692143367516
523,-41304.70000052413
526,-41316.73882454944
529,-41270.926712135166
531,-41254.906822916295
534,-41262.94939367887
537,-41208.79678732879
540,-41238.200384068856
543,-41237.877239866226
545,-41253.91967322405
548,-41181.12562121774
551,-41257.42468668196
554,-41312.59684997002
557,-41198.488037907635
560,-41197.34320757504
563,-41059.095825270255
566,-41122.2688619931
569,-41108.41285472959
572,-41124.81125843064
575,-41081.404070977784
578,-41137.06460426253
581,-41042.55942933825
584,-41105.62908632761
587,-41236.200931773856
590,-41064.44386067633
592,-40915.72357699766
595,-41070.69916870665
598,-41105.206203086105
601,-40962.28245519789
603,-41036.468851785816
606,-41040.5098088183
609,-41063.73924214719
611,-41014.06152016051
614,-41139.223115384055
617,-40955.66473079541
620,-40929.5378171122
623,-40951.10347822777
625,-40924.30899309654
628,-40896.17934965426
631,-40933.506796928654
633,-40873.597719138146
636,-40820.62829589526
639,-40960.08860923394
641,-40907.041981558374
644,-40873.245277900445
647,-40903.04405777256
650,-40897.67446108203
653,-40913.37471946376
655,-40849.52782416563
658,-40905.797666430655
661,-40794.33581138732
664,-40883.85888145273
666,-40889.84333425847
669,-40801.84718907128
672,-40978.6846955179
675,-40868.82502764229
677,-40840.43896943288
680,-40805.58856627457
683,-40776.18615934602
686,-40743.36825428741
689,-40778.9430922004
691,-40761.39218023551
694,-40745.52542477784
697,-40844.33592959419
700,-40765.928744665085
702,-40752.63929285347
705,-40818.87663628784
708,-40784.59782391148
711,-40853.76068588226
713,-40762.29914274537
716,-40747.43956491823
719,-40734.53475983619
722,-40671.399805627945
724,-40728.110686746586
727,-40626.68403003374
731,-40670.24013952182
733,-40676.76942012279
736,-40630.84149948811
738,-40713.57383120555
741,-40688.62296792158
744,-40641.555950629445
747,-40673.33289846359
749,-40686.926942675505
752,-40685.999814698196
755,-40666.863229077026
758,-40661.56228107227
760,-40777.46768822325
763,-40578.212911749426
766,-40629.509878964935
769,-40735.14281776506
771,-40638.32213830094
774,-40658.752447871
777,-40628.145113767285
779,-40587.827966530305
782,-40626.382309127315
784,-40639.64487721549
787,-40557.61693757762
790,-40560.30532660516
793,-40586.4141856888
796,-40596.580015073305
798,-40521.699871029035
801,-40595.06299751747
804,-40522.98052604353
806,-40512.136753087674
809,-40584.18646615206
812,-40523.97816744679
815,-40635.978692395845
818,-40449.24688418297
820,-40563.78250619759
823,-40543.080549107726
826,-40613.02051645587
829,-40486.02766735008
831,-40572.61740331357
834,-40444.63611493687
837,-40474.94668220122
840,-40555.194289343395
842,-40474.24362448598
845,-40560.39749344743
847,-40513.954549636765
850,-40560.02104725265
853,-40481.08935243271
855,-40481.37815081786
858,-40438.590474939134
861,-40557.897950204235
864,-40443.07859764708
866,-40466.5697553133
869,-40444.18275615343
872,-40446.583396653514
874,-40402.68777517271
877,-40445.84460449404
880,-40471.26629777182
882,-40381.717268242544
885,-40424.56828341612
888,-40404.984448038245
891,-40442.660740247025
894,-40431.646828843426
897,-40396.67371104068
900,-40436.24665823108
902,-40437.669291223516
905,-40424.673192475064
908,-40390.69144244094
911,-40312.99481415726
913,-40474.13652325016
916,-40346.33478102327
919,-40364.09766068311
922,-40392.88273707751
924,-40396.57838795293
927,-40516.36053678161
930,-40380.693571584125
933,-40353.20238087185
936,-40436.73099437719
939,-40527.57554614119
941,-40511.34448397412
944,-40256.77933736185
947,-40414.74362953111
950,-40488.350010882816
952,-40352.26234963949
955,-40359.30861622693
957,-40341.64943718463
961,-40402.00766783177
963,-40400.08128185213
966,-40279.893242703336
969,-40252.226637868545
972,-40373.666989770405
974,-40376.10255582014
977,-40257.243721382
979,-40433.91606989602
982,-40285.86894448991
985,-40490.17894784506
988,-40366.311391111594
991,-40335.15016953771
994,-40334.872796270196
997,-40362.76546000871
999,-40230.27298886035
1002,-40277.78607722259
1004,-40365.13351640189
1007,-40253.27311191891
1010,-40432.11318451383
1012,-40344.263043668456
1015,-40244.20694265861
1017,-40292.57692525086
1020,-40400.04386734847
1023,-40268.150316043444
1026,-40329.557741888835
1028,-40263.49225959021
1031,-40181.779745034524
1034,-40433.47495696157
1037,-40243.600785488845
1040,-40270.11068061661
1042,-40283.52192259302
1045,-40340.07582800329
1048,-40191.39120754501
1050,-40262.70770432535
1053,-40641.34803473114
1056,-40314.274727944896
1059,-40234.59612077956
1062,-40297.839978774326
1065,-40343.34908273142
1067,-40254.903400752504
1070,-40227.610424627244
1073,-40242.61003610723
1075,-40255.0187139383
1078,-40191.772314957416
1081,-40332.02986474771
1084,-40204.41427260133
1086,-40207.10881981918
1089,-40252.02903198059
1092,-40221.68615946937
1095,-40242.69754680498
1098,-40234.12534756623
1100,-40255.46294659726
1103,-40160.04854619081
1106,-40206.217553037604
1109,-40163.45072947187
1111,-40246.535872226326
1114,-40303.77366675509
1117,-40253.396189452644
1120,-40307.811555937675
1122,-40138.11295122496
1125,-40164.528546658374
1128,-40230.64644541627
1131,-40286.59925429028
1133,-40273.07972192553
1136,-40132.11467727205
1139,-40187.59550877318
1141,-40159.48945676533
1144,-40095.25355364348
1147,-40096.21280718483
1150,-40122.86235186486
1152,-40395.64949900484
1155,-40264.46774942725
1158,-40140.29535658032
1160,-40214.79762483315
1163,-40069.11199510743
1166,-40225.60973006238
1169,-40151.11072431637
1171,-40292.734346794554
1174,-40211.338360456066
1176,-40325.24777986871
1179,-40144.09053930047
1182,-40125.64148963676
1184,-40160.15900164799
1187,-40186.843142371814
1190,-40157.500236887834
1193,-40168.57868480358
1196,-40107.86018009725
1198,-40083.145823131934
1201,-40188.20716532177
1204,-40154.30743240481
1207,-40186.484854046226
1209,-40096.498723020195
1212,-40065.015845242764
1215,-40094.70595097412
1218,-40088.72075281209
1221,-40088.8937005917
1224,-40178.979645897634
1227,-40085.35773875958
1230,-40053.96120447492
1232,-40037.897377271685
1235,-40101.38788166844
1238,-40076.919303848714
1241,-40216.530949878696
1243,-40097.719586843974
1246,-40046.20987170269
1249,-40090.848659683994
1252,-40088.30179638932
1254,-40119.09058340095
1257,-40213.07852745139
1260,-40174.78933027224
1263,-40116.369160401126
1266,-40054.775357215665
1269,-40093.125159898715
1271,-40088.48535632794
1274,-40087.173741327155
1277,-40364.55997754853
1279,-40338.539536339085
1282,-40152.373898324346
1285,-40068.07791815198
1287,-40016.04064027119
1290,-40144.98275563024
1293,-40089.80361671156
1295,-40088.07758246528
1298,-40021.86718408377
1301,-40060.076946290515
1304,-39959.29341979047
1306,-40028.342943223026
1309,-39991.9934367902
1312,-40072.794475937895
1314,-40226.73185052051
1317,-40036.52601900953
1320,-40006.99952121814
1322,-39992.082664893234
1325,-40091.30974778534
1327,-40031.02705044819
1331,-40023.06240011435
1333,-39962.302862533266
1336,-40051.968885642695
