RuntimeInSeconds,ELBO
0,-46407.807363264496
3,-45941.33467431704
6,-45538.284392619506
9,-45404.45122442968
11,-45155.77319914651
14,-45200.834406308735
17,-45023.052581278775
20,-44961.65158475351
22,-44840.48033838319
25,-44870.914918124
28,-44627.783607027835
31,-44673.48813069257
33,-44619.17309812574
36,-44588.98703481277
39,-44484.50935606655
41,-44480.961120829634
44,-44463.03428793631
47,-44528.234571980975
50,-44394.843107596294
52,-44285.488219773935
55,-44356.14207173026
58,-44328.02345393389
60,-44238.01172815757
63,-44230.312419413916
66,-44175.69233507072
69,-44193.993152728755
71,-44258.882858501296
74,-44099.9393296101
76,-44225.87614551663
79,-44096.41811306313
82,-44076.94515298607
85,-44051.9450652695
87,-44014.90292824032
90,-44036.67757017103
93,-44024.29364760521
95,-43992.319107625226
98,-44093.811744492006
101,-43929.980069974175
103,-44015.899353845554
106,-43877.772783945984
109,-43825.444274726375
111,-43960.300701250184
114,-43828.573730308
117,-43884.81847440782
120,-43853.37696752434
122,-43706.73544591056
125,-43936.737849461795
128,-43836.38691199241
131,-43751.152626996445
134,-43719.184610009564
137,-43783.801320592866
140,-43723.141272902525
142,-43711.62567625032
145,-43680.12906227474
148,-43687.570958967044
151,-43716.08603222053
154,-43637.847130404276
156,-43697.26351679161
159,-43537.681695826424
162,-43607.937415942324
165,-43612.04353733315
167,-43566.235756681475
170,-43593.15539296669
173,-43559.68180019075
176,-43533.70119478111
178,-43493.31517898975
181,-43485.04476652334
184,-43514.58560886101
187,-43493.872667567106
189,-43468.46559509302
192,-43454.30764199687
195,-43381.67988215392
198,-43380.9939188711
201,-43359.084660653374
204,-43275.294960034655
206,-43275.68572614007
209,-43205.520563675556
212,-43159.18169259501
215,-43219.4647427763
218,-43171.34892793405
221,-43241.78574604489
224,-43107.4720098461
227,-43133.17601034895
229,-43111.40334691675
232,-43060.82099622883
235,-42955.94609699515
238,-43009.978099178246
241,-43090.74609024629
244,-42979.61927040941
247,-42976.46749160905
249,-42938.21870992473
252,-42979.53210249715
255,-42876.36632825722
258,-42956.42988037907
261,-42858.377297703206
264,-42824.05449948689
267,-42792.853789664325
270,-42836.75891705378
272,-42798.82988935262
275,-42774.611155807965
278,-42689.10149297399
281,-42684.956501682034
284,-42556.690973273224
286,-42647.81274799876
289,-42609.235682765706
292,-42603.62651951386
295,-42552.08489533844
298,-42649.29234006434
301,-42427.29664105043
303,-42555.84827786518
306,-42369.91154863294
309,-42523.19466635865
312,-42334.28221144266
315,-42462.16087880555
318,-42454.894089762616
320,-42438.24017269037
323,-42445.754333209115
326,-42412.32983502159
330,-42239.42907638132
332,-42277.758709717506
335,-42324.472771687084
338,-42304.001645573335
341,-42296.93319133282
344,-42114.5966756007
347,-42230.36205932303
349,-42253.462246564995
353,-42223.77248438587
355,-42204.87897218853
358,-42053.06036557465
361,-42027.96899027067
363,-42095.92142927424
366,-42093.78195609571
369,-42089.47052143538
371,-42016.50220508872
374,-42169.597345148584
377,-41945.442871865256
380,-41900.24271672067
382,-41972.72303591789
385,-41949.391323062184
388,-41995.59477260717
391,-41922.08130956172
393,-41906.1846986902
396,-41997.22746220048
399,-41849.607009506
402,-41848.852728256024
404,-41824.9889096951
407,-41846.387385035436
410,-41828.605617691515
413,-41779.44370995824
416,-41751.09395927903
419,-41801.6222865007
421,-41801.91844148084
424,-41747.972086417205
427,-41646.74804032403
430,-41721.727108177314
433,-41722.606657112854
436,-41597.535579066236
438,-41696.53214236773
441,-41718.07390384029
444,-41764.54326162846
447,-41530.42131138665
450,-41546.58978964648
453,-41613.32793866593
455,-41550.20334138765
458,-41626.84596549404
461,-41563.21918033734
464,-41570.109315925845
466,-41585.67970787596
470,-41610.29939097693
472,-41488.77211167199
475,-41495.185777226405
478,-41477.80655626039
481,-41532.09108936996
484,-41515.28859243643
486,-41372.6616579506
489,-41546.32434714397
492,-41461.327049549014
494,-41353.35564653634
497,-41479.64471534532
500,-41412.737332813726
503,-41447.629256361965
506,-41375.09955051682
508,-41214.13960295565
511,-41347.759530270814
514,-41389.474371032375
517,-41334.67730195518
519,-41326.48376347263
522,-41285.70607713061
525,-41357.282064227744
528,-41276.59788802046
530,-41230.25760685444
533,-41260.167318485124
536,-41224.82231314593
539,-41140.35565799079
542,-41222.67610213126
545,-41265.909669306755
548,-41139.492055563926
551,-41217.8957834416
553,-41178.21143146682
556,-41156.66084213535
559,-41159.35973126036
562,-41085.75329883844
564,-41114.758800225805
568,-41064.861186317
570,-41107.38563101064
573,-41139.15947402024
575,-41190.072142382756
578,-41101.79828142468
581,-41045.85488816671
583,-41126.97252555675
586,-41125.33252151344
589,-41114.80303611357
592,-41019.46907055893
594,-41073.80085171249
597,-41047.73580444534
601,-41008.396389937254
604,-41002.285590588224
606,-41079.16638447916
609,-41030.36381516476
612,-40966.99505806982
614,-40976.53176052794
617,-41079.652386883674
620,-40965.36252500437
623,-40974.82563814119
625,-40933.71181720945
628,-40942.63414754122
631,-40909.26605081053
634,-40996.637294164866
637,-40944.37645540746
639,-40928.24756862738
642,-40890.906303939744
645,-40781.29426077672
648,-40881.25384980658
651,-40924.61907586211
654,-40891.01497335297
656,-40885.46663723925
659,-40896.034252002166
662,-40850.6413439721
665,-40898.643687564094
668,-40922.01179781892
670,-40812.140326049324
673,-40879.2351329092
676,-40822.50309313891
679,-40802.380196248225
682,-40850.860937718884
685,-40814.39575335892
688,-40774.81236160413
691,-40747.80363978821
694,-40731.29667896259
696,-40854.55584041589
699,-40749.54736615239
702,-40657.8584753601
705,-40743.66746273621
708,-40747.44580287837
711,-40906.243157090554
714,-40699.18586873928
717,-40745.0177685829
720,-40736.23998121866
723,-40695.606559192405
726,-40854.18744840195
728,-40620.12867583723
731,-40731.05127714172
734,-40743.48026861666
736,-40700.781164240274
739,-40624.29840726824
742,-40790.25704784228
745,-40677.91072056095
748,-40691.57315696104
750,-40817.43965882679
753,-40654.37331313556
756,-40603.9039862982
759,-40701.07134227156
761,-40615.21862716655
764,-40609.9987931392
767,-40611.018723333946
770,-40756.29558708635
772,-40550.079724924464
775,-40749.321857371004
778,-40601.72697807553
781,-40654.70433293892
784,-40657.94774835735
786,-40617.03888906373
789,-40657.70948788236
792,-40538.0555399061
795,-40647.96101353184
798,-40578.670705715376
801,-40640.57377492299
803,-40588.70048117223
806,-40756.53213150134
809,-40542.51218716318
812,-40606.77327558138
815,-40549.17812539497
817,-40528.357253077615
820,-40515.40067973806
823,-40486.11972710626
826,-40545.57498320365
829,-40474.25579051441
831,-40583.70729716661
834,-40539.1290206532
837,-40625.808526460845
840,-40490.398928817114
842,-40531.21603091549
845,-40433.86334000663
848,-40506.994969960564
851,-40492.22307467475
853,-40494.98995578225
856,-40484.090570977525
859,-40515.373282341534
862,-40437.59679171399
864,-40516.853114663
868,-40409.41689732968
871,-40426.2708898693
873,-40439.0313885378
876,-40497.9811599747
880,-40430.168858108846
882,-40479.766433852245
885,-40424.20033695134
888,-40445.60679356903
891,-40441.35012879351
893,-40579.47286538787
896,-40364.0745909111
899,-40417.03809310407
902,-40458.786243655886
905,-40440.22423697241
907,-40407.26443292912
910,-40414.25201026452
913,-40363.949181279095
916,-40386.19010119516
918,-40486.752162184996
921,-40444.48493149882
924,-40532.63463170173
927,-40611.9314929638
929,-40390.47747949004
932,-40244.480281881835
935,-40448.088002575794
938,-40342.94726018606
941,-40403.59113867355
943,-40397.422397083814
947,-40380.700369971375
949,-40279.13846296456
952,-40366.35243049518
955,-40617.45404055444
959,-40318.10640224662
961,-40353.96388971881
964,-40402.254400606245
967,-40454.958964273224
970,-40336.30622301321
973,-40462.699523287825
975,-40398.13055280297
978,-40426.55119353115
981,-40333.913679059915
984,-40326.370056664375
986,-40368.575037199844
989,-40320.023242697804
992,-40240.46612211241
995,-40294.290284039715
998,-40304.62135309069
1001,-40373.16244815496
1003,-40283.065565921526
1006,-40385.98101663179
1009,-40311.44919705036
1012,-40339.596637275055
1014,-40339.74418507958
1017,-40355.29492768484
1020,-40344.05319609369
1022,-40325.91115626617
1025,-40338.85349275783
1028,-40286.900075435944
1030,-40224.117535115896
1033,-40305.81300081991
1036,-40334.71936491086
1039,-40304.510341726156
1041,-40213.310778851795
1044,-40307.05454495079
1047,-40226.883912998455
1050,-40295.90853320414
1052,-40337.64854906098
1055,-40205.408877576374
1058,-40253.79117253617
1061,-40256.4959867356
1064,-40252.009386443904
1066,-40320.946141669265
1070,-40448.969212278615
1072,-40346.4006278544
1075,-40295.05541064383
1078,-40109.0523781089
1081,-40166.78833415914
1083,-40169.9650916879
1086,-40257.59999882618
1089,-40363.56131622025
1092,-40309.77818091343
1094,-40191.982206743975
1097,-40217.44858315939
1100,-40153.371095522576
1103,-40359.23689287261
1106,-40373.09892155786
1109,-40208.29891123859
1111,-40228.26354844675
1114,-40368.76560513889
1117,-40264.538384626576
1120,-40189.35746387454
1123,-40138.86001770534
1126,-40239.72071375999
1129,-40238.75014166008
1131,-40152.65189463333
1133,-40243.95018903405
1137,-40112.311245618956
1139,-40152.862857970125
1142,-40178.81668587935
1144,-40093.58004465915
1147,-40186.5467644733
1150,-40186.03723358176
1153,-40151.05684761677
1156,-40178.16125085076
1158,-40155.79043908514
1161,-40158.51327425477
1164,-40124.59486216657
1167,-40156.664466965914
1170,-40207.59613268866
