RuntimeInSeconds,ELBO
0,-46313.15894173214
3,-46291.36083025411
5,-45783.81052848464
8,-45530.7975012011
11,-45323.87871376883
13,-45245.6446938488
16,-45281.89886285872
19,-44998.581615095594
22,-44888.97790943932
24,-44821.38275742677
27,-44786.99346062035
30,-44768.70140666665
33,-44608.713612873435
35,-44655.89605777293
38,-44555.401424066236
41,-44511.364615344355
43,-44446.370588106874
46,-44446.291539881684
49,-44340.87427294503
52,-44400.06436804277
55,-44314.483031992495
57,-44293.51643618881
60,-44327.94520114063
63,-44225.22187926639
65,-44299.080604658986
68,-44306.220898715954
71,-44145.33770557074
74,-44089.873979742086
77,-44138.581198475826
79,-44152.62711781079
82,-44154.90995970336
85,-44111.654410108924
88,-44013.912084302305
90,-44097.25134658665
93,-43983.20129816947
96,-43984.588399775384
99,-43902.10387955184
101,-43997.82369099954
104,-43955.47446111259
107,-43890.307944081724
109,-43883.07365459401
112,-43998.39926977533
115,-43830.48975665441
117,-43919.600796643084
120,-43843.647916434995
123,-43760.63544726888
126,-43755.25893663883
128,-43733.886628218446
131,-43821.57977670412
133,-43780.896539397596
136,-43793.245601109185
139,-43743.06554039015
142,-43758.249335455366
144,-43764.3310332691
147,-43700.68914479226
150,-43658.55239829666
153,-43602.360181727665
155,-43676.10971774272
158,-43623.071332876454
161,-43661.855870356485
164,-43675.444638212175
166,-43564.49116665
169,-43579.738213458506
172,-43570.81205292361
174,-43545.6732487894
177,-43487.873794543106
180,-43470.18335735376
183,-43449.57772387479
186,-43394.21008797925
189,-43396.867185600015
191,-43433.093273520244
194,-43373.16363572477
197,-43300.40663194921
199,-43379.80849697276
202,-43247.8073997707
204,-43313.005653480424
207,-43267.95427287621
210,-43369.698740109634
213,-43307.77899289457
215,-43227.80735875076
218,-43257.164565626095
221,-43125.332206908344
224,-43215.871263450885
226,-43238.98596442821
229,-43136.23612189584
232,-42983.24078254212
234,-43131.454473795835
237,-43016.51916423062
240,-43044.885248852544
243,-42918.45845639817
246,-42902.83700948842
248,-43040.53573616765
251,-42984.10680050873
254,-42922.9932458635
256,-42882.776213524776
259,-42857.380788145085
262,-42777.45604896033
265,-42902.39100169403
267,-42881.29297616547
270,-42838.65977919936
273,-42788.882901903155
276,-42726.64713956468
278,-42748.567302475225
281,-42742.59066867073
284,-42746.496843403926
287,-42658.779592859406
289,-42685.715141933935
292,-42641.277559782146
295,-42720.39387639259
298,-42567.75703499176
300,-42566.819006148195
303,-42521.52159027073
306,-42520.426732887136
309,-42399.51519520278
311,-42568.372413465375
314,-42535.17197042183
317,-42439.75508071302
319,-42344.503198690945
322,-42367.698375414584
325,-42348.104190707076
328,-42422.335114234804
