RuntimeInSeconds,ELBO
0,-47223.05131351578
2,-47196.16501158283
4,-47062.48699586057
6,-47116.44145603399
9,-46563.43146853797
12,-46315.801541641886
14,-46044.90863766583
17,-45833.99978782594
20,-45606.55192399885
22,-45281.62522566681
25,-45129.08082278399
28,-45092.03696184005
31,-45074.61275010848
33,-45019.36754924235
36,-44855.96583260798
39,-44860.569894164735
41,-44778.972524664
44,-44730.35120388213
47,-44581.6399328197
50,-44547.166854840645
52,-44503.38931591439
55,-44444.47026861185
58,-44408.66791277503
61,-44409.06668143522
63,-44328.292494251196
66,-44360.83084532046
69,-44367.70364773527
71,-44167.79447255939
74,-44196.07221726571
77,-44293.7299808934
80,-44241.8267908352
82,-44112.88419291851
85,-44218.79378560676
88,-44122.87071502541
91,-44006.32570542522
94,-44106.58179750771
96,-44150.11967336058
99,-44074.84664870776
102,-44037.36444038638
105,-43935.30132452123
108,-44072.73799624531
110,-44046.80786987429
113,-43972.117379149204
116,-43927.14910936233
119,-43929.00310465672
121,-43864.91411731494
124,-43998.65369403714
127,-43836.703942486594
130,-43837.33442842928
132,-43825.1081826876
135,-43868.91076000186
138,-43725.39364293808
140,-43840.2312860011
143,-43927.997120887405
146,-43629.21336440124
149,-43816.25523645873
151,-43745.60775048803
154,-43750.33586220053
157,-43697.60588166102
159,-43774.99712964165
162,-43644.3741374447
165,-43681.281385569644
167,-43591.93060503048
170,-43612.339534207094
173,-43624.22872556449
176,-43502.50352767913
178,-43527.44536412828
181,-43616.58907375197
184,-43535.70782527166
186,-43485.97320636853
189,-43579.709765588756
192,-43469.73278658363
194,-43410.83892284133
197,-43394.68688293278
200,-43475.60194414475
203,-43384.29769155616
205,-43388.147055773166
208,-43393.27334911168
211,-43351.53887107072
213,-43288.83052588669
216,-43280.51676830007
219,-43307.94872362358
222,-43343.938400365354
224,-43256.91950023511
227,-43184.207491710426
230,-43258.05123557513
233,-43209.688427502464
235,-43173.387928090626
238,-43155.05997196973
241,-43164.771349952294
244,-43081.518911518644
246,-43037.54546490855
249,-43108.813576470966
252,-42933.592126883814
255,-43082.071368571844
258,-43024.909125176375
260,-42963.97846145669
263,-42991.68154573995
266,-42893.19011740434
268,-42945.83785322556
271,-42786.96052325255
274,-42931.0822748023
277,-42693.31530420165
279,-42887.96869308641
282,-42852.68754769158
285,-42848.276831491654
288,-42744.16371008544
290,-42771.39708795464
293,-42663.864149134635
296,-42654.14343258444
299,-42702.32782163998
301,-42590.44793674702
304,-42515.53028029595
307,-42627.75029006931
310,-42651.73431775755
313,-42627.08124015789
315,-42511.89612258305
318,-42590.94902971903
321,-42465.53934521088
323,-42479.1623586511
326,-42394.077731519355
329,-42371.10700558877
332,-42416.72778251494
