RuntimeInSeconds,ELBO
0,-46551.96454286852
3,-45944.86113499712
6,-45574.643347344885
8,-45469.11711272653
11,-45292.95651426869
14,-44975.77948694158
17,-45054.9775800076
19,-44894.15221993514
22,-44971.78361521297
25,-44733.78026839832
27,-44553.84313189974
30,-44586.73518459338
33,-44682.00547792019
36,-44556.77963386679
38,-44573.553826356474
41,-44510.852698116614
44,-44450.07225372835
47,-44420.19489219119
49,-44389.75270835192
52,-44271.7688855474
55,-44281.147019695614
57,-44277.742704401906
60,-44222.17229337896
62,-44228.27479951557
65,-44281.02482296171
67,-44146.010570866245
70,-44283.26093957394
73,-44143.048732834286
75,-44118.54535606334
78,-44039.830248157545
81,-44074.993047402175
84,-44032.4055285144
86,-44043.47586740195
89,-44027.07420598698
92,-44035.89996614894
94,-44021.09055617147
97,-43949.278935305236
100,-43912.35468448209
103,-43826.2298669723
105,-43973.42571443856
108,-43926.28454641109
111,-43869.85305613667
114,-43904.15884617072
116,-43872.11896826122
119,-43902.68682243074
121,-43843.83311761506
124,-43863.07295481089
127,-43784.31967827323
129,-43859.78708293829
132,-43732.57530463369
134,-43847.343983396626
137,-43774.93127812932
140,-43815.40594108567
142,-43715.1206313463
145,-43678.96860725368
147,-43652.90481912013
150,-43681.26370913467
153,-43715.554329167506
156,-43618.82220641198
158,-43679.0497974175
161,-43735.15853049681
164,-43572.85984301937
167,-43634.83554991534
169,-43489.63363177135
172,-43537.10073833859
174,-43479.94523353
177,-43532.16019076498
179,-43441.52289386417
182,-43468.77907440684
185,-43458.28426895037
187,-43422.78425828721
190,-43406.03282750954
193,-43502.450979016256
196,-43370.27682345356
198,-43385.45361766466
201,-43301.690750072514
204,-43353.28787414288
206,-43395.30318516495
209,-43195.48367624285
212,-43228.79758988708
215,-43235.57685976189
217,-43204.995114347206
220,-43166.808152137295
223,-43154.65529745119
226,-43063.3243518074
229,-43139.54505647119
231,-43112.00270149949
234,-43124.776656851645
237,-43072.82300598991
239,-42942.97751692355
242,-43040.62371873031
245,-42990.74844309554
247,-42918.558599734584
250,-42870.25435986549
252,-43063.21500611572
255,-42955.30611721126
258,-42853.43081538618
260,-42854.737375888646
263,-42820.72057260584
266,-42826.16356594033
269,-42785.25614423875
271,-42775.0870407788
274,-42828.208728082434
277,-42803.27974448208
280,-42714.645028428335
283,-42733.833528210016
285,-42665.73742715947
288,-42592.241874812615
290,-42677.012931635094
293,-42636.855957510445
296,-42593.97724149985
298,-42563.55625744669
301,-42583.261857456026
303,-42436.15461759492
306,-42490.217831890826
309,-42530.22847750722
312,-42534.38666211012
315,-42365.83621559995
317,-42509.73746458433
320,-42359.98885148103
322,-42321.207845788624
325,-42337.83061832639
328,-42307.35482840808
330,-42271.95580312915
333,-42314.70909051708
336,-42299.027088037365
338,-42312.6897977265
341,-42239.401049514614
344,-42202.90589409611
347,-42262.29497378585
350,-42243.30646289038
352,-42139.30104000128
355,-42046.67642754089
358,-42049.39760643798
360,-42074.2467909091
363,-42096.240891410394
366,-42089.74772838732
369,-41999.51723125525
372,-42132.42871255279
375,-42030.43853557301
377,-41928.33735083143
380,-41958.691922698315
383,-41947.27681362542
386,-41966.89602520071
388,-41997.8506611032
391,-41805.64637162752
394,-41987.925309670216
396,-41889.33939082733
399,-41896.636997322654
401,-41810.64484428571
404,-41870.11338447902
407,-41836.57230105485
410,-41728.120560571304
412,-41759.28650635012
415,-41743.03010587478
418,-41810.17989391132
421,-41717.21356879862
424,-41694.47054262686
427,-41789.07780057739
429,-41719.37676183894
432,-41770.1902543371
435,-41698.69402295477
438,-41778.82208825229
440,-41614.88034441296
443,-41664.40465306121
446,-41735.11621287723
449,-41628.44299538087
452,-41631.99326680145
454,-41628.644718899064
457,-41623.63428305391
460,-41605.78813329247
463,-41623.24291416564
466,-41527.90188123035
468,-41483.97796230971
471,-41527.69552681654
474,-41527.47516608367
476,-41457.05310191127
479,-41665.01380158022
482,-41451.6926622794
484,-41581.67902472934
487,-41417.800301147596
490,-41497.23436525815
493,-41447.83397308678
496,-41387.38366141197
499,-41252.52198103838
501,-41429.309899679945
504,-41449.52602732476
507,-41398.45149842564
510,-41506.83439598471
512,-41420.58162029475
515,-41264.854704687044
518,-41315.38881035609
521,-41286.391785862106
524,-41221.00114969431
527,-41301.782842701934
529,-41211.489810966326
532,-41380.61975322155
535,-41223.31068875919
537,-41235.69341916023
540,-41198.453331668265
543,-41133.63200797201
545,-41220.26901376441
548,-41245.430181816024
551,-41270.04611106742
554,-41176.6384842173
556,-41157.51574960399
559,-41134.7316600534
562,-41141.73577620188
564,-41044.67251369475
567,-41053.053723463425
570,-41127.41188420782
573,-41156.94726019765
575,-41185.96001030343
578,-41201.1032260851
581,-41051.04517268317
584,-41089.42119203126
587,-41102.54490806246
590,-41027.72757667323
593,-40988.36108165564
595,-41081.857389268655
598,-41006.27713027785
601,-41184.525053367775
603,-40975.32824716838
606,-41001.167033683036
608,-41159.21975593585
612,-41154.68839176471
614,-41066.76026088881
617,-41002.39689711681
620,-40986.04543259939
623,-40950.86926209047
625,-41089.571780251375
628,-40927.076804095486
631,-41058.713996934704
634,-41014.01239531107
636,-41008.9822149803
639,-40906.79443018319
642,-40856.495690924756
645,-40868.18719558903
648,-40902.014262139564
651,-40902.15988671813
654,-40889.044012759536
657,-40844.68091013742
660,-40877.16572460009
662,-40799.7454190492
665,-40815.224548046324
668,-40859.6277804892
671,-40791.49602888707
673,-40785.59531358245
676,-40896.51653743464
679,-40770.19841273736
681,-40896.47251033749
684,-40788.995835204005
687,-40842.6750000459
689,-40839.01715225572
692,-40798.68370918202
695,-40747.943174633874
698,-40802.012212702706
700,-40744.41727282489
703,-40613.2483030142
706,-40814.09805835706
709,-40726.35016596587
711,-40739.854206208445
714,-40727.97165103193
717,-40776.98572138901
720,-40666.81912421084
722,-40763.51458302757
725,-40685.749101776506
728,-40697.106694032176
731,-40762.33618204189
734,-40744.021619777785
736,-40566.81675195581
739,-40717.10969532163
742,-40670.32000297315
744,-40658.75600855542
747,-40725.64913918607
750,-40722.62124145196
753,-40710.19825077472
755,-40660.31966932396
758,-40685.87843400165
761,-40630.93629295369
764,-40696.0116253351
767,-40565.86171338967
769,-40612.688103120294
772,-40642.27115860643
775,-40593.170159268855
777,-40641.99906246093
780,-40656.93462627097
783,-40652.7700870776
786,-40625.85082026242
788,-40613.7658597181
791,-40582.17022273367
794,-40554.628140096574
797,-40560.276444077725
800,-40501.808309454354
802,-40698.87944693843
805,-40558.67492155558
808,-40492.851326496515
811,-40586.830841459676
813,-40569.28473630076
816,-40539.08966262469
819,-40561.41445455213
822,-40589.69869216648
824,-40532.020383989206
827,-40602.97071005457
830,-40438.124639994305
832,-40534.93529487331
835,-40422.95398163142
838,-40560.968116599404
841,-40499.07280202246
843,-40528.038848371325
846,-40501.00527906921
849,-40600.76722321001
851,-40522.33753146357
854,-40577.21777785435
856,-40473.78763634669
859,-40456.86895527044
862,-40437.26991763643
865,-40512.18989707198
868,-40499.91527048307
870,-40494.48219215906
873,-40448.482649231846
876,-40491.27563846409
878,-40390.0883188852
881,-40471.84874149868
884,-40516.48888884107
887,-40495.49550394275
889,-40445.95963994248
892,-40511.864692036535
895,-40382.51262063672
897,-40473.0129212614
900,-40421.6157906109
902,-40425.39957523316
905,-40382.711952612386
908,-40522.47392488597
910,-40462.76980425044
913,-40362.03651844426
916,-40463.77318793026
918,-40455.18416492012
921,-40392.42494995521
924,-40377.21769012041
927,-40368.502072054944
930,-40474.11299676097
932,-40380.68694318445
935,-40401.59235861558
938,-40413.87912900733
940,-40292.035137790794
943,-40331.91561302892
946,-40669.66746167177
949,-40442.01689671131
952,-40417.269736028415
954,-40426.5533825344
957,-40557.71805258882
960,-40315.74699591351
963,-40299.65719918895
965,-40421.86529363247
968,-40291.72796941713
971,-40334.30768304254
973,-40283.997652442784
976,-40353.667544154756
979,-40370.59963992807
982,-40343.35430829242
984,-40272.42650102828
986,-40390.99377340659
989,-40282.376007988554
992,-40250.040495770045
995,-40267.973073039866
997,-40350.079024320556
1000,-40280.47974160364
1003,-40350.81279038954
1006,-40332.3014908611
1009,-40357.9258095659
1012,-40307.25861829945
1014,-40294.25075214921
1017,-40272.39026351622
1020,-40179.79897611981
1022,-40449.2443790853
1025,-40356.9174009407
1028,-40342.38961671032
1030,-40410.15377788798
1033,-40302.29971345532
1036,-40263.56393013484
1038,-40218.59264383538
1041,-40181.12651757665
1044,-40290.833346878455
1046,-40220.75128753953
1049,-40164.41068825213
1051,-40278.59498883456
1054,-40217.510802480094
1057,-40267.41205071428
1060,-40277.78614401394
1062,-40189.23472529355
1065,-40219.74164143194
1068,-40197.66780992635
1071,-40284.358537123684
1073,-40278.234633667016
1076,-40236.17369505405
1079,-40270.44722346093
1081,-40243.0156183525
1084,-40157.630204513815
1087,-40254.75031832713
1090,-40254.97493390327
1092,-40132.655866009445
1095,-40305.51039374962
1098,-40155.48477158644
1101,-40193.96031409998
1103,-40331.63262070128
1106,-40223.051742291915
1109,-40096.090911524996
1112,-40151.48476990299
1114,-40132.482339453105
1117,-40119.09910341185
1120,-40190.812539264116
1123,-40126.91748335536
1126,-40124.827775048005
1128,-40257.39894550973
1131,-40252.23321803065
1134,-40170.66156574285
1136,-40205.34151041548
1139,-40122.71360322364
1142,-40099.61026775129
1144,-40151.736574269264
1147,-40228.261405353325
1150,-40148.94413435076
1153,-40193.13158486675
1155,-40075.29605107283
1158,-40134.64073434722
1161,-40226.06528893186
1163,-40158.645217240366
1166,-40137.68007702272
1169,-40225.65148265504
1171,-40127.51026295049
1174,-40226.62501809629
1177,-40114.84648643452
1180,-40108.68522119272
1183,-40168.83197359704
1185,-40061.66632168284
1188,-40080.81295341611
1191,-40208.36281884497
1194,-40165.71012278342
1196,-40096.66278814122
1199,-40266.97874619076
1201,-40233.50479440441
1204,-40161.264734588614
1207,-40227.791895743925
1210,-40101.25186784753
1212,-40062.59376757417
1215,-40073.13207951785
1218,-40372.84944066342
1221,-40247.933899135154
1223,-40039.328987059016
1226,-40124.53289865746
1229,-40099.86941555479
1231,-40208.416793943514
1234,-40113.47694409299
1237,-40246.523931518765
1240,-40201.35463344066
1242,-40108.47701572823
1245,-40133.83006649076
1247,-40232.47631061075
1250,-40199.71912986977
1253,-40145.87063797677
1255,-40174.92706581121
1258,-40187.749189538066
1260,-40098.49927096138
1263,-40130.269752453336
1266,-40233.605852698514
1268,-40011.458227731484
1271,-40135.101873626765
1274,-40121.268812011265
1276,-40054.7785670678
1279,-40051.55785092342
1281,-40124.27811468391
1284,-40156.51468394036
