RuntimeInSeconds,ELBO
0,-47313.47728619734
1,-47354.028661792865
3,-47323.61800581828
4,-47124.266165189256
5,-46872.48669376637
7,-46925.02704227297
8,-46800.94773348229
10,-46802.25924853883
11,-46626.51024076759
12,-46525.01182525045
14,-46757.07874014287
15,-46401.574305765454
17,-46333.03939931925
18,-46238.321222968945
20,-46184.46945985101
21,-46071.49977947795
22,-46248.177578956514
24,-46096.94924394704
25,-46054.098272952346
27,-45976.70776260185
28,-46029.00344349762
29,-45706.929218120094
31,-45828.12190405338
32,-45790.744397418894
34,-45590.940658173466
35,-45767.730641216105
37,-45445.88482797274
38,-45498.85885945509
39,-45640.49934903981
41,-45541.38192754801
42,-45607.03713105738
43,-45326.07888244715
45,-45475.378793720585
46,-45627.34941730584
47,-45325.17738242957
49,-45241.973251693715
50,-45248.64706781446
52,-45289.03586643834
53,-45201.492254265424
54,-45063.79018580242
55,-45402.987833206265
57,-45128.863475114864
58,-45178.463530899004
59,-45194.14804257685
61,-45080.39099835902
62,-45280.44856599946
63,-45103.99121794107
65,-45016.68876309559
66,-45128.513928983346
68,-45151.964864459944
69,-44967.11955271576
70,-45017.66622714722
71,-44989.81019491026
73,-45106.018162328015
74,-44980.37913928211
75,-44841.93996500664
77,-44824.756575834646
78,-44980.88499857734
79,-44860.9065191217
81,-44930.833404422185
82,-44855.19172295517
83,-44715.690563496726
85,-44800.421364478745
86,-44773.99133862754
87,-44881.04449964144
89,-44849.47302547939
90,-44883.12367627241
91,-44757.61330563413
93,-44750.533840552045
94,-44675.018604684614
95,-44780.120057193875
97,-44641.495004788
98,-44640.94956776424
99,-44678.44798173032
100,-44600.155030095666
102,-44764.940085774535
103,-44719.42990908777
104,-44676.40615454982
106,-44650.44880204666
107,-44592.11043678499
109,-44663.47909951744
110,-44646.64061675482
111,-44637.77806569752
113,-44489.04310657509
114,-44559.7776061631
115,-44625.39335721106
116,-44540.30852073434
118,-44580.27646499532
119,-44518.504733446745
120,-44641.77039058916
122,-44525.84023798823
123,-44450.6138727271
124,-44587.49522803645
126,-44506.12172685535
127,-44596.588435106336
128,-44611.11872575702
130,-44447.30696903908
131,-44650.488365533674
132,-44581.59355485971
134,-44581.91217031286
135,-44555.547492229445
136,-44575.61363162355
138,-44475.02700284463
139,-44459.94880719765
140,-44482.59358307958
141,-44333.39708074243
143,-44468.99720008686
144,-44518.54450438832
145,-44484.44271506144
147,-44363.197835523184
148,-44471.510574658125
149,-44391.51229187829
151,-44360.56070234083
152,-44342.25456551834
153,-44404.283396620354
155,-44385.48601260511
156,-44426.26775331885
157,-44453.345876999905
159,-44405.22378529054
160,-44335.98401625808
161,-44476.16683001796
163,-44450.93475656497
164,-44366.68963839613
166,-44364.554898165356
167,-44283.59546844219
168,-44303.58548821699
169,-44317.697226962635
171,-44219.34247855148
172,-44551.68542493512
173,-44309.38608974887
175,-44278.85116174379
176,-44256.16920403892
177,-44318.148844838375
179,-44312.878738102576
180,-44287.397222259504
181,-44319.785226433814
183,-44315.591592543664
184,-44235.34149171142
185,-44336.29569190978
187,-44249.823871147
188,-44193.75553544923
189,-44265.59819345143
191,-44235.67948157715
192,-44285.32502446818
193,-44382.82147997012
195,-44231.37510987762
196,-44206.72451118426
197,-44229.69316667174
199,-44212.251267415995
200,-44217.82659426594
201,-44157.50820131479
203,-44297.51301122833
204,-44260.622634495856
205,-44267.75640213646
207,-44188.69723304869
208,-44187.26446854094
209,-44140.91931791778
211,-44191.12405275766
212,-44248.67080801488
213,-44056.4351042551
214,-44169.45497988209
216,-44209.614119567545
217,-44157.71536063874
218,-44235.22994635258
220,-44228.307369505776
221,-44273.03918086574
222,-44177.60232105265
224,-44114.445026451605
225,-44127.686441847734
226,-44290.52060103523
228,-44227.888069686574
229,-44157.30020321749
230,-44085.660891932195
232,-44158.633464543076
233,-44123.40761440922
234,-44098.402789671556
235,-44058.28767586847
237,-44075.752297596664
238,-44105.42966628772
239,-44064.08897003026
241,-44129.556529938156
242,-44125.389926387004
243,-44175.30058600855
