RuntimeInSeconds,ELBO
0,-47329.8650786002
1,-47118.04303312554
3,-47039.05088472333
4,-47147.29491865437
6,-47012.90423608409
7,-46938.715410217614
9,-46882.77487153776
10,-46805.9051779625
11,-46863.3512247626
13,-46428.766222571016
14,-46721.1827711931
15,-46456.20339724132
17,-46173.787829731686
18,-46290.44856876931
20,-46319.539031561806
21,-46138.510533990986
22,-46035.47972902247
24,-46291.24061013328
25,-45919.86132936641
26,-45974.865656282185
28,-46093.91064104603
29,-45966.916732357466
30,-45702.53403807146
32,-45754.43303304386
33,-45586.040720265446
35,-45792.787928148675
36,-45785.543135643435
37,-45512.52007224205
39,-45719.99432632584
40,-45358.932914301535
41,-45505.94165122981
43,-45502.99353492937
44,-45304.91933012161
45,-45377.70748144908
47,-45573.00313546516
48,-45358.40522515948
50,-45251.85491816594
51,-45306.23537942946
52,-45295.109870210414
54,-45145.79994293369
55,-45290.412669548794
57,-45135.145178790364
58,-45247.14649931821
59,-45114.69166833342
61,-45102.44682826307
62,-45006.014309889004
63,-45061.73022953146
65,-45074.12768601998
66,-45045.36315001668
67,-45167.18339595825
69,-45068.283188122645
70,-45069.8455174009
72,-45047.666607309875
73,-45045.310326372346
74,-44910.288464453326
76,-45037.00338960158
77,-44824.54327600368
78,-44914.8465735201
80,-44973.32636179819
81,-44947.54432200978
83,-44883.227736080466
84,-44794.18374736084
85,-44852.41544967499
87,-44754.25028732346
88,-44799.68067976508
89,-44809.40924134973
91,-44869.01675314306
92,-44852.90095004816
93,-44765.96025558368
95,-44789.19744184841
96,-44747.27801923524
98,-44653.95019818311
99,-44717.24251985041
100,-44733.63570146547
102,-44712.249906037505
103,-44709.84965572756
104,-44711.61194855902
106,-44655.08913685147
107,-44694.03124970501
108,-44645.41786818343
110,-44738.82265889223
111,-44632.51452646165
113,-44667.541254489035
114,-44574.84452386635
115,-44531.940540870906
117,-44661.34483596803
118,-44570.23250713547
119,-44660.40823395953
121,-44659.57941850737
122,-44577.709803157806
123,-44596.75560389527
125,-44569.85579201259
126,-44568.21314634424
128,-44558.680986976535
129,-44543.41761499661
130,-44488.13358314613
132,-44550.277135101176
133,-44511.05974793555
134,-44538.34362764596
136,-44585.030678947245
137,-44499.21043705053
139,-44478.18997622459
140,-44439.28066227904
141,-44467.76440765191
143,-44428.24740319029
144,-44425.899501985106
145,-44461.96159539029
147,-44470.039101313894
148,-44413.6090798566
150,-44391.486344257035
151,-44471.6369554382
152,-44423.66051229734
154,-44478.67716937442
155,-44357.86868911715
156,-44411.23112843116
158,-44302.21417906894
159,-44376.01834741392
161,-44397.69625800866
162,-44342.736217458434
163,-44287.68204933672
165,-44326.885264524695
166,-44264.90037897189
168,-44226.50096852969
169,-44341.18751814673
170,-44393.35448793062
171,-44348.517706155944
173,-44297.53277242631
174,-44280.13093211448
176,-44442.28364877431
177,-44354.44844709204
178,-44340.93223158
180,-44274.95685125835
181,-44390.74349264712
182,-44398.76350635824
184,-44339.71278429441
185,-44344.17662013411
187,-44265.06009596422
188,-44241.49062870175
189,-44376.58416388813
191,-44334.67753988535
192,-44176.29151572161
193,-44174.497402988265
195,-44232.61560642789
196,-44228.708034492476
198,-44229.5611220019
199,-44233.369634836
200,-44234.69435248516
202,-44199.634093407876
203,-44180.019864993534
204,-44133.119701788804
206,-44128.18222994971
207,-44254.88993471276
208,-44163.01260052094
210,-44160.48022759736
211,-44315.07218222978
213,-44252.41359116874
214,-44188.80003022283
215,-44209.29781763271
217,-44233.64769330909
218,-44257.195864567286
219,-44087.331874087366
221,-44136.917004694835
222,-44239.594284335755
224,-44193.5174296732
225,-44217.804718795785
226,-44164.12279641214
228,-44052.36935859502
229,-44198.54010023899
230,-44107.28589656691
232,-44161.91541970404
233,-44144.021748066145
235,-44123.1574224083
236,-44132.76680272006
237,-44097.599834319255
239,-44106.70924446467
240,-44084.91875335653
241,-44129.736088515834
243,-44100.00884004107
244,-44066.01355849078
245,-44050.7704525059
247,-44187.69854705696
248,-44097.05604841545
250,-44128.910862414785
251,-44070.218696912874
252,-44088.304159161096
254,-43991.860248350975
255,-43994.190063648224
256,-44042.86268702451
258,-44073.38196550185
259,-44130.44814795232
261,-44149.07733386435
262,-44039.64723124822
263,-43997.76419721346
265,-44158.449637471014
266,-44050.39762404279
267,-44075.447848298856
269,-44070.45989566999
270,-44039.52934815948
272,-44056.17478464669
273,-44080.00508002149
274,-44035.305014852805
276,-43981.748053368814
277,-44050.62172641062
278,-43992.440418046994
280,-44000.40548008576
281,-44009.27876347033
283,-44039.54876273869
284,-43922.772694739346
285,-44012.59548247924
287,-43942.47686144883
288,-44031.46307795225
289,-43950.292536630324
291,-44012.405049973604
292,-43963.7019566916
294,-43954.97483395293
295,-44075.054406455434
296,-43971.114506839134
297,-44013.16345309942
299,-43931.654904802446
300,-43987.628324688696
302,-43970.19826657613
303,-43958.90893518763
304,-43971.08040537224
306,-43984.42907832646
307,-44033.775214411304
308,-43955.73450373209
310,-44091.14771527341
311,-44053.52532537946
313,-43942.205867120785
314,-43901.53408977131
315,-43957.339317533646
317,-43860.20473332977
318,-43910.47536221884
319,-43903.99036055523
321,-43858.961077687745
322,-44026.077304556275
324,-43952.567768798785
325,-43916.343450186505
326,-44013.9442458154
328,-43925.27483588447
329,-43980.945465111836
330,-43838.2933567131
332,-43927.13989652435
333,-43951.01786645759
334,-43858.60756498248
336,-43891.29185139406
337,-43899.87883039538
339,-43889.481484609845
340,-43881.82240492704
342,-43920.5965753956
343,-43922.76202547683
344,-43799.18339855008
345,-43878.518514388
347,-43833.98417590112
348,-43810.34024221373
349,-43977.21809608431
351,-43958.3135891903
352,-43863.39034415108
354,-43847.99062346919
355,-43774.08373080754
356,-43818.16852161614
358,-43890.11061079904
359,-43906.43947443804
360,-43761.7036127957
362,-43790.436626258015
363,-43862.00476830668
364,-43889.89375220188
366,-43870.54243240017
367,-43863.78768885537
369,-43811.99659589598
370,-43850.890455153494
372,-43836.15581327818
373,-43787.702233967764
374,-43777.356908368885
376,-43798.179320803014
377,-43824.418156447624
378,-43833.070737581336
380,-43725.43728075187
381,-43782.66555019989
383,-43740.75079417138
384,-43807.49272400795
385,-43894.478278956776
387,-43846.96166939972
388,-43759.401419756345
390,-43648.864622907444
391,-43873.592886005696
392,-43851.51173699923
394,-43782.31984217574
395,-43702.92585222106
396,-43852.22344663014
398,-43783.890460475326
399,-43688.94832726683
401,-43778.61879645222
402,-43737.63394277346
404,-43821.318136248745
405,-43686.98747853716
406,-43721.874697404295
408,-43752.619901030106
409,-43785.4598050684
410,-43764.49032481119
412,-43639.47779787954
413,-43712.64728077465
415,-43718.858265679206
416,-43696.20575072843
417,-43668.88048195787
419,-43682.44462762797
420,-43734.639846147445
421,-43710.803685144136
423,-43633.1508989094
424,-43741.56765891436
426,-43727.475532992
427,-43772.96413695296
428,-43757.65266923582
430,-43676.01097312188
431,-43759.48588758287
432,-43664.138087295316
434,-43678.36222923454
435,-43655.643436672886
437,-43606.20731620962
438,-43737.28576547231
439,-43701.35988584959
441,-43598.301957630785
442,-43627.46689032782
443,-43656.76462014088
445,-43672.2421505992
446,-43743.03160089923
447,-43717.72444489642
449,-43613.3905034286
450,-43532.81708535437
451,-43617.28445488389
453,-43559.11409118578
454,-43751.655092267196
456,-43695.4441848866
457,-43599.67421927978
458,-43644.39563273239
460,-43553.14323743044
461,-43587.434364206056
462,-43581.723428248566
464,-43576.354495583684
465,-43606.90777101551
467,-43587.455806962695
468,-43550.11335156015
469,-43695.43578171561
471,-43641.88363363236
472,-43617.088406391376
473,-43683.874222602535
475,-43617.91503041757
476,-43664.98078486599
477,-43522.34445474085
479,-43586.623217083295
480,-43494.097684242486
482,-43614.853951259225
483,-43556.75665451183
484,-43396.82145645864
486,-43572.56560767918
487,-43551.79770532206
488,-43619.499123820635
490,-43614.530767078206
491,-43662.73171301093
492,-43534.34267941087
494,-43616.21458847103
495,-43492.536511527855
497,-43471.67803701442
498,-43578.32611735173
499,-43504.05540039807
501,-43479.20914286867
502,-43645.52328367926
503,-43730.21053723002
505,-43476.510506657854
506,-43564.269048184586
508,-43543.663267326105
509,-43624.80182204548
510,-43448.8956283909
512,-43543.02794363332
513,-43528.42315458071
514,-43473.40772991969
516,-43462.533818480806
517,-43481.20973898014
518,-43592.849618523906
520,-43499.19337140362
521,-43601.34525565187
523,-43449.90825859283
524,-43385.49482028186
525,-43528.56112141324
527,-43544.80308805161
528,-43452.14598950431
529,-43479.53240004411
531,-43499.50624500416
532,-43570.878244761174
533,-43372.12675333988
535,-43492.333339046374
536,-43467.51683820912
537,-43430.18143175302
539,-43486.29192531516
540,-43428.743207806976
542,-43437.1347700658
543,-43490.868894227795
544,-43468.447608869326
546,-43387.796616070525
547,-43487.182830575985
548,-43429.38767546448
550,-43358.91243782202
551,-43508.632846775414
552,-43431.09796780565
554,-43392.987281564
555,-43417.04778289198
556,-43394.19022184579
558,-43335.526251796735
559,-43345.839563717396
561,-43370.97473296436
562,-43338.43025204423
563,-43428.951621817614
565,-43295.60861487841
566,-43365.48201490668
567,-43376.63803912841
569,-43267.21728322567
570,-43216.49275113615
571,-43339.02903679219
573,-43297.26159134957
574,-43334.55869542896
576,-43339.99249308259
577,-43264.725588437985
578,-43408.83625343889
580,-43290.425308474136
581,-43436.32135479741
582,-43297.98684460275
584,-43374.905047652726
585,-43418.55350642724
586,-43322.65093654332
588,-43289.40976630341
589,-43389.72812428313
591,-43269.76938840962
592,-43303.91230956256
593,-43426.16526271274
595,-43250.049768230216
596,-43306.83860447841
597,-43249.238508940856
599,-43242.299842059045
600,-43197.39084465418
601,-43219.57312784591
603,-43060.040517636175
604,-43171.52905403253
605,-43209.87511177974
607,-43269.235193558794
608,-43267.89861173081
609,-43284.77890912295
611,-43248.254992349044
612,-43251.02837101187
614,-43220.0054193251
615,-43230.00683745027
616,-43175.587738607275
618,-43318.72797540953
619,-43136.24223114232
620,-43304.93763669117
622,-43131.500040631116
623,-43191.61712413492
625,-43200.326657952784
626,-43217.14485224563
627,-43165.381221023046
629,-43239.82988147335
630,-43134.38202397577
631,-43172.21873602805
633,-43067.59299897792
634,-43071.12382803629
635,-43109.7330649562
637,-43161.01945910635
638,-43164.5408691946
639,-43100.11826777674
641,-43194.118755059906
642,-43070.577216298465
643,-43188.11763797963
645,-43058.685504168185
646,-43081.09578303692
648,-43086.9243511323
649,-43142.55831832288
651,-43220.27077627301
652,-43118.88296398633
