RuntimeInSeconds,ELBO
0,-47093.83437181597
1,-47013.306680547525
3,-47063.93669885485
4,-46913.48840364305
5,-46587.492553518
7,-46535.798937985586
8,-46396.53551637229
10,-46408.867253878794
11,-46440.16255395259
12,-45991.13111887582
14,-46215.45215616831
15,-46040.17785234713
17,-45849.12939418991
18,-45720.380642693766
19,-45869.314655769005
21,-45611.44453709874
22,-45618.87715435627
23,-45363.48005383071
25,-45409.96834332773
26,-45330.74924626537
28,-45326.79564281581
29,-45196.76179289655
31,-45223.60503904283
32,-45183.136625097206
33,-45174.6402770107
35,-45199.052910620005
36,-44982.4376393579
37,-45056.16100190887
39,-45174.69915443953
40,-44947.60923613805
42,-44936.06255866674
43,-44930.9520551372
44,-44904.66427239522
46,-44874.8161395191
47,-44869.52300988566
48,-44782.516787712535
50,-44812.28810814671
51,-44734.81692509942
52,-44775.14554887562
54,-44601.94537621936
55,-44700.10795093497
56,-44670.61925164769
58,-44752.42918425899
59,-44729.19155166487
60,-44619.690890029095
62,-44572.721778469786
63,-44571.84371134901
64,-44554.486058789065
66,-44594.21576523577
67,-44595.647746012844
69,-44539.96644386641
70,-44590.28752740171
71,-44471.1066764735
72,-44509.28159162428
74,-44392.30982197102
75,-44654.9122393868
77,-44472.89749859562
78,-44444.787840642755
79,-44474.24236975414
81,-44371.65506951054
82,-44387.278366287515
83,-44336.64860304347
85,-44344.38640300151
86,-44409.72686271905
87,-44396.866210252934
89,-44385.995873487576
90,-44390.34395828376
91,-44360.17833523477
93,-44288.779820251
94,-44296.6016712805
95,-44375.41892213716
97,-44248.175399210886
98,-44317.84940643522
99,-44275.30991485467
101,-44271.61869619274
102,-44152.182800460985
103,-44239.04175812902
105,-44250.06323448044
106,-44252.09745204523
107,-44194.88967090182
109,-44183.6635890262
110,-44202.840275479946
111,-44222.64739489819
113,-44156.24840153159
114,-44229.66532347875
115,-44267.8893039228
117,-44230.58327359768
118,-44141.999080219604
119,-44318.44228922714
121,-44130.912919881295
122,-44210.810235153345
124,-44163.989302168135
125,-44182.703460848745
126,-44133.4324328628
128,-44109.57843363524
129,-44078.588378233966
130,-44017.3726786197
131,-44103.58731786712
133,-44105.77638331415
134,-44046.87260936302
136,-44033.96632779977
137,-44051.7230059155
138,-44075.392141198965
140,-44077.57947651705
141,-44217.02570047798
142,-44031.7868494248
144,-44022.53782123424
145,-44046.723115460554
146,-43920.86697815396
148,-44118.31998674271
149,-44016.85544624123
150,-44016.02033430206
152,-44006.92833639171
153,-44074.29808040708
154,-43874.383854907435
156,-43941.446313346125
157,-43960.07459961536
158,-44010.0736919835
160,-44082.1382680425
161,-43933.74146743296
162,-44003.589807433185
164,-43933.24927135867
165,-43940.01840315128
166,-43869.129765672114
168,-43859.57361264455
169,-43890.37545489613
171,-43926.24475285649
172,-43942.78138277578
173,-43938.67670392313
174,-43862.100678995776
176,-43895.1328924283
177,-43852.38453571972
179,-43875.17174285957
180,-43941.83966816894
181,-43918.862245067605
182,-43784.07861889555
184,-43862.10452726661
185,-43975.618144018576
187,-43861.52936820586
188,-43848.64495457012
189,-43814.60676248274
191,-43885.184211702646
192,-43850.37325332407
193,-43902.12472182115
195,-43935.086210274705
196,-43857.77843167178
197,-43770.72071668884
199,-43907.478056961554
200,-43715.81918734895
201,-43793.38133462531
203,-43801.44903022487
204,-43818.84983166905
205,-43796.714651521455
206,-43765.961946349795
208,-43812.644308511575
209,-43817.90584008639
211,-43763.73341001435
212,-43743.78673055004
213,-43746.54590144539
215,-43778.89795900384
216,-43739.4820758656
217,-43702.28992909222
218,-43665.69937518761
220,-43732.362232009786
221,-43742.13897529832
223,-43714.855083688635
224,-43678.538765180056
225,-43643.88213915211
227,-43667.51778834321
228,-43618.531569461076
229,-43677.10906168105
231,-43612.87269552991
232,-43700.221311120185
233,-43639.06808130497
235,-43570.75402812854
236,-43744.866863628595
237,-43590.10810656929
239,-43611.26882931263
240,-43644.86441588131
241,-43696.45701614525
243,-43656.75969761135
244,-43659.14169539892
245,-43662.58535916078
247,-43562.397027753366
248,-43601.70743242967
249,-43541.92010294989
251,-43439.294905987226
252,-43548.83504692769
253,-43508.75013361425
255,-43500.589391408976
256,-43486.74117598183
257,-43591.61950483897
259,-43509.18010652291
260,-43546.16823560115
261,-43483.132960314164
263,-43537.262084532
264,-43475.210913624425
265,-43478.67543336847
267,-43466.927280539996
268,-43494.18769747695
270,-43508.784380009194
271,-43358.00353326036
272,-43395.33724344857
274,-43398.4153096813
275,-43344.45877798645
276,-43384.676664723076
277,-43357.26189499696
279,-43349.36543136849
280,-43379.89640227779
281,-43374.582268132384
283,-43352.07061371008
284,-43255.15291979513
286,-43291.57090612221
287,-43435.96487487586
