RuntimeInSeconds,ELBO
0,-47299.18210603643
1,-47173.53644182204
3,-47146.45734398574
4,-46983.95172845535
6,-46819.21817139671
7,-46782.13509069082
8,-46524.25363622507
10,-46263.82742943608
11,-46249.32778509628
13,-46273.393699509135
14,-45914.69593085069
15,-45685.97153123827
17,-45828.809498862924
18,-45714.38111847756
20,-45805.991302248614
21,-45601.59514059414
23,-45556.53478674245
24,-45547.511703355165
25,-45444.164731948666
27,-45454.522356181165
28,-45256.72108031207
29,-45274.79946480647
31,-45043.984375814034
32,-45394.54717125533
34,-45158.408928615165
35,-45162.06484068573
36,-45071.8358598708
38,-45024.75793170164
39,-45157.14636104025
40,-44955.431069168044
42,-45018.251746062255
43,-44872.47701900632
45,-44835.35752246338
46,-44902.88991482443
47,-44855.92186939861
49,-44878.38474249706
50,-44705.81487155224
51,-44764.04140094185
53,-44900.4608550425
54,-44792.00893296451
55,-44653.285251683395
57,-44696.7957688215
58,-44722.21527486812
60,-44534.132648870975
61,-44660.822087925146
62,-44664.82925912469
64,-44561.24155761992
65,-44404.86231649155
67,-44480.00290590522
68,-44572.134965413476
69,-44509.42748146287
71,-44479.05561247344
72,-44560.06518324074
73,-44421.35166797692
75,-44458.12095056412
76,-44516.06143657789
78,-44426.2499086812
79,-44377.03334797674
80,-44474.18663987298
81,-44291.4564786008
83,-44520.14107655725
84,-44355.43778184905
86,-44364.84318230455
87,-44428.63725452785
88,-44238.895694268336
90,-44399.91255822499
91,-44302.38304209892
93,-44270.70047167678
94,-44359.9258154139
95,-44360.723373637426
97,-44355.91983133332
98,-44286.889049723926
99,-44147.3528704104
101,-44314.01768131461
102,-44350.67813589331
104,-44213.725600747835
105,-44240.539539694786
106,-44215.58896759037
108,-44208.516159183
109,-44283.45402348128
110,-44305.53741800002
112,-44251.81342960405
113,-44130.89440637963
114,-44141.87886663531
116,-44230.424507544565
117,-44187.42941249184
119,-44204.14835231891
120,-44141.304795608805
121,-44063.769389556626
123,-44150.427956430314
124,-44176.61997548946
125,-44068.129021597924
127,-44128.99615188439
128,-44117.36823383552
130,-44232.79525528423
131,-44203.790812677245
132,-44004.448773236254
133,-44072.562020094985
135,-44179.47992681227
136,-44103.75710722741
138,-44037.94477692696
139,-44093.53644117521
140,-44006.00035181456
142,-44052.663130946916
143,-44101.69133267372
145,-43986.04388597489
146,-44092.05652033495
147,-44012.28029520544
149,-44034.23067077976
150,-44084.810912843655
151,-43975.39808361951
153,-43928.02741475694
154,-44025.75261346012
156,-43999.81941906959
157,-43995.101257783346
158,-43930.11740896603
160,-43932.20379910549
161,-43969.84863970072
162,-43982.07483234407
164,-44014.971047888466
165,-43879.978558137
166,-43986.03993737228
168,-43905.23819389223
169,-43935.97623248344
171,-43887.5826328985
172,-44004.7379673835
173,-43871.47583656531
175,-43828.55510515211
176,-43740.91069722981
177,-43959.34906881927
179,-43876.97781258581
180,-43764.60122969345
181,-43901.73451398968
183,-43884.2716623217
184,-43849.3411054768
186,-43876.06213808852
187,-43864.904379098116
188,-43939.403501806446
190,-43902.15732053516
191,-44010.720829844555
192,-43849.79920296874
194,-43889.09023401941
195,-43846.41261557649
197,-43911.35753559788
198,-43756.770625330704
199,-43774.01943026485
201,-43708.33227504261
202,-43803.607545994615
203,-43791.81349584293
205,-43761.456349890694
206,-43787.97776471739
207,-43754.354101241006
209,-43743.009170590725
210,-43825.14522159105
212,-43763.194585354504
213,-43731.8206107585
214,-43635.19183485272
216,-43741.038575893675
217,-43730.19077846962
218,-43700.74585089059
220,-43737.46050735779
221,-43765.74680795818
223,-43810.17866857295
224,-43701.194854971174
225,-43613.152780605466
227,-43644.6992516474
228,-43669.363402324765
229,-43586.41203779454
231,-43656.31312021425
232,-43627.16022299811
233,-43655.03351560934
235,-43698.04099671699
236,-43571.49186928576
238,-43612.57801477781
239,-43589.50229591551
240,-43595.28838137724
242,-43565.81172502855
243,-43586.70711192576
244,-43578.09161970679
246,-43606.331240584695
247,-43487.63461172079
248,-43725.052565834645
250,-43515.85683278923
251,-43549.97387274628
253,-43483.869724664786
254,-43509.721549117145
255,-43490.39770096208
257,-43578.85633418523
258,-43580.71196295203
260,-43584.20639539586
261,-43499.38366215432
262,-43453.57965578923
263,-43489.44622355665
265,-43543.02223495193
266,-43429.27258750772
268,-43475.52740198981
269,-43428.704747622134
271,-43429.431287153224
272,-43507.515663413295
273,-43340.17010115666
275,-43445.47186413199
276,-43475.954895672476
277,-43458.92302937577
279,-43409.38265047773
280,-43344.49660254581
282,-43306.27066787261
283,-43435.19185492144
284,-43385.713793106035
285,-43365.937663145465
287,-43472.37873798164
288,-43359.997833430316
290,-43399.41481416411
291,-43292.93850389516
292,-43366.79269173413
294,-43294.89455460922
295,-43277.7573555579
297,-43269.00901142855
298,-43270.84869220842
299,-43306.62844074938
301,-43281.14422153677
302,-43207.98037245005
303,-43251.334586061894
305,-43098.81837274323
306,-43361.25830833979
308,-43219.72700359824
309,-43117.031955833554
310,-43179.896490573556
312,-43164.45864667923
313,-43191.13949974413
315,-43126.456864435844
316,-43177.11068899645
317,-43174.61655377255
319,-43170.298084019785
320,-43126.449427424
322,-43080.768372021135
323,-43147.08030510725
324,-43148.39997334609
326,-43075.66628651538
327,-43165.98660756144
328,-43061.09953456225
330,-43091.12486568549
331,-43066.89527329948
333,-43049.453789038234
334,-43031.84670978633
335,-43072.864054201906
337,-43013.837852159566
338,-43065.46414237984
339,-43105.82034765514
341,-42930.028701678566
342,-42956.563125070796
344,-43057.32099546941
345,-42977.75902342636
346,-42886.25219495057
348,-43013.37967825537
349,-42927.30668660613
350,-42831.71728311058
352,-42833.05947225555
353,-42934.02182659627
354,-42999.74083553221
356,-42949.97128313671
357,-42766.665347896975
358,-42828.665716200034
360,-42971.032446840014
361,-42841.18994026019
363,-42912.96603560766
364,-42803.253174073754
366,-42819.82252091925
367,-42839.42123484283
368,-42763.41447084524
370,-42839.52639178127
371,-42809.403429774145
372,-42789.73969522937
374,-42763.07834685153
375,-42823.23443439311
376,-42830.03694542148
378,-42770.784939924
379,-42736.82503913709
381,-42699.77310787064
382,-42740.68480248237
383,-42672.081759594184
385,-42750.199932670934
386,-42697.87330072958
387,-42572.74658336305
389,-42701.38081744676
390,-42678.61255802003
392,-42702.74465686
393,-42659.362946067704
394,-42651.85812213676
395,-42739.6609002692
397,-42542.502526128555
398,-42725.543203568
400,-42631.41781204268
401,-42565.630434482766
402,-42681.70378932516
404,-42531.082600344314
405,-42504.901778973566
406,-42575.92889564849
408,-42574.93278352261
409,-42419.01194302676
411,-42530.91359656996
412,-42444.78494686491
413,-42506.86284788075
415,-42423.46763602125
416,-42451.86523204688
417,-42460.65531644406
419,-42565.48366918356
420,-42501.52908447027
422,-42581.01750456016
423,-42450.194129426134
424,-42486.182161055374
426,-42535.45523620325
427,-42460.125267898096
428,-42403.45426406916
430,-42328.22038250342
431,-42394.9706038202
432,-42377.22491078874
434,-42385.613297147815
435,-42412.5751058059
436,-42367.368804162325
438,-42324.56314260817
439,-42298.64229364826
441,-42270.50229615401
442,-42392.084898006
443,-42357.199500759154
445,-42328.434870996665
446,-42296.30690553188
447,-42354.7668622842
449,-42296.408495583266
450,-42396.433251807364
452,-42353.77320840086
453,-42260.144526458316
454,-42235.76400385647
456,-42222.656785873216
457,-42347.18915527537
458,-42368.022023635654
460,-42246.541152456346
461,-42215.81882619004
462,-42243.52671709524
464,-42183.83865186019
465,-42264.109162983965
466,-42223.99420125265
468,-42208.27586106133
469,-42353.28022962005
471,-42199.39615466156
472,-42197.85669336196
473,-42095.10153224002
475,-42169.11072962903
476,-42200.91618431171
477,-42149.888503459566
479,-42120.90489655214
480,-42177.59750408637
482,-42141.53852006684
483,-42151.45839059249
485,-42049.7562071023
486,-42095.77596814942
487,-42069.31464468095
489,-42070.88739768467
490,-42066.77621609909
491,-42223.09142563239
493,-42075.81724339505
494,-42073.40980989721
496,-42036.906470243426
497,-42031.6921338452
498,-42127.327696088025
500,-42173.75335041108
501,-41967.60404379715
502,-42006.41115095716
504,-42083.21045255078
505,-42141.59156750393
507,-41974.097665911046
508,-42009.104988503546
509,-42024.946664220224
511,-41966.03828710977
512,-42017.45067677299
514,-41898.69240066209
515,-41953.6609719253
517,-41992.41264835092
518,-41950.445676898
519,-41926.43665312747
521,-41932.68993599585
522,-41901.42907041951
524,-41953.150636150734
525,-42055.7331449604
526,-41965.49504437289
528,-41961.462210487036
529,-41894.04216863311
530,-41846.851170744325
532,-41923.75560932802
533,-42003.43839321621
535,-41917.23856124829
536,-41862.97735751845
537,-41980.04299116201
539,-41850.86132251931
540,-41887.99260201611
542,-41845.74212009268
543,-41780.87435205111
545,-41902.07993717836
546,-41826.56200434736
548,-41982.76316347347
549,-41796.23591992675
550,-41777.51586387596
552,-41759.94242140085
553,-41815.420178524364
555,-41849.940283012875
556,-41826.20761965902
557,-41838.74667020475
559,-41718.78040829486
560,-41831.51997520069
562,-41719.35647151505
563,-41782.36734136471
565,-41658.455172857146
566,-41771.902362163426
567,-41633.088387867596
569,-41659.91469002202
570,-41729.01925971873
572,-41770.04340895974
573,-41679.143695722734
574,-41839.8698087195
576,-41651.44447618997
577,-41657.04135026565
579,-41708.18911037109
580,-41645.716570468736
581,-41678.832056093794
583,-41697.985910792515
584,-41635.30557214664
586,-41588.548118597486
587,-41627.78263529343
588,-41617.05016510059
590,-41678.69212858227
591,-41633.68556315177
592,-41653.87653699458
594,-41675.46226123446
595,-41638.866760098026
597,-41570.857423255045
598,-41628.54242528327
600,-41609.184145993226
601,-41536.93169030352
602,-41651.25594029017
604,-41687.060446052696
605,-41538.12878053136
607,-41654.635261345145
608,-41661.926729211445
609,-41551.571603105294
611,-41685.497286745485
612,-41662.4510897553
614,-41694.38419857061
615,-41571.41625677314
617,-41611.924114655056
618,-41550.7606352557
619,-41546.29632396037
621,-41507.79353518234
622,-41577.767671823756
624,-41549.11276353948
625,-41478.822960917685
626,-41637.897855398915
628,-41512.10235122325
629,-41467.57294952854
631,-41588.43470650951
632,-41492.043383032826
633,-41542.423883290525
635,-41441.464254321276
636,-41554.05727712171
637,-41535.07184547347
639,-41482.3700754162
640,-41513.95135519566
642,-41396.57593782144
643,-41507.09523236366
644,-41385.62012197744
646,-41501.33576332457
647,-41433.02822213387
648,-41455.400611848876
650,-41478.18196223724
651,-41437.43813272166
653,-41395.49247526804
654,-41505.70273368156
656,-41451.05174788941
657,-41451.02612772389
658,-41371.685800657004
660,-41417.53893358583
661,-41343.217922145916
663,-41407.06727391883
664,-41460.403768542965
666,-41444.3314774291
667,-41412.36186707862
668,-41344.88843151129
670,-41457.12348115509
671,-41484.1837770467
673,-41421.500179366885
674,-41382.22112411171
676,-41480.92054903756
677,-41381.1134588879
678,-41410.344454943915
680,-41467.37123039631
681,-41331.474643588204
682,-41372.07543750316
684,-41345.563331936806
685,-41294.9379217211
687,-41310.28024049037
688,-41370.45597718653
689,-41413.908480187165
691,-41255.942653448285
692,-41314.37784852209
694,-41271.007071807166
695,-41364.77517042217
696,-41364.76030661676
697,-41290.12757825831
699,-41283.788902656524
700,-41302.6098138008
702,-41269.142706895494
