RuntimeInSeconds,ELBO
0,-47272.97351248847
1,-47234.50629449053
3,-47275.3267433776
4,-46976.50834443188
6,-46851.21813297101
7,-46654.44877148856
8,-46601.37471522545
10,-46199.09975906478
11,-46249.42352706328
13,-46011.34194868549
14,-46100.171747407265
15,-46094.468205885445
17,-45794.787104883915
18,-45567.45014452416
20,-45598.28925773929
21,-45661.36742038434
22,-45579.807835204905
24,-45533.24228155172
25,-45482.72736430469
26,-45652.37524393272
28,-45361.34872019042
29,-45198.67295661191
31,-45113.97933029993
32,-45326.972682510335
33,-45044.85122116624
35,-45111.66834283159
36,-45087.27899280766
37,-45053.17692827498
39,-45002.53834833288
40,-44979.28402748197
41,-44844.829783157
43,-44976.15021309017
44,-44888.5751640464
46,-44825.76654488191
47,-44844.458621489655
48,-44878.99756173988
50,-44719.18091352436
51,-44795.37789538011
52,-44697.20394927244
54,-44768.373017427555
55,-44758.79337210126
56,-44723.98008536784
58,-44670.82134804806
59,-44635.877238101384
60,-44582.50176409063
62,-44635.70473567026
63,-44560.02345282774
64,-44595.53265969737
66,-44619.863420663896
67,-44590.959145939094
68,-44552.5432356421
70,-44551.526108013284
71,-44481.66210286626
73,-44438.02415779432
74,-44491.833987616454
75,-44588.689600502876
77,-44392.38413285394
78,-44337.3083882346
79,-44452.943005141155
81,-44372.142588210256
82,-44309.991121019186
83,-44462.827727172655
85,-44405.794899933084
86,-44320.866338280095
87,-44365.26828561078
89,-44364.35904268731
90,-44413.52307782672
91,-44258.214689291686
93,-44362.856811122416
94,-44295.084002187235
95,-44315.11544968437
97,-44319.403110483945
98,-44280.61085514704
99,-44257.29726286151
101,-44261.82603053869
102,-44318.82289521324
104,-44196.855565425845
105,-44279.303358240795
106,-44279.32840439351
108,-44266.98051522239
109,-44228.741075299076
110,-44221.513949890534
112,-44305.35019883963
113,-44166.462095886236
114,-44093.87890478693
116,-44184.423657541
117,-44122.73570410295
118,-44213.362398346486
120,-44063.35324198988
121,-44251.97988946189
122,-44134.62421476956
124,-44119.68068079134
125,-44106.69468123076
127,-44142.402084376925
128,-44126.418018829536
129,-44135.027580392365
130,-44049.361040069525
132,-44165.24375796652
133,-44118.150485709666
135,-44160.04611727435
136,-44148.24029873844
137,-44081.7434043747
139,-44106.5955981016
140,-44014.42842956647
141,-44103.860389973386
143,-44035.36032458392
144,-43941.82083884725
145,-43978.912508808746
147,-44072.503945839286
148,-44061.62875076822
149,-43996.51248406396
151,-43970.20745509167
152,-43981.395162656154
153,-44038.30991978265
155,-43973.683790675634
156,-44001.03863264031
157,-43968.20528921855
159,-43936.19069812252
160,-43924.22068696875
162,-43965.183419476634
163,-43902.51846144084
164,-43954.739967959584
165,-43905.34759323448
167,-43891.51031917874
168,-43845.83155937903
170,-43933.142787185425
171,-43981.94606652059
172,-43925.57635695336
174,-43897.46949909416
175,-43875.68675480174
176,-43855.2880683757
178,-43894.68981281947
179,-43971.32575548652
180,-43845.9364262322
182,-43872.98449947886
183,-43867.06555770159
184,-43804.764669529315
186,-43798.267096852
187,-43852.179326689686
188,-43809.33566454084
190,-43918.547134457796
191,-43789.483989354194
193,-43856.13855760432
194,-43852.16748407387
195,-43744.9409008368
196,-43825.904402457985
198,-43762.607708193296
199,-43781.83195063087
201,-43793.49439369769
202,-43813.63979323175
203,-43724.236562327314
205,-43771.04638368682
206,-43708.9697838032
207,-43796.615116459456
209,-43750.06892242195
210,-43785.41153156255
211,-43753.68260764988
213,-43717.029361235254
214,-43737.278742293354
215,-43741.95046811539
217,-43802.17377229214
218,-43775.78638766137
220,-43733.12976662143
221,-43728.84354547193
222,-43708.71892254385
224,-43614.96304299591
225,-43659.43647476922
226,-43702.459006004356
228,-43722.044527536964
229,-43703.18202611945
230,-43743.20419087258
232,-43666.962106030456
233,-43685.7139073475
234,-43725.985588901494
236,-43627.40908411084
237,-43683.44150815131
238,-43586.86496299747
240,-43709.92050978569
241,-43614.13193026452
243,-43656.020311697575
244,-43616.72802023353
245,-43549.437863082334
247,-43695.59698326322
248,-43521.58501838495
249,-43609.69149083422
251,-43639.415404641884
252,-43482.94833916771
254,-43577.86111626042
255,-43702.57333929356
256,-43573.15867391225
258,-43594.80657260915
259,-43470.163132299036
260,-43444.40519281035
262,-43486.04735204534
263,-43470.955926060495
264,-43420.661323644614
266,-43607.25997986427
267,-43372.5846229406
269,-43441.97936971296
270,-43506.792325528884
271,-43366.40640968473
273,-43408.09363649026
274,-43465.54054354151
275,-43419.339944205436
277,-43421.655080084485
278,-43456.22351041474
279,-43434.695905443084
281,-43439.81413231931
282,-43502.5961509742
284,-43433.77964992549
285,-43345.54706675957
286,-43208.1886119783
287,-43383.64074814274
289,-43397.999121627254
290,-43248.97076798637
292,-43352.78487023606
293,-43276.024524707565
294,-43236.26099958764
296,-43318.68145350066
297,-43243.989133026414
298,-43266.469394439504
300,-43204.131069951996
301,-43277.85723250467
302,-43279.9108096845
304,-43217.97489432561
305,-43210.28783319781
307,-43104.55840307947
308,-43354.69832196665
309,-43207.82257451677
311,-43116.56324929171
312,-43175.497458937505
313,-43272.584927994234
315,-43215.18500623091
316,-43106.70096929799
317,-43129.7027486886
319,-43049.87485301207
320,-43144.48378802205
322,-43157.59754825963
323,-43048.50706212915
324,-43078.68261448969
325,-43108.749660671056
327,-43094.82947423474
328,-43162.57472913774
330,-42936.23685858401
331,-43019.28829616479
332,-43036.045095666996
334,-43047.57208710896
335,-42988.691772410195
336,-42984.675290856554
338,-42994.87665770482
339,-43033.39865393806
340,-43082.69345384434
342,-43139.22015529673
343,-42973.191330448986
345,-42968.66132114787
346,-43032.35336414802
347,-42950.10055273111
349,-42918.458995723886
350,-43040.95891773165
351,-42989.9772199858
353,-42920.41056255165
354,-42873.07030858221
355,-42879.071830408815
357,-42865.23451785149
358,-42836.83052526361
360,-42878.622446643836
361,-42831.619113529196
362,-42937.538335486286
364,-42859.444072928614
365,-42940.69130972272
366,-42702.203746671905
368,-42812.83531307364
369,-42729.432300101704
371,-42794.118558956725
372,-42714.47759762795
373,-42859.82544382302
375,-42720.56377694124
376,-42817.933887103325
377,-42787.71644745491
379,-42729.81187703234
380,-42768.34044485331
381,-42641.243003509124
383,-42687.51390516888
384,-42734.504479714946
386,-42581.29564688021
387,-42687.71188413999
388,-42570.38927101745
389,-42630.833274588455
391,-42674.92602924031
392,-42578.58231140486
394,-42580.37599805594
395,-42635.70047661559
396,-42646.03685254473
398,-42625.831300821395
