RuntimeInSeconds,ELBO
0,-47090.07910580587
1,-47266.416822725216
3,-47183.92371827444
4,-46938.62142845674
6,-46677.83483079193
7,-46795.088885217745
9,-46366.36879446422
10,-46342.34849130033
11,-46294.5576919298
13,-46048.652194654744
14,-45923.62899678384
16,-45906.34051477344
17,-46104.503157766194
18,-45931.19382112755
20,-45741.17049124077
21,-45507.8834404123
22,-45407.00860593846
24,-45536.70971465957
25,-45423.585509617
27,-45426.373864178255
28,-45313.5447397243
29,-45287.10478531811
31,-45251.77707586666
32,-45189.49232958608
33,-45230.155642937534
35,-44953.335833325575
36,-45062.41991548869
37,-44958.020299953685
39,-45071.75190713214
40,-44890.78224279813
42,-44862.93938054584
43,-44770.79597429163
44,-44882.335286692185
45,-44860.850916401614
47,-44895.61569604611
48,-44741.01287868555
50,-44696.318067630855
51,-44701.21731166228
52,-44752.53459746771
54,-44787.98613462063
55,-44654.92585791894
56,-44739.88966728264
58,-44659.32082296822
59,-44608.473758582615
60,-44635.56772366629
62,-44590.20901164625
63,-44492.83822674414
65,-44623.46223037375
66,-44506.734045068915
67,-44582.35848837825
69,-44525.093272876926
70,-44510.07664466694
71,-44558.0547329669
73,-44477.66746770394
74,-44510.30857213439
75,-44531.21074248089
77,-44468.41424071672
78,-44375.76070000393
79,-44442.155297261095
81,-44360.62929738388
82,-44476.718104396234
83,-44363.86863558687
85,-44366.66535532901
86,-44338.20303208722
88,-44263.05828560323
89,-44439.8090360815
90,-44284.00227119179
92,-44349.74921764707
93,-44385.58571622854
94,-44365.27422125764
96,-44373.991942127286
97,-44260.114129918555
98,-44321.95943918329
100,-44307.00885085888
101,-44326.9361216097
102,-44272.30128105805
104,-44249.485520050104
105,-44198.54160252027
106,-44200.905610551075
108,-44160.325954664164
109,-44222.42568888285
111,-44228.47144640418
112,-44273.32234344339
113,-44284.860618507635
114,-44175.569053929394
116,-44165.188835895926
117,-44164.17416597487
119,-44237.09526459034
120,-44155.51720001935
121,-44073.88980154901
123,-44111.645763721855
124,-44068.20651462718
125,-44110.38579483641
127,-44089.205731535025
128,-44115.92673924912
129,-44109.04215890814
131,-44041.19382078834
132,-44081.607973229315
133,-44185.2723032888
135,-44092.02013132071
136,-44113.230329227736
138,-44053.22601363885
139,-44060.49392173128
140,-44084.40804373549
142,-44004.22286913585
143,-44102.742799941734
144,-44024.143808989145
146,-44056.75102879502
147,-44046.52616585368
148,-44070.72060078271
150,-43952.17838097894
151,-44062.11627616454
152,-43891.47335931391
154,-43976.561674614604
155,-43981.124282459525
156,-43984.46754240241
158,-43963.78182499384
159,-43961.42596410388
160,-43931.19673938291
162,-44030.835895771976
163,-43988.972750104556
165,-43964.109307944826
166,-44040.80815325152
167,-43984.280235374405
169,-43983.65697274501
170,-44049.927367832715
171,-43882.13745126397
173,-43862.71201477656
174,-43871.674450611754
175,-43878.173536846254
177,-43799.671940619424
178,-43879.80111701693
179,-43834.37259105103
181,-43845.076001213536
182,-43916.2311804224
183,-43845.3206766244
185,-43822.851986730835
186,-43910.66144766581
187,-43882.34921152882
189,-43854.04815721223
190,-43869.44581598019
192,-43844.19249807415
193,-43825.43386962633
194,-43843.48724076007
196,-43840.44694122542
197,-43735.02085794332
198,-43848.37145787239
200,-43922.49108383737
201,-43781.50684239109
202,-43735.89821295374
204,-43705.40275409045
205,-43715.2765351794
206,-43690.75173760236
208,-43816.44728125713
209,-43733.87504456221
210,-43788.525560216876
212,-43761.646648144895
213,-43817.92262691588
214,-43738.22123764435
216,-43717.46864778232
217,-43763.67383736028
219,-43633.415963221196
220,-43664.717686947944
221,-43692.90236055122
223,-43664.12571384387
224,-43664.369277472746
225,-43648.95678716608
227,-43637.01428574315
228,-43748.88895245701
229,-43688.174756702676
231,-43578.42636178999
232,-43596.22310649756
233,-43717.84657174613
235,-43717.282658485565
236,-43678.3424955195
238,-43551.02669082234
239,-43654.00727374975
240,-43639.825058983304
241,-43601.4083118538
243,-43635.69193916703
244,-43616.39410264535
246,-43568.1204557879
247,-43652.40746649102
248,-43704.79105870295
250,-43549.82138288191
251,-43555.48706380827
252,-43631.41550234285
254,-43618.684958425234
255,-43554.657931454705
256,-43574.056793707634
258,-43507.04282356291
259,-43447.57751608683
260,-43462.06278006704
262,-43484.13875229821
263,-43321.89341263143
265,-43451.37080614458
266,-43462.588278328614
267,-43421.741916105784
269,-43502.153498478125
270,-43394.279251147236
271,-43437.88345165112
273,-43368.42811298577
274,-43516.33887192097
275,-43435.430555992345
277,-43360.7832637768
278,-43417.10306816629
279,-43416.09627793771
281,-43348.51342487007
282,-43418.23702927732
283,-43366.23989726879
285,-43407.73092485454
286,-43311.36284644618
288,-43397.628693319144
289,-43385.57594016209
290,-43284.30370069047
292,-43257.00856751309
293,-43371.75733594487
294,-43349.82402064421
296,-43293.657259155494
297,-43241.00821755725
299,-43304.88141314307
300,-43177.4716548056
301,-43345.30487851569
303,-43151.144497312634
304,-43160.42173318388
305,-43275.95842429148
307,-43256.25800952344
308,-43200.53715454841
309,-43206.270487020425
311,-43167.32815541029
312,-43195.545746636446
314,-43214.232801789876
315,-43187.06652712854
316,-43088.287104343835
318,-43189.614808746584
319,-43099.442426676826
320,-43067.01882892225
322,-43074.44324866486
323,-43151.70359438259
324,-43159.66791379003
326,-43012.48706324478
327,-43093.96091931403
328,-43086.60234151118
330,-43073.8118225342
331,-43104.53733624476
332,-43057.13090277489
334,-42956.16616186235
335,-42981.45131381727
337,-43030.143381244896
338,-43009.11591744377
339,-43045.430491797946
341,-43063.85998733407
342,-43002.71914874324
344,-42923.68505266789
345,-42947.52714342159
346,-42918.25026754289
348,-43025.61522967202
349,-43068.073624913755
350,-42887.33546386484
352,-42983.01394860177
353,-42949.436259087044
355,-42802.46691161935
356,-42795.938504392645
357,-42895.40279632251
359,-42855.937800064
360,-42870.83651811553
361,-42790.352251857315
363,-42789.191023527885
364,-42752.44579086519
366,-42778.15432511771
367,-42981.19517389189
368,-42881.555629560055
370,-42798.47058362029
371,-42921.767077726596
373,-42871.68043560779
374,-42746.9423336576
375,-42793.584218430355
377,-42677.67003612433
378,-42795.89874491757
380,-42848.56216255827
381,-42660.00828016924
382,-42729.952409338155
384,-42734.877293662285
385,-42639.49907345882
387,-42690.25409414972
388,-42634.088887096754
389,-42737.19167841311
391,-42679.23144137328
392,-42757.46007677981
394,-42669.62883963732
395,-42631.78905456037
396,-42663.94116926839
398,-42637.49773085195
399,-42597.73400132975
401,-42616.02250085595
402,-42613.85505937851
403,-42442.88064407707
405,-42511.65932207239
406,-42499.966932778545
407,-42569.25144757308
409,-42541.325469665026
410,-42463.14678042896
411,-42472.97518983172
413,-42508.48312267803
414,-42463.99014407182
416,-42524.32673433609
417,-42511.02876347734
418,-42458.37875519339
420,-42498.21958414903
421,-42703.07695566141
423,-42527.10486885119
424,-42488.48874135983
425,-42459.251684803356
427,-42440.21354193181
428,-42335.4245196992
430,-42403.414715691484
431,-42470.443698987176
432,-42392.292382158616
434,-42443.47966100386
435,-42412.80561966439
437,-42333.6465658411
438,-42308.493417599944
440,-42423.498121272525
441,-42413.168784405425
442,-42343.19056873705
444,-42365.29108414448
445,-42269.67925726778
446,-42343.8343107822
448,-42251.854567263144
449,-42324.25996198569
451,-42337.86256464487
452,-42311.450765567475
453,-42246.2718316133
455,-42348.66290667928
456,-42224.80704107833
458,-42233.769387722474
459,-42317.004245460725
460,-42203.88848164517
462,-42251.66216209793
463,-42282.121054529314
464,-42222.45317489607
466,-42367.51178794515
467,-42229.88893477111
469,-42178.56099146252
470,-42216.36880698938
471,-42120.86209953628
473,-42135.56279534245
474,-42202.71289829894
476,-42090.15403029261
477,-42128.2941574092
478,-42225.855371415535
480,-42173.81905067103
481,-42075.97087585229
482,-42147.069001644704
484,-42192.56087298616
485,-42124.72914195906
487,-42150.41088920465
488,-42040.85249074042
490,-42024.14506202403
491,-42099.74390199856
492,-42158.55053737178
494,-42128.3548555909
495,-42019.8235064266
497,-42026.03774187725
498,-42063.59660946706
499,-42017.1789607181
501,-41958.24552713339
502,-42086.117408701044
504,-42005.763258486404
505,-42100.266387530224
506,-42071.8068828522
508,-41966.206223100984
509,-42046.912277715994
511,-41972.237895880964
512,-42001.07722956862
513,-41993.754457275
515,-41917.23811036124
516,-42036.07495702749
518,-41934.41435433345
519,-41929.04618556987
520,-41946.53171239506
522,-41943.706187223135
523,-42023.629970236834
525,-41890.77171004652
526,-41926.53335708549
527,-41910.50453969351
529,-41950.57633824785
530,-41900.65688781255
531,-41915.83961707159
533,-41950.77364556062
534,-41922.42549832775
536,-41891.59339537929
537,-41804.699985124535
538,-41967.95403795018
540,-41786.070099656965
541,-41963.741551082625
543,-41845.8420642631
544,-41974.85773395396
545,-41823.33821499781
547,-41786.522404529445
548,-41790.29733850255
549,-41772.42756462567
551,-41711.5770572836
552,-41758.33157863672
554,-41800.22156162781
555,-41900.91065451545
556,-41842.79479715932
558,-41782.62698992248
559,-41927.85219604713
561,-41915.73502533524
562,-41806.759987937476
564,-41898.19879168189
565,-41821.07390263489
567,-41727.11190704301
568,-41792.080098744955
570,-41663.82019518714
571,-41737.6863622221
572,-41791.958600609054
574,-41675.67701172193
575,-41717.23113434005
576,-41733.909480869836
578,-41627.27050019131
579,-41721.95949927056
581,-41744.91871266519
582,-41713.18639025249
583,-41677.93391822091
585,-41704.648187489016
586,-41809.754854628736
588,-41680.12989260799
589,-41694.025825727644
590,-41663.59074741666
592,-41648.28925103816
593,-41647.82472297222
595,-41761.40240712287
596,-41553.60465372183
597,-41690.6163248126
599,-41565.26682676493
600,-41588.99192252712
602,-41515.47342892849
603,-41728.108453249166
604,-41599.823679558554
606,-41520.74852084229
607,-41628.66393066624
608,-41575.10871013074
610,-41544.63416197018
612,-41587.48943175574
613,-41556.08174099693
614,-41573.65602210291
616,-41578.19646982906
617,-41561.289691102815
619,-41517.98302872055
620,-41586.41107057731
621,-41579.79025205426
623,-41555.903200384404
624,-41646.36257276788
626,-41540.83454228084
627,-41515.673841338925
628,-41581.886856743426
630,-41497.1895362567
631,-41539.59872295036
632,-41484.59815666286
634,-41586.48518304351
635,-41458.92115083727
637,-41459.577792187745
638,-41576.54673858693
639,-41565.404329162506
641,-41512.81278989264
642,-41515.02948820857
644,-41470.15865826377
645,-41473.27006868251
646,-41450.46360080698
648,-41472.55308106974
649,-41436.34434831937
650,-41397.21550892665
652,-41435.74358450985
653,-41429.35615841809
655,-41466.19573467023
656,-41423.882998790905
657,-41449.8829950808
659,-41387.01569269382
660,-41429.573933888285
662,-41440.475678122355
