RuntimeInSeconds,ELBO
0,-47263.28900189874
1,-47130.2981624642
3,-47215.45576247801
4,-47049.8022426868
5,-47071.03085289749
7,-46725.22857308213
8,-46612.15602914329
10,-46459.35496922525
11,-46361.811411151844
13,-46228.96837323959
14,-46153.7516468545
15,-46133.603437552
17,-45873.01552977265
18,-45656.70586051124
20,-45826.32308909751
21,-45571.94322127976
22,-45464.89275732381
24,-45349.762733079246
25,-45500.95792561518
27,-45338.84059368959
28,-45260.158509106564
30,-45229.19277203109
31,-45180.20904638484
32,-45308.44802482476
34,-45194.19952248893
35,-45144.744433815635
37,-45162.677084281015
38,-44894.77528219648
39,-44994.54980172321
41,-45072.4275875115
42,-44953.35596309314
44,-44953.12893130943
45,-44827.13473062685
46,-44826.453821379015
48,-44858.410414383776
49,-44892.27721618021
51,-44735.148510757914
52,-44841.89930995758
53,-44717.921988472546
55,-44651.64203302177
56,-44659.01825608224
58,-44737.582922432244
59,-44586.25048876695
60,-44670.33649629184
62,-44615.866128822214
63,-44552.14643669924
65,-44609.15112633513
66,-44581.148584948394
67,-44606.044773336034
69,-44543.974891594204
70,-44544.59016708327
72,-44473.18394149293
73,-44432.049025606364
74,-44528.88430182291
76,-44496.43502089148
77,-44499.82968006338
79,-44450.083821053726
80,-44477.87623772326
81,-44381.62864608302
83,-44404.17818017767
84,-44343.87100946189
86,-44345.5036456121
87,-44418.69086567845
88,-44359.662628671635
90,-44307.105958772714
91,-44318.44572094761
93,-44345.878587881074
94,-44253.62574828727
95,-44235.9187666676
97,-44305.48356398972
98,-44264.52150876278
100,-44379.96193534441
101,-44262.70787375291
102,-44340.31556106825
104,-44294.7321889151
105,-44230.200345282086
107,-44284.04890256334
108,-44202.427610930965
109,-44122.004447804466
111,-44175.3915772305
112,-44192.174973448324
113,-44168.795890082816
115,-44228.91488133745
116,-44269.669329715536
118,-44107.89003050627
119,-44102.70150566813
120,-44143.57566239062
122,-44249.80463798822
123,-44135.40890440276
125,-44048.19156790764
126,-44097.42528854512
127,-44126.47771205171
129,-44066.546263018216
130,-44119.36788450317
132,-44118.87517302817
133,-44078.299666362
134,-44055.902368394156
136,-44181.75624193672
137,-43997.33845527075
138,-44077.42648191902
140,-44081.79807518927
141,-44068.90556450599
142,-44013.937114207416
144,-44035.85822773087
145,-43996.56544531463
147,-44032.775552933796
148,-43905.43692711865
149,-44061.8098169452
151,-44001.16840335996
152,-43991.10635222265
154,-44060.69892029156
155,-44047.27559558387
157,-44004.55973865215
158,-43951.928317317426
159,-44000.851730607144
161,-44042.86359299834
162,-43929.361339000796
163,-43999.66552037171
165,-43990.52798491792
166,-43978.4514327283
168,-43951.532313907344
169,-44026.16755674948
170,-43939.970927308364
172,-43927.1565415735
173,-43991.437320918645
174,-43924.20734770029
176,-43934.02975045036
177,-43914.48833337027
178,-43937.82470024135
180,-43937.850591764145
181,-43918.25514747035
183,-43976.293624815204
184,-43929.66206718809
185,-43699.764259731295
187,-43782.8247994803
188,-43835.876632885076
189,-43824.53279465972
191,-43782.41291807906
192,-43853.212791249876
194,-43871.64213681583
195,-43842.00311217908
196,-43846.644112434195
198,-43718.65264659018
199,-43814.48655268479
200,-43872.29447324553
202,-43815.33620606596
203,-43711.53097896803
205,-43867.09307151387
206,-43806.18580933387
207,-43761.10136474447
209,-43747.51197410001
210,-43774.92341648214
211,-43754.84847122867
213,-43679.84386784423
214,-43819.50281618566
216,-43689.821178531616
217,-43769.361981090035
218,-43729.22463134035
220,-43692.82077816139
221,-43699.19652468886
223,-43693.11623402614
224,-43669.2030273359
225,-43705.50801187254
226,-43774.55752054019
228,-43774.17494784266
229,-43697.570880693725
231,-43665.39770714137
232,-43592.061380767176
233,-43667.70778887605
235,-43560.385090438926
236,-43550.23989427619
238,-43569.389208200264
239,-43691.66191500259
240,-43543.49535036506
242,-43686.74111916005
243,-43638.65205242237
244,-43598.811698472324
246,-43482.36285683801
247,-43600.51378355891
248,-43637.13490794199
250,-43549.87312957186
251,-43624.22987322934
253,-43461.8600846302
254,-43616.06779073663
255,-43545.79974657037
257,-43546.473710501035
258,-43494.37776220889
259,-43548.16719629301
261,-43562.208211214995
262,-43439.54975826928
264,-43530.78749855004
265,-43457.33673115713
266,-43466.01602053216
268,-43544.44244180416
269,-43502.732762410466
271,-43467.90121297999
272,-43403.969892705885
273,-43439.2761758844
275,-43393.08213550688
276,-43525.424476152824
277,-43365.93041787211
279,-43509.56651665753
280,-43334.916570087655
282,-43420.690143670676
283,-43397.84141867571
284,-43476.33576619491
286,-43281.47739857103
287,-43359.268658346504
288,-43394.64297979335
290,-43280.67251488089
291,-43258.99945395913
293,-43320.90935499836
294,-43344.92996160341
295,-43359.139373293525
297,-43240.966490418854
298,-43393.077179019674
299,-43331.19773680649
301,-43402.26448068434
302,-43304.441273295146
304,-43254.84970991547
305,-43340.0340902336
307,-43232.87302415258
308,-43211.53769364398
309,-43101.98698740339
310,-43192.71563427495
312,-43183.206986832585
313,-43298.2823402947
315,-43201.09224041206
316,-43228.50744258422
318,-43116.7477559143
319,-43180.846985381955
320,-43114.6972592363
322,-43113.09935788945
323,-43170.488895736096
324,-43037.978730000694
326,-43052.414081827876
327,-43178.01628726284
329,-43118.70284776264
330,-43115.30484231678
331,-42994.420781310575
333,-43220.292183637685
334,-43077.86666624017
336,-42934.584503639584
337,-43112.4922566911
338,-42999.872792438335
340,-42993.105118332845
341,-43016.9390786121
342,-42927.17824104357
344,-43031.71023752765
345,-42968.427489335554
347,-42986.601009177655
348,-42950.07746946839
349,-42941.24073067257
351,-42962.67417687635
352,-42930.172847814
353,-42857.20103432988
355,-42888.477925223735
356,-42967.18795581928
358,-42849.239952553595
359,-42910.47094008135
361,-42942.14763846147
362,-42863.95807127975
363,-42896.942133010576
365,-42885.133236713686
366,-42880.28869966642
367,-42761.05140696597
369,-42859.959197563105
370,-42795.00323369823
372,-42677.9999256216
373,-42813.28951273935
374,-42751.29615369985
376,-42736.82957256023
377,-42636.376635415894
378,-42835.062922687874
380,-42849.37136844523
381,-42643.66516505392
383,-42775.67044701466
384,-42648.30737028822
385,-42751.798501939666
387,-42669.338336722976
388,-42581.71667627912
390,-42613.31959434116
391,-42604.27028598168
393,-42666.81877933923
394,-42617.97093484472
395,-42628.569791605376
397,-42578.20766295339
398,-42539.53951398072
400,-42725.11338410231
401,-42539.252897015074
402,-42529.61764302741
404,-42480.61635843265
405,-42633.42448173523
407,-42566.63584364544
408,-42627.73279702409
410,-42570.65876722568
411,-42565.56852680487
412,-42530.76683468681
414,-42583.81606295832
415,-42525.550577515154
417,-42440.02866271671
418,-42489.89835068667
420,-42536.79277124094
421,-42393.77656024172
422,-42439.46012350249
424,-42501.93728488386
425,-42456.37814385606
427,-42455.76413962004
428,-42392.37291093531
430,-42452.13813829401
431,-42425.683660884904
432,-42345.44395476199
434,-42415.39543167716
435,-42549.539599755124
437,-42456.508289637575
438,-42361.72113025491
440,-42428.84597942142
441,-42324.84322860388
443,-42317.062560838094
444,-42403.401189154654
445,-42308.365644028905
447,-42219.47225177229
448,-42310.45906470567
450,-42309.31368783764
451,-42248.56509476469
453,-42239.323042914555
454,-42295.55221705412
455,-42232.81956249276
457,-42224.43745952971
458,-42138.60131215208
460,-42201.0486947825
461,-42196.57233269417
463,-42246.91612157719
464,-42293.412205464716
465,-42245.37471869924
467,-42149.24134863974
468,-42212.658272857916
470,-42176.94660542463
471,-42272.13334784424
472,-42112.36049553453
474,-42257.44204540806
475,-42216.278596792545
477,-42141.14496486831
478,-42151.47850680105
480,-42153.276486480594
481,-42162.21062948318
483,-42165.44627673612
484,-42017.6354607289
485,-42159.5049164549
487,-42115.673009621125
488,-42038.47314631972
490,-42067.043446165146
491,-42065.518481190724
493,-42073.127344592474
494,-42104.66006339714
495,-42071.60206486668
497,-42122.10834259373
498,-42007.84705431312
500,-41991.462309213115
501,-42100.86518074606
503,-41871.56443382131
504,-42073.237006120966
506,-42040.68052765195
507,-42133.05062317698
508,-42038.67637192367
510,-41956.74597280549
511,-42034.52274001654
513,-41968.503232927455
514,-41969.3404507147
515,-41882.60310618977
517,-41999.44332643121
518,-41923.50050377921
520,-41918.97864285362
521,-41974.3797382352
523,-41899.13063565151
524,-41987.37157455905
526,-41949.310167799005
527,-41964.45190541433
529,-41870.478164612316
530,-41985.61166562422
531,-41869.44700180087
533,-41997.889750867784
534,-41969.74123437498
536,-41888.613373937194
537,-41840.88110281994
538,-41866.36079134943
540,-41901.999301534524
541,-41895.81579501508
543,-41843.42177621299
544,-41773.334352292535
545,-41874.54407841894
547,-41822.8553073837
548,-41936.34810325026
549,-41826.76931826863
551,-41840.20811766355
553,-41809.94897618107
554,-41910.851391880904
555,-41841.43956282472
557,-41790.872096169485
558,-41872.60414494836
560,-41836.78361256158
561,-41693.52138007622
563,-41801.05643884435
564,-41765.37176890401
565,-41828.437430684084
567,-41756.58072909179
568,-41832.81665770592
570,-41799.83110700254
571,-41816.43054778884
573,-41720.87201990933
574,-41788.42526820397
575,-41851.443706951686
577,-41730.42955320689
578,-41823.774341989716
580,-41820.149997542816
581,-41648.10845750412
582,-41687.41939457434
584,-41783.85198452565
585,-41677.14968921386
587,-41670.71516183042
588,-41711.89454755936
590,-41682.28735214303
591,-41626.66024655377
593,-41575.26633944593
594,-41616.30594109296
596,-41662.921001020615
597,-41618.31678159684
599,-41707.463209871654
600,-41669.163630571
602,-41670.044417810845
603,-41756.662999929686
604,-41593.59250248108
606,-41682.348224639536
607,-41561.11327650187
609,-41702.09754256747
610,-41632.31275344636
612,-41531.28510586144
613,-41650.62367088331
615,-41542.85221684384
616,-41664.23495298223
617,-41520.02649359573
619,-41495.978275254034
620,-41489.428658658275
