index,iter,time,objective
0,0,1.0722992230001838,-47245.069578434435
1,1,1.6476434740000405,-46971.07345547696
2,2,2.2210261850000825,-46897.7958736253
3,3,2.8841161820001435,-46807.237250131824
4,4,3.4260110180000773,-46864.071372281396
5,5,3.9687461710001806,-46657.78968214871
6,6,4.5245306270001455,-46606.06317713962
7,7,5.462652235000162,-46448.826889723525
8,8,6.024366840000032,-46187.63784686068
9,9,6.642398291000165,-46027.52797963077
10,10,7.260772484000074,-46000.86934969312
11,11,8.122978582000128,-45952.1253860477
12,12,8.861650235000067,-45760.9845870407
13,13,9.75557754800003,-45700.7885162508
14,14,10.567172636000207,-45635.12443394431
15,15,11.460398868000135,-45300.85538965391
16,16,12.229042414000025,-45240.93741193881
17,17,13.402660237000092,-45314.68782580466
18,18,14.380501095000188,-45212.97130347599
19,19,15.476567595000146,-45096.19317387599
20,20,16.37258395700017,-45000.57445318773
21,21,17.262192215000045,-44888.893796674376
22,22,18.236184223000194,-44849.68256365646
23,23,19.059396600000095,-44660.002331621305
24,24,19.943407569000033,-44900.39260037664
25,25,20.749675422,-44671.98483096291
26,26,21.906810125000078,-44690.52901354667
27,27,22.731379602000118,-44615.75899718652
28,28,23.673916842000093,-44659.65094338686
29,29,24.697577418000204,-44622.347125763816
30,30,25.573257513000165,-44587.34939518898
31,31,26.451335182000186,-44620.65902839887
32,32,27.40318941800017,-44435.21478072709
33,33,28.435646828999975,-44552.7318764866
34,34,29.30743242299999,-44486.6829317153
35,35,30.326114050999983,-44344.71177488931
36,36,31.26587032400002,-44307.27233275906
37,37,32.310434283000184,-44267.389417293365
38,38,33.28827934800019,-44267.15881670903
39,39,34.152882646000016,-44372.93627281448
40,40,35.14602830000012,-44304.442882609896
41,41,36.061622159000024,-44224.924050671114
42,42,37.024242113000014,-44145.177606442696
43,43,37.9360621460001,-44231.85002735737
44,44,38.93536025600019,-44205.63427441968
45,45,39.8235558300002,-44265.28198739014
46,46,40.77201301800017,-44269.693777148226
47,47,41.601549311000156,-44137.45932434985
48,48,42.75749191600014,-44149.67646692655
49,49,43.5420687820001,-44136.4372497609
50,50,44.42744882400008,-44119.0054338929
51,51,45.47484366500005,-44108.577263994426
52,52,46.416526717000174,-43993.16083436556
53,53,47.439312853000125,-44071.19574895816
54,54,48.34772868499998,-44023.859047160644
55,55,49.229442536000164,-43927.9606991839
56,56,50.21618545400002,-43959.74200883624
57,57,51.295541454000166,-43995.32445105057
58,58,52.18274465900008,-44041.393607802085
59,59,52.94259222900006,-43951.46849589306
60,60,54.034627816000025,-44034.31894559498
61,61,54.90270944300015,-43882.01445240849
62,62,55.69568789000017,-43920.226657141735
63,63,56.56390913100005,-43878.68470609839
64,64,57.55510574600007,-43870.04857397098
65,65,58.43043298300007,-43920.895655753506
66,66,59.48470484100003,-43993.90452778463
67,67,60.39352778600016,-43811.972272154046
68,68,61.258783572999995,-43844.70393440983
69,69,62.130569590000206,-43888.611673258965
70,70,63.13123298400012,-43832.44846062134
71,71,64.05108112800005,-43869.45793572333
72,72,64.8995118890002,-43773.85826873737
73,73,65.98530818100018,-43788.880023242265
74,74,66.93566271000006,-43872.621969380685
75,75,67.86878890300007,-43819.62910796092
76,76,68.93422132400005,-43804.95098864508
77,77,69.7629997210002,-43826.17252356656
78,78,70.77272049700004,-43834.073170116586
79,79,71.87582263700013,-43748.531175430275
80,80,72.66937592600007,-43696.65604350486
81,81,73.5983299560002,-43776.98998801109
82,82,74.5266417700001,-43780.55574135632
83,83,75.51809306300012,-43840.93720257603
84,84,76.6168808530001,-43816.412686791555
85,85,77.53569206400006,-43654.26645414697
86,86,78.52619887700001,-43748.66842012946
87,87,79.32960707200016,-43718.240718167144
88,88,80.3902790610001,-43669.058416845306
89,89,81.31648643900012,-43768.124360077156
90,90,82.21632818900002,-43708.02166966177
91,91,83.20243186700019,-43621.9020083193
92,92,84.21120682800003,-43571.428861433065
93,93,85.30091205799998,-43637.22917531707
94,94,86.09448554300005,-43541.45864273629
95,95,87.21866060300009,-43606.25043202232
96,96,88.21445904800017,-43588.07572602821
97,97,89.19180954500008,-43580.62170031834
